drive_file_id,filename,size,modified_time,web_view_link,doi,preview_url,open_url
1DKsnQ8xhHnfKm_BuTTI1XELnC9OX5FEj,Khethiwe Dlamini et al - 2024 - Women’s educational leadership experiences career advancement in the Lubombo region of Esw.pdf,429686,2026-08-22T13:44:30.452Z,https://drive.google.com/file/d/1DKsnQ8xhHnfKm_BuTTI1XELnC9OX5FEj/view?usp=drivesdk,khethiwe dlamini et al - 2024 - women’s educational leadership experiences career advancement in the lubombo region of esw,https://drive.google.com/file/d/1DKsnQ8xhHnfKm_BuTTI1XELnC9OX5FEj/preview,https://drive.google.com/file/d/1DKsnQ8xhHnfKm_BuTTI1XELnC9OX5FEj/view
1PNDgcmIfZJa-6RZPLxTsvvvXCGh3YgFc,Mendoza Sierra et al - 2024 - Intervencion psicologica para mitigar el impacto en factores psicosociales que afecten en.pdf,356554,2026-08-22T13:44:25.725Z,https://drive.google.com/file/d/1PNDgcmIfZJa-6RZPLxTsvvvXCGh3YgFc/view?usp=drivesdk,mendoza sierra et al - 2024 - intervencion psicologica para mitigar el impacto en factores psicosociales que afecten en,https://drive.google.com/file/d/1PNDgcmIfZJa-6RZPLxTsvvvXCGh3YgFc/preview,https://drive.google.com/file/d/1PNDgcmIfZJa-6RZPLxTsvvvXCGh3YgFc/view
1dm3PbuOzs5zWoDVZ0qxRyRGnZennBfP4,"Martagon Vazquez et al - 2024 - Organizacion y gestion educativa desde la comunidad. Apertura, participacion y liderazgo c.pdf",669616,2026-08-22T13:43:50.475Z,https://drive.google.com/file/d/1dm3PbuOzs5zWoDVZ0qxRyRGnZennBfP4/view?usp=drivesdk,"martagon vazquez et al - 2024 - organizacion y gestion educativa desde la comunidad. apertura, participacion y liderazgo c",https://drive.google.com/file/d/1dm3PbuOzs5zWoDVZ0qxRyRGnZennBfP4/preview,https://drive.google.com/file/d/1dm3PbuOzs5zWoDVZ0qxRyRGnZennBfP4/view
1Yp6sa-rH_LzHf2-zv-XwSn2M5rV7iycM,Barrero Martinez - 2026 - La evaluacion formativa en el aula de clase un proceso vinculado al liderazgo del directiv.pdf,802078,2026-08-22T13:43:46.733Z,https://drive.google.com/file/d/1Yp6sa-rH_LzHf2-zv-XwSn2M5rV7iycM/view?usp=drivesdk,barrero martinez - 2026 - la evaluacion formativa en el aula de clase un proceso vinculado al liderazgo del directiv,https://drive.google.com/file/d/1Yp6sa-rH_LzHf2-zv-XwSn2M5rV7iycM/preview,https://drive.google.com/file/d/1Yp6sa-rH_LzHf2-zv-XwSn2M5rV7iycM/view
1CN0AfVtIsPOkkXGJ6fTGFrQUx5z6vlNA,Jexenia Casquete-Tamayo et al - 2023 - Transformando organizaciones a traves del liderazgo inclusivo.pdf,263279,2026-08-22T13:43:44.065Z,https://drive.google.com/file/d/1CN0AfVtIsPOkkXGJ6fTGFrQUx5z6vlNA/view?usp=drivesdk,jexenia casquete-tamayo et al - 2023 - transformando organizaciones a traves del liderazgo inclusivo,https://drive.google.com/file/d/1CN0AfVtIsPOkkXGJ6fTGFrQUx5z6vlNA/preview,https://drive.google.com/file/d/1CN0AfVtIsPOkkXGJ6fTGFrQUx5z6vlNA/view
1wXyNqbsNals_FJ-OKmOj9MNIJgQ0gCs4,Munoz-Perez - 2025 - Liderazgo pedagogico y gestion eficaz del aula.pdf,180971,2026-08-22T13:43:41.464Z,https://drive.google.com/file/d/1wXyNqbsNals_FJ-OKmOj9MNIJgQ0gCs4/view?usp=drivesdk,munoz-perez - 2025 - liderazgo pedagogico y gestion eficaz del aula,https://drive.google.com/file/d/1wXyNqbsNals_FJ-OKmOj9MNIJgQ0gCs4/preview,https://drive.google.com/file/d/1wXyNqbsNals_FJ-OKmOj9MNIJgQ0gCs4/view
1aRX-Cdj3mRRMi81JeGZ103xltBhGMF-I,Kok Ming - 2024 - Data-Driven Decision-Making in Educational Leadership A Systematic Literature Review (2019.pdf,668534,2026-08-19T14:19:13.554Z,https://drive.google.com/file/d/1aRX-Cdj3mRRMi81JeGZ103xltBhGMF-I/view?usp=drivesdk,kok ming - 2024 - data-driven decision-making in educational leadership a systematic literature review (2019,https://drive.google.com/file/d/1aRX-Cdj3mRRMi81JeGZ103xltBhGMF-I/preview,https://drive.google.com/file/d/1aRX-Cdj3mRRMi81JeGZ103xltBhGMF-I/view
1ne8IhuDpGMMDfYoIG-mGjIiHAUUO3SnN,Sahin - 2023 - Okul Yoneticilerinin Okul Gelistirmedeki Rollerine Iliskin Bir Calısma.pdf,877963,2026-08-19T14:19:11.654Z,https://drive.google.com/file/d/1ne8IhuDpGMMDfYoIG-mGjIiHAUUO3SnN/view?usp=drivesdk,sahin - 2023 - okul yoneticilerinin okul gelistirmedeki rollerine iliskin bir calısma,https://drive.google.com/file/d/1ne8IhuDpGMMDfYoIG-mGjIiHAUUO3SnN/preview,https://drive.google.com/file/d/1ne8IhuDpGMMDfYoIG-mGjIiHAUUO3SnN/view
1KbbbQO7Y95PZEZ__QZ9xqPpYXMCRZL3n,Celleri Mendoza Vera Loor - 2025 - Revision sistematica sobre estrategias para la ensenanza de lengua y literatura en la escu.pdf,512145,2026-08-19T14:19:08.988Z,https://drive.google.com/file/d/1KbbbQO7Y95PZEZ__QZ9xqPpYXMCRZL3n/view?usp=drivesdk,celleri mendoza vera loor - 2025 - revision sistematica sobre estrategias para la ensenanza de lengua y literatura en la escu,https://drive.google.com/file/d/1KbbbQO7Y95PZEZ__QZ9xqPpYXMCRZL3n/preview,https://drive.google.com/file/d/1KbbbQO7Y95PZEZ__QZ9xqPpYXMCRZL3n/view
1BAiY0sJY6P6iDsaBwqwWjWXq28rd6N6B,Condori Zela - 2024 - Liderazgo directivo y manejo de conflictos en directores de las instituciones educativas n.pdf,2270,2026-08-19T14:19:05.842Z,https://drive.google.com/file/d/1BAiY0sJY6P6iDsaBwqwWjWXq28rd6N6B/view?usp=drivesdk,condori zela - 2024 - liderazgo directivo y manejo de conflictos en directores de las instituciones educativas n,https://drive.google.com/file/d/1BAiY0sJY6P6iDsaBwqwWjWXq28rd6N6B/preview,https://drive.google.com/file/d/1BAiY0sJY6P6iDsaBwqwWjWXq28rd6N6B/view
1vk4LGkwxv3_s6nrSaNzBNfQHlNn2f7D3,Hoz Henriquez Galvan Vega - 2024 - Practica directiva para fomentar la relacion familia escuela.pdf,1218107,2026-08-19T14:19:04.598Z,https://drive.google.com/file/d/1vk4LGkwxv3_s6nrSaNzBNfQHlNn2f7D3/view?usp=drivesdk,hoz henriquez galvan vega - 2024 - practica directiva para fomentar la relacion familia escuela,https://drive.google.com/file/d/1vk4LGkwxv3_s6nrSaNzBNfQHlNn2f7D3/preview,https://drive.google.com/file/d/1vk4LGkwxv3_s6nrSaNzBNfQHlNn2f7D3/view
1PMFTB4E4n2Dj3S0cMJL3Cz3kEWAXj1ae,Rosabal Vitoria Cerdas Montano - 2025 - Liderazgo educativo desde la perspectiva de la complejidad.pdf,725012,2026-08-19T14:18:58.775Z,https://drive.google.com/file/d/1PMFTB4E4n2Dj3S0cMJL3Cz3kEWAXj1ae/view?usp=drivesdk,rosabal vitoria cerdas montano - 2025 - liderazgo educativo desde la perspectiva de la complejidad,https://drive.google.com/file/d/1PMFTB4E4n2Dj3S0cMJL3Cz3kEWAXj1ae/preview,https://drive.google.com/file/d/1PMFTB4E4n2Dj3S0cMJL3Cz3kEWAXj1ae/view
1GTC9iVC63U3SE896QvhlGeVSWbwc5kZ3,Rivas Morales - 2025 - Liderazgo directivo y el clima organizacional en docentes de una institucion educativa pub.pdf,2270,2026-08-19T14:18:55.574Z,https://drive.google.com/file/d/1GTC9iVC63U3SE896QvhlGeVSWbwc5kZ3/view?usp=drivesdk,rivas morales - 2025 - liderazgo directivo y el clima organizacional en docentes de una institucion educativa pub,https://drive.google.com/file/d/1GTC9iVC63U3SE896QvhlGeVSWbwc5kZ3/preview,https://drive.google.com/file/d/1GTC9iVC63U3SE896QvhlGeVSWbwc5kZ3/view
1xhO7Sx-3I75kxChgLna-5Ka8MTIh76oV,"Guerrero Gomez - 2025 - Proyecto de direccion para centro educativo de la localidad de Bosa, Bogota Colombia.pdf",308781,2026-08-19T14:17:54.369Z,https://drive.google.com/file/d/1xhO7Sx-3I75kxChgLna-5Ka8MTIh76oV/view?usp=drivesdk,"guerrero gomez - 2025 - proyecto de direccion para centro educativo de la localidad de bosa, bogota colombia",https://drive.google.com/file/d/1xhO7Sx-3I75kxChgLna-5Ka8MTIh76oV/preview,https://drive.google.com/file/d/1xhO7Sx-3I75kxChgLna-5Ka8MTIh76oV/view
