record_id,first_seen_date,search_term,source,origin,document_type,authors,title,abstract,keywords,publication_year,publication_date,doi,url,openalex_id,is_oa,pdf_url,relevance_status,relevance_score,relevance_reason,relevance_evidence
10.31876/rcs.v26i2.32442,2026-04-06,gestión educativa,OpenAlex,OpenAlex,article,Margarita Briceño Toledo; Susana Correa Castillo; Michel Valdés-Montecinos; Marcelo Hadweh Briceño,Modelo de gestión educativa para programas en modalidad virtual de aprendizaje,"La educación virtual es una modalidad de aprendizaje que ha crecido vertiginosamente en la práctica, pero aún, es materia pendiente la difusión del modo cómo se gestiona el proceso educativo. En este sentido, el trabajo tiene como propósito describir el modelo de gestión educativa de los programas de postgrados en modalidad virtual de aprendizaje de la Universidad Arturo Prat del Estado de Chile. La metodología utilizada es la sistematización de experiencias bajo un enfoque cualitativo. Se muestra como resultado, primero el basamento teórico, normativo y de políticas que sustentan el diseño del modelo educativo, luego, las estrategias y particularidades del mismo, permitiendo la progresión del estudiante desde su ingreso hasta graduarse, dependiendo la educación virtual, de todo un sistema que agrupa modelos educativos, material instruccional, apoyo tecnológico, gestión académica de soporte, y una cultura de evaluación con altos estándares de calidad. Se concluye, que se trata de un modelo en constante revisión y mejoramiento con miras a ofrecer una educación de calidad acorde con los estándares nacionales e internacionales, condición que permite afirmar que el mismo se encuentra en condiciones de ser evaluado bajo los parámetros de calidad que permitan su acreditación ante la Comisión Nacional de Acreditación de Chile.",Humanities; Political science; Art,2020,2020-01-01,10.31876/rcs.v26i2.32442,https://doi.org/10.31876/rcs.v26i2.32442,https://openalex.org/W3083676805,True,https://produccioncientificaluz.org/index.php/rcs/article/download/32442/33870,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
10.22518/jour.ccsh/2020.2a09,2026-04-06,gestión educativa,OpenAlex,Civilizar,article,Blanca Aurora Pita-Torres,Políticas Públicas y Gestión Educativa,"Este artículo de revisión es resultado de la investigación referente a la política pública, la gestión educativa y la formación docente en el ámbito colombiano. Para su desarrollo, se describen algunos conceptos en los cuales se enmarca la política educativa y la relevancia que esta tiene en los procesos educativos llevados a cabo en el país; así mismo, se presentan los conceptos que desde diferentes ópticas se han establecido para la política pública, la gestión educativa, la formación docente, la relación que estas tienen con el ser y el deber ser y los retos de la formación docente frente a los planteamientos de las políticas educativas. A partir de ello, se concluye que las políticas educativas deben crearse sobre el principio de la transversalidad, de donde tomen cada uno de los elementos importantes para brindar una educación de calidad que aporte directamente al desarrollo y solución de las problemáticas sociales.",Philosophy; Humanities,2020,2020-12-21,10.22518/jour.ccsh/2020.2a09,https://doi.org/10.22518/jour.ccsh/2020.2a09,https://openalex.org/W3183411142,True,https://revistas.usergioarboleda.edu.co/index.php/ccsh/article/download/v20n39a09/1327,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
10.46377/dilemas.v9i1.2832,2026-04-06,gestión educativa,OpenAlex,Dilemas contemporáneos Educación Política y Valores,article,Hilda Flores-Flores,"La gestión educativa, disciplina con características propias.","El artículo es una revisión teórica que tiene como objetivo mostrar las características halladas como propias de la gestión educativa. Se muestran los escenarios históricos-contextuales que dieron origen a su estudio en Estados Unidos y España, y que permiten su proliferación en América Latina, y posteriormente en México, como una herramienta de apalancamiento para evaluar y mejorar la calidad educativa. La metodología de construcción del estado del arte se basó en el desarrollo de las fases heurística, hermenéutica y holística. Se concluye que la gestión educativa no está separada de la administración sino es un elemento adaptado a la época en la cual se vive y que reclama la mejora de los servicios educativos.",Humanities; Cartography; Political science; Geography; Art,2021,2021-09-01,10.46377/dilemas.v9i1.2832,https://doi.org/10.46377/dilemas.v9i1.2832,https://openalex.org/W3198903670,True,https://www.dilemascontemporaneoseducacionpoliticayvalores.com/index.php/dilemas/article/download/2832/2847,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
10.17162/au.v11i1.543,2026-04-06,gestión educativa,OpenAlex,Apuntes Universitarios,article,Lucas Fernando Meza Revatta; Julio Samuel Torres-Miranda; Oscar Mamani-Benito,"Gestión educativa como factor determinante del desempeño de docentes de educación básica regular durante la pandemia Covid-19, Puno-Perú","La presente investigación tuvo como objetivo analizar el efecto de la gestión educativa sobre el desempeño docente en profesores de Educación Básica Regular del departamento de Puno, durante la Pandemia COVID-19. Corresponde a una investigación de enfoque cuantitativo, alcance explicativo y diseño no experimental, que contó con la participación de 650 docentes de 10 Unidades de Gestión Educativa Local, a quienes se les aplicó una escala de percepción de la gestión educativa y un cuestionario de autoevaluación del desempeño docente, ambos válidos y confiables; los análisis se realizaron en base a un nivel de significancia del 5% y nivel de confianza del 95%. Los resultados dan cuenta de una correlación directa y significativa entre la variable gestión educativa y desempeño docente (r = .623, p &lt; .05), de igual forma con las dimensiones gestión institucional (r =.523, p &lt; .05), Gestión pedagógica (r =.499, p &lt; 0.05), Gestión administrativa (r =.611, p &lt; .05) y Gestión comunitaria (r = .514, p &lt; .05). Aunado a esto, el modelo de regresión lineal múltiple explica el efecto que tiene la variable gestión educativa y sus dimensiones, sobre el desempeño docente en los profesores de Puno. Se concluye que la gestión educativa, que puede ser entendida como el fortalecimiento de los Proyectos Educativos y el enriquecimiento de los procesos pedagógicos con el fin de responder a las necesidades educativas locales y regionales, es un factor determinante que explica el nivel de desempeño que logran los profesores de Educación Básica Regular de Puno durante la Pandemia COVID-19.",Humanities; Coronavirus disease 2019 (COVID-19); Political science; Geography; Philosophy; Medicine,2020,2020-10-20,10.17162/au.v11i1.543,https://doi.org/10.17162/au.v11i1.543,https://openalex.org/W3093719213,True,https://apuntesuniversitarios.upeu.edu.pe/index.php/revapuntes/article/download/543/647,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
10.37811/cl_rcm.v4i2.196,2026-04-06,gestión educativa,OpenAlex,Ciencia Latina Revista Científica Multidisciplinar | Hacedor - AIAPÆC,article,Mirian Sánchez Armas; José Manuel Delgado Bardales,Gestión Educativa en el desarrollo del aprendizaje en las Instituciones Educativas,"El trabajo se realizó con el objetivo de conocer las características de la gestión educativa en el desarrollo del aprendizaje de las instituciones educativas. La investigación es descriptiva, con enfoque cualitativo. La muestra estuvo conformada por revisión sistemática de artículos nacionales e internacionales referidas a la variable gestión educativa que luego fueron analizadas; el instrumento fue la guía de análisis de cada artículo utilizado. Como resultados se obtuvo que el 60% de investigaciones, se relacionan con los modelos de gestión educativa para mejorar el aprendizaje afirma que la gestión educativa es una herramienta positiva e influyente en las instituciones educativas, que ayuda a alcanzar mejores resultados con menos tiempo y pocos recursos, resultando buenos servicios brindados a los estudiantes. A su vez, el 40 % de los estudios afirma que la buena práctica docente es la clave para el éxito de la educación, por ser ellos uno de los factores clave para el triunfo de los educandos. Con ello se concluye que la gestión educativa es un conjunto de procesos organizados que engloba la parte de gestión y educación. La primera, tiene que ver con planificación, organización y evaluación de procesos; la segunda, tiene que ver con los resultados de los servicios enfocados en la enseñanza aprendizaje. En ambos predomina el liderazgo y la cultura colaborativa para brindar servicios de calidad a los estudiantes. Así mismo la gestión educativa, es muy importante para mejorar el aprendizaje en los estudiantes donde la práctica docente es clave en la educación de los estudiantes, siendo fundamental en la forma de llegar a los estudiantes, y tener resultados favorables en las pruebas de logros de aprendizaje en matemáticas y comprensión lectora.",Humanities; Political science; Philosophy,2020,2020-12-01,10.37811/cl_rcm.v4i2.196,https://doi.org/10.37811/cl_rcm.v4i2.196,https://openalex.org/W4236612321,True,https://doi.org/10.37811/cl_rcm.v4i2.196,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
10.52080/rvgluz.26.e5.16,2026-04-06,gestión educativa,OpenAlex,Revista Venezolana de Gerencia,article,Richar Jacobo Posso Pacheco; Martha Judith Pereira Valdez; Bertha Susana Paz Viteri; Milton Fernando Rosero Duque,Gestión educativa: factor clave en la implementación del currículo de educación física,"La propuesta curricular para la Educación Física cambia el paradigma educativo en Ecuador, esta renovación curricular genera una postura epistémica, didáctica y metodológica abierta y flexible, permitiendo la construcción de actividades con aportes cognitivos, sociales y afectivos; donde el docente es inducido a un proceso de desaprensión para aprender e innovar. El estudio tuvo como objetivo estimar los factores del determinante Humano en la implementación del Currículo Nacional de Educación Física del Ecuador. La investigación se llevó a cabo siguiendo un enfoque cuantitativo descriptivo, en el mismo se abordó una muestra de 612 docentes producto de muestreo por conglomerado y aleatorio simple en nueve coordinaciones zonales de educación. Los resultados evidenciaron que la gestión educativa es el factor clave con mayor incidencia en la implementación del currículo, cuyos factores emergentes son la infraestructura, autoridades, acompañamiento pedagógico, recursos y materiales; se concluye que las mejoras en estos elementos permitirán alcanzar los objetivos educaciones en esta área del saber y contribuir a la formación humana de los estudiantes.",Humanities; Philosophy,2021,2021-08-08,10.52080/rvgluz.26.e5.16,https://doi.org/10.52080/rvgluz.26.e5.16,https://openalex.org/W3193285772,True,https://produccioncientificaluz.org/index.php/rvg/article/download/36442/39099/,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
10.5944/reec.38.2021.29017,2026-04-06,gestión educativa,OpenAlex,Revista Española de Educación Comparada,article,José Hernández Ortega; Juan Francisco Álvarez Herrero,Gestión educativa del confinamiento por COVID-19: percepción del docente en España,"El confinamiento domiciliario ocasionado por la pandemia por COVID-19 ha supuesto el mayor reto de adaptación y transformación del sistema educativo español registrado hasta la fecha. El cambio del paradigma educativo, con especial atención al cambio de ubicación, metodología, medios y evaluación, ha puesto de manifiesto que el proceso no ha sido satisfactorio para todos los agentes implicados. El presente estudio muestra la perspectiva de un grueso de 3764 docentes de todos los niveles educativos que ejercen su labor docente en centros representados de todas las comunidades autónomas. En el cuestionario se aborda la perspectiva de estos docentes en relación a una serie de cuestiones que pretenden corroborar la existencia de una brecha multidimensional (metodología, socio-económica y tecnológica) además de comprobar la eficacia de la gestión educativa. La opinión de los docentes tanto de la propia labor realizada como la llevada a cabo por las administraciones educativas y las familias, arroja resultados heterogéneos a partir de variables de niveles educativos, demarcación geográfica o medios disponibles. Asimismo, la opinión del profesorado hacia las familias es satisfactoria, equiparable a la propia acción. En cambio, la valoración que reciben los planes de formación en competencias digitales y la respuesta de la administración educativa para afrontar una transformación del sistema educativo no satisfacen al conjunto del profesorado. El artículo muestra que la brecha digital no es tan sólo instrumental, sino de adaptación de un sistema educativo que, pese a tener planificado un plan de digitalización, no se ha llevado a cabo con la prioridad y consistencia como así ha demostrado uno de los agentes educativos implicados directamente en este proceso, el profesorado.",Humanities; Coronavirus disease 2019 (COVID-19); Political science; Philosophy; Medicine,2021,2021-03-27,10.5944/reec.38.2021.29017,https://doi.org/10.5944/reec.38.2021.29017,https://openalex.org/W3148854858,True,https://revistas.uned.es/index.php/REEC/article/download/29017/23112,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
10.35290/rcui.v10n3.2023.893,2026-04-06,gestión educativa,OpenAlex,Revista Científica UISRAEL,article,María Nilda Lule-Uriarte; Max Michael Serrano-Mesía; Nilson Yover Montenegro-Cruz,La gestión educativa: factor clave en la calidad educacional,"La investigación tuvo como objetivo aproximarse a la comprensión de la gestión educativa como eje fundamental para alcanzar la calidad educacional, por lo que se aplicó una investigación de tipo revisión documental, en la que se hizo uso del análisis de contenido para la construcción del conocimiento; los documentos revisados fueron recuperados de las bases de datos Scopus, Scielo y Google Académico, y seleccionados a partir de un muestreo basado en criterios que permitió identificar un total de treinta (n= 30) artículos a revisar, que fueron tratados a través de técnicas de análisis artesanales. Los resultados de la revisión permitieron identificar tres categorías de análisis fundamentales dentro del estudio, siendo estas: a) Gestión educativa: clave para brindar un servicio de calidad a la comunidad, b) Gestión educativa: elemento primordial para brindar atención oportuna a las necesidades de la población y, c) Gestión educativa, amalgama entre el liderazgo institucional, práctica docente y aprendizaje. Dentro de las conclusiones alcanzadas se destaca que las categorías de análisis que emergieron desde el horizonte de comprensión asumido presentan una característica en común y se relaciona con la necesidad de realizar una transformación desde las condiciones sociales y el contexto propio de los estudiantes para garantizar la emancipación racional de todos los actores educativos, generando una educación con calidad, democrática y de justicia social.",SciELO; Humanities; Political science; Philosophy,2023,2023-09-10,10.35290/rcui.v10n3.2023.893,https://doi.org/10.35290/rcui.v10n3.2023.893,https://openalex.org/W4386587353,True,https://revista.uisrael.edu.ec/index.php/rcui/article/download/893/908,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
10.15517/revedu.v47i1.49904,2026-04-06,gestión educativa,OpenAlex,Revista Educación,article,Manuela Esperanza Peralta Tapia; Eleuterio Horna Torres; Enrique Horna Torres; Flor Delicia Heredia Llatas,Gestión administrativa en unidades de gestión educativa: una revisión literaria,"Brindar un servicio educativo de calidad implica el esfuerzo de las personas gestoras administrativas y docentes, con el fin de ofrecer servicios de educación básica de calidad, en aras de una formación completa de estudiantes. Es por eso que este artículo de revisión tiene la finalidad de destacar la evidencia disponible sobre la gestión administrativa en unidades de gestión educativa. Como metodología se realizó una revisión de artículos de la literatura científica en las bases de datos de Scielo, Scopus, Redalyc y Latindex, se tomaron en cuenta artículos cuyo contexto se ha desarrollado en países latinoamericanos. Como resultado se obtuvieron 10 artículos: 4 son de Scielo, 3 de Latindex y 3 de Redalyc, los cuales contienen las ideas más relevantes y cumplieron con los objetivos de esta revisión. Asimismo, el 20 % de los artículos seleccionados fueron investigaciones realizadas en Costa Rica, el 20 % en Colombia, el 10 % en Ecuador y el 50 % en Perú. Finalmente, se concluye que una buena gestión administrativa ayuda a liderar, comunicar y hacer pleno uso de los recursos humanos para lograr una educación de calidad y satisfacción laboral entre el personal docente. De igual manera, se espera que este artículo de revisión contribuya en investigaciones futuras.",SciELO; Persona; Humanities; Context (archaeology); Political science; Art; MEDLINE; Geography,2023,2023-01-01,10.15517/revedu.v47i1.49904,https://doi.org/10.15517/revedu.v47i1.49904,https://openalex.org/W4318575744,True,https://revistas.ucr.ac.cr/index.php/educacion/article/download/49904/54163,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
10.52080/rvgluz.27.8.47,2026-04-06,gestión educativa,OpenAlex,Revista Venezolana de Gerencia,article,Lilia Esther Palacio Sprockel; Rebeca Yaneth Curiel Gómez; Karen Peñaranda De Armas,Innovación en la gestión educativa: actores y procesos,"El objetivo de esta investigación se orientó a analizar las innovaciones en la gestión educativa desde la perspectiva de los actores y procesos. Metodológicamente, se trata de un estudio teórico orientado por operaciones mentales para producir explicaciones acerca de fenómenos sociales. Los resultados apuntan hacia: a) transformaciones en las funciones de los actores de la gestión educativa (b) los nuevos actores que irrumpen en la escena de la gestión educativa que constituyen una entrada visible del sector privado en la educación pública; c) procesos de control centrado en las personas y la evaluación cuantativa de contendidos; d) estrategias que proyectan una innovación en la comunicación en la educación. Las conclusiones indican la instrumentalización de la profesión docente, las TIC son un medio y no un fin para el logro de una educación equitativa y de calidad, por lo que apostamos a una tecnología humanizadora.",Political science; Persona; Humanities; Art,2022,2022-11-25,10.52080/rvgluz.27.8.47,https://doi.org/10.52080/rvgluz.27.8.47,https://openalex.org/W4310761315,True,https://produccioncientificaluz.org/index.php/rvg/article/download/39219/44050/,revisar,6,coincidencia amplia con gestión/liderazgo educativo,"frase media en título: gestion educativa, gestión educativa | frase media en resumen/palabras clave: gestion educativa, gestión educativa | gestión/liderazgo + educación genérica"
