doc_index,filename,doi,titulo,topico_dominante
1,10.47865_igob.vol9.n33.2026.454.pdf,10.47865/igob.vol9.n33.2026.454,Radiografía de la Gestión Educativa Privada: Situación actual en la UGEL 07 de Lima Metropolitana,15
2,10.58515_019rspt.pdf,10.58515/019rspt,La planificación prospectiva como elemento gerencial organizativo en la gestión educativa,15
3,10.47766_development.v2i2.1118.pdf,10.47766/development.v2i2.1118,Adiwiyata School Management In Improving Brand Image In Madrasah,10
4,10.5195_ie.2025.489.pdf,10.5195/ie.2025.489,Empowering Educational Leadership Research with Generative AI,8
5,10.62711_ijite.v2i4.161.pdf,10.62711/ijite.v2i4.161,Implementation of School Management Information Systems at Vocational School State I Tomohon,10
6,10.21573_vol42n12026.139503.pdf,10.21573/vol42n12026.139503,Elogio al liderazgo escolar. Un revisión crítica,20
7,10.5772_intechopen.1012846.pdf,10.5772/intechopen.1012846,Perspective Chapter: The Role of Educational Leadership in Promoting Entrepreneurship Education in Higher Education – Evidence from Pakistan,8
8,10.38043_telsinas.v8i2.7044.pdf,10.38043/telsinas.v8i2.7044,"Artificial Intelligence in Educational Leadership: Strategic, Analytical, Interactive, and Decision-Making Applications for the Digital Age",8
9,10.37676_mude.v4i2.8175.pdf,10.37676/mude.v4i2.8175,Characteristics Of Transformational Educational Leadership In The Era Of Society 5.0 The Perspective Of The Quran,2
10,10.20473_rlj.v9-i2.2023.306-318.pdf,10.20473/rlj.v9-i2.2023.306-318,Uncovering patterns of author productivity in educational leadership and management in Indonesia,2
11,10.7146_ejie.v3i1.142505.pdf,10.7146/ejie.v3i1.142505,"Inclusive Educational Leadership and Research Instrument Validation: school principals’ values, knowledge, beliefs, attitudes and practices regarding inclusive education of disabled students.",8
12,10.20849_jed.v6i3.1230.pdf,10.20849/jed.v6i3.1230,An Investigation About the Challenges of Adopting Performance Management in Educational Leadership in England,6
13,10.25115_eea.v39i12.6463.pdf,10.25115/eea.v39i12.6463,"Interplay of Shared Leadership Practices of Principals, Teachers’ Soft Skills and Learners’ Competitiveness in COVID 19 Era: Implications to Economics of Educational Leadership",6
14,10.3389_feduc.2024.1413607.pdf,10.3389/feduc.2024.1413607,The role of transformational leadership in enhancing school culture and teaching performance in Yemeni public schools,6
15,10.55927_ijsmr.v1i9.3578.pdf,10.55927/ijsmr.v1i9.3578,Anger and Stress Management Techniques for Successful Educational Leadership,13
16,10.47604_ajep.3176.pdf,10.47604/ajep.3176,"The Making of a Champion Leader: Insights from the Diploma in Educational Leadership and Management Program in Uganda, West Nile Region",8
17,10.2478_mdke-2023-0015.pdf,10.2478/mdke-2023-0015,"Educational Leadership for Equality, Diversity and Inclusion in Curricula Design",16
18,10.1007_s40841-024-00354-2.pdf,10.1007/s40841-024-00354-2,Reshaping Educational Leadership Learning: Adding Politics to Practice,16
19,10.70619_vol4iss2pp35-47.pdf,10.70619/vol4iss2pp35-47,"Social-Cultural Factors and Women’s Participation in Higher Educational Leadership in Mogadishu, Somalia",16
20,10.52631_jemds.v4i2.228.pdf,10.52631/jemds.v4i2.228,The Paucity of Female Educational Leadership in Politically Volatile Context of Zimbabwe,16
21,10.14324_lre.23.1.22.pdf,10.14324/lre.23.1.22,Signature pedagogies in educational leadership preparation: university academics’ practices and reflections from Türkiye,8
22,10.59941_2960-0642-2024-4-47-55.pdf,10.59941/2960-0642-2024-4-47-55,Exploring Educational Leadership Models in Kazakhstan,8
23,10.1080_19415257.2020.1787209.pdf,10.1080/19415257.2020.1787209,Leadership for professional learning towards educational equity: a systematic literature review,16
24,10.20428_ajqahe.v17i60.2217.pdf,10.20428/ajqahe.v17i60.2217,The reality of school principals’ practice of educational leadership styles in Aqaba Governorate and their relationship to solving school problems from the teachers’ point of view,2
25,10.55354_2692-3394.1025.pdf,10.55354/2692-3394.1025,Self-Evaluation of Educational Leadership Practices During COVID-19,16
26,10.31436_ijes.v10i2.430.pdf,10.31436/ijes.v10i2.430,Leadership Practices among Islamic Private Secondary School Principals in Southern Thailand: Validating a Model of Strategic Educational Leadership,6
27,10.14324_lre.23.1.13.pdf,10.14324/lre.23.1.13,"Examining educational leadership preparation and development programmes in the Gulf region: a comparative study of Bahrain, Kuwait and Qatar",8
28,10.31080_aspe.2022.05.0516.pdf,10.31080/aspe.2022.05.0516,Major Factors Affecting Women’s Participation in Educational Leadership: A Case of Bhutan,16
29,10.51244_ijrsi.2021.81004.pdf,10.51244/ijrsi.2021.81004,Case Study and Randomized Control Trial (RCT) Research Designs for Educational Leadership and Management Studies,19
30,10.35631_ijepc.1057060.pdf,10.35631/ijepc.1057060,DECISION MAKING AND EDUCATIONAL LEADERSHIP: A COMPREHENSIVE SYSTEMATIC REVIEW,8
31,10.3389_feduc.2024.1416666.pdf,10.3389/feduc.2024.1416666,Evaluation of sustainability in university tutoring programs for educational leadership: a case study,13
32,10.46303_repam.2022.5.pdf,10.46303/repam.2022.5,Revisioning Educational Leadership Through Love and the Ancillary: A Critical Self-Study,16
33,10.30828_real.950445.pdf,10.30828/real.950445,"Retrospective and Prospective Analysis on Educational Leadership: Indicators of Productivity, Dispersion, and Content",2
34,10.25217_ji.v7i1.1460.pdf,10.25217/ji.v7i1.1460,Islamic Boarding School Education Leadership in Supporting Face to Face Learning During the Pandemic Period in Indonesia,16
35,10.30828_real.1330936.pdf,10.30828/real.1330936,Studying Negative Aspects in Educational Leadership: The Benefits of Qualitative Methodologies,16
36,10.47460_uct.v26i114.603.pdf,10.47460/uct.v26i114.603,Educational leadership of teachers in the selfregulation learning process of university students,6
37,10.1007_s10734-022-00890-0.pdf,10.1007/s10734-022-00890-0,Theorising pedagogical dimensions of higher education leadership—a non-affirmative approach,16
38,10.52783_jisem.v10i3s.355.pdf,10.52783/jisem.v10i3s.355,Educational Leadership in Vocational Education: A 10-Year Bibliometric Analysis,2
39,10.46303_jcve.2022.24.pdf,10.46303/jcve.2022.24,"Ethical Leadership in Education: A Uniting View Through Ethics of Care, Justice, Critique, and Heartful Education",16
40,10.11591_edulearn.v19i4.23239.pdf,10.11591/edulearn.v19i4.23239,Educational leadership innovation: a recent comprehensive structured review,8
41,10.3389_feduc.2024.1441183.pdf,10.3389/feduc.2024.1441183,Editorial: Women in educational leadership,16
42,10.22158_wjeh.v4n3p60.pdf,10.22158/wjeh.v4n3p60,Professionalization of Educational Leadership for the Members of the Association of African Universities,8
43,10.1007_978-3-031-37604-7_6.pdf,10.1007/978-3-031-37604-7_6,Understanding Leadership in Educational Leadership Research in Finland,2
44,10.55927_mudima.v4i7.9034.pdf,10.55927/mudima.v4i7.9034,A Systematic Review on the Impact of Gender Equity on Educational Leadership,2
45,10.1007_978-3-031-47616-7.pdf,10.1007/978-3-031-47616-7,Socially Just Educational Leadership in Unjust Times,16
46,10.64093_sijis.v1i2.598.pdf,10.64093/sijis.v1i2.598,Model of Islamic Educational Leadership Based on Prophetic Leadership Values: A Literature Review,8
47,10.1186_s12912-025-03420-2.pdf,10.1186/s12912-025-03420-2,Transforming nursing education: the power of educational leadership in optimizing time management and competency,13
48,10.32996_ijllt.2020.3.5.17.pdf,10.32996/ijllt.2020.3.5.17,The Role of Rural Educational Leadership in Influencing Societal Behaviour: A Case Study of Goromonzi District: Educational Leaders’ Perceptive,16
49,10.15405_epes.23056.52.pdf,10.15405/epes.23056.52,Educational Leadership - A Perspective Beyond Managerial Processes,8
50,10.30574_wjarr.2023.20.3.2438.pdf,10.30574/wjarr.2023.20.3.2438,"Enhancing educational outcomes through strategic Human Resources (HR) initiatives: Emphasizing faculty development, diversity, and leadership excellence",8
51,10.31703_gssr.2020(v-i).51.pdf,10.31703/gssr.2020(v-i).51,Educational Leadership Processes as Predictors of Positive Work Attitude at Higher Education Level,6
52,10.36941_ajis-2025-0044.pdf,10.36941/ajis-2025-0044,Integrating Human Resource Management and Artificial Intelligence in Educational Leadership: Pathways Toward Transformational Change,8
53,10.53894_ijirss.v8i1.4431.pdf,10.53894/ijirss.v8i1.4431,Post-COVID educational leadership: Emerging models and styles for a new era,2
54,10.5038_2577-509x.5.1.1027.pdf,10.5038/2577-509x.5.1.1027,Teaching in a global society: Considerations for university-based educational leadership,8
55,10.36948_ijfmr.2024.v06i04.25420.pdf,10.36948/ijfmr.2024.v06i04.25420,Gender and Educational Leadership,16
56,10.18860_egalita.v15i2.10805.pdf,10.18860/egalita.v15i2.10805,WOMEN IN EDUCATIONAL LEADERSHIP FROM ISLAMIC PERSPECTIVES,16
57,10.3389_feduc.2020.00052.pdf,10.3389/feduc.2020.00052,"“Unbroken, but Bent”: Gendered Racism in School Leadership",16
58,10.3389_fpsyg.2023.1280038.pdf,10.3389/fpsyg.2023.1280038,Measuring educational leadership in Singapore: re-examining the psychometric properties of the Multifactor Leadership Questionnaire,6
59,10.47175_rielsj.v5i2.1005.pdf,10.47175/rielsj.v5i2.1005,Fostering Collaboration and Team Effectiveness in Educational Leadership: Strategies for Building High-Performing Teams and Networks,6
60,10.24331_ijere.676915.pdf,10.24331/ijere.676915,Social-Emotional Educational Leadership: A Study of Scale Adaptation,13
61,10.52296_vje.2021.54.pdf,10.52296/vje.2021.54,Educational Leadership in the U.S. and Vietnam: A Cross-Culture Comparative Study,2
62,10.33122_ejeset.v4i1.100.pdf,10.33122/ejeset.v4i1.100,The influence of educational leadership on students’ academic performance in secondary schools: A case of Itilima district,6
63,10.60027_jelr.2024.793.pdf,10.60027/jelr.2024.793,Components and Indicators of Educational Leadership,8
64,10.63283_54wxa275.pdf,10.63283/54wxa275,Educational Leadership in a Digital Era: Navigating Challenges and Opportunities,8
