topico,prevalencia,frex_top10,prob_top10,lift_top5,color
18,21.16,"gerencia, acciones, formativa, supervisión, estándares, estratégica, acción, propósitos, paraguay, planeación","calidad, proceso, desarrollo, procesos, investigación, institución, debe, instituciones, evaluación, formación","actualizando, adicionan, adopte, anhelado, anotaciones",#023E8A
19,9,"privatización, establecimientos, indígena, migrantes, aires, chileno, indígenas, directoras, discursos, riie","participación, políticas, social, convivencia, política, escolares, formación, prácticas, chile, comunidad","–mail, “buena, “cómo, “condiciones, “crear",#F3722C
2,7.4,"inteligencia, algoritmos, personalización, ético, multidisciplinarios, éticas, plataformas, éticos, emprendimiento, privacidad","innovación, inteligencia, desarrollo, sino, desafíos, uso, habilidades, datos, prácticas, artificial","—especialmente, accesorios, agradecen, algorítmicos, algoritmos",#F4A261
9,6.77,"igobernanza, minedu, ugel, isn, koinonia, correlación, bilateral, spearman, depósito, coro","nivel, desempeño, relación, instituciones, correlación, organizacional, calidad, lima, resultados, laboral","aceptándose, chimbote, comunicaban, correlacional-causal, ejecutora",#6A4C93
10,5.47,"smts, smt, south, programmes, africa, learners, collective, learner, organisation, overcrowded","development, professional, leaders, knowledge, learners, south, curriculum, process, instructional, social","alluded, ärlestig, conceptualisations, contextualised, decade’s",#1982C4
12,5.13,"síndrome, correo, sexo, matemática, confinamiento, educare, estrés, amigó, puntajes, medellín","nivel, resultados, análisis, investigación, tabla, factores, covid, universidad, años, datos","aiken, atípicos, bución, cuasi-experimental, cursaba",#FF595E
15,5.1,"desacuerdo, indtec, oai-pmh, bachillerato, montúfar, activas, pág, ricardo, tut, reg","investigación, desarrollo, ecuador, estrategias, resultados, formación, acuerdo, pág, profesional, datos","montúfar, ¿conoce, “totalmente, acuerdo”, amie",#1982C4
5,4.55,"boarding, quran, islamic, religious, moderation, gontor, character, bengkulu, child-friendly, naibaho","islamic, boarding, quality, process, implementation, activities, indonesia, development, jurnal, islam","-hikmah, -tadzkir, afiful, annur, creatures",#A8DADC
20,4.52,"fostering, inclusive, insights, disabled, promoting, initiatives, fosters, enhancing, chatgpt, highlights","development, practices, leaders, challenges, effective, institutions, role, professional, strategies, inclusive","delved, disabled, loops, rigidity, ai-driven",#90BE6D
6,4.48,"auditoría, interdisciplinarias, rolando, alimentación, julia, roxana, modernización, scielo, corrupción, tributaria","desarrollo, políticas, salud, ciencias, revisión, análisis, artículos, resultados, estudios, datos","abarcaban, áfrica, ámbi, ase, avila",#E9C46A
3,4.03,"ict, technologies, edmodo, digital, evident, computers, technology, english, usage, computer","digital, technology, information, system, ict, online, social, process, development, technologies","computerized, entertainment, gaming, obsolete, patil",#2A9D8F
14,3.4,"nursing, transactional, transformational, cfa, cognitive, statistically, loadings, latent, avolio, correlations","transformational, factor, skills, leaders, scale, outcomes, factors, styles, significant, motivation","mplus, statisti, struct, zafar, discriminant",#6A4C93
8,3.17,"processo, direitos, anos, alunos, participação, práticas, comunidade, seja, quanto, condições","escolas, trabalho, políticas, processo, brasil, educacional, social, pesquisa, pública, democrática","-aprendizagem, abrangente, acessível, acima, acontecendo",#F77F00
16,3.15,"smc, water, parent, smcs, pta, parental, density, controls, pupils, parents’","public, parents, participation, involvement, quality, financial, parental, level, primary, private","audited, head-, ptas, smcs, про",#52B788
1,3.08,"entrepreneurship, entrepreneurial, vocational, factory, bibliometric, tqm, disaster, industry, muhammadiyah, smkn","quality, vocational, development, university, entrepreneurship, skills, business, implementation, curriculum, program","anis, automotive, chulalongkorn, ioc, tefa",#E63946
13,2.98,"women, silence, women’s, eğitim, womens, üniversitesi, positions, feminist, lisans, men","women, gender, positions, leaders, female, social, power, university, justice, identity","“women, açısından, activist, alienated, bilimsel",#FFCA3A
17,2.51,"flourishing, emergency, racism, coping, abusive, wales, depression, stress, plos, anxiety","covid, pandemic, health, leaders, stress, crisis, work, emergency, university, social","deaths, shoulder, wasn’t, anger, flourishing",#D62828
7,2.24,"satisfaction, employee, employees, job, organizational, effectiveness, climate, performance, motivation, satisfied","performance, work, organizational, effectiveness, quality, influence, satisfaction, motivation, positive, job","indriyanto, muljono, non-financial, sailah, unstandardized",#264653
4,1.27,"variabel, signifikan, uji, sebesar, regresi, integritas, partisipatif, disiplin, koefisien, pencegahan","jurnal, terhadap, kerja, kepemimpinan, bullying, organisasi, disiplin, memiliki, merupakan, tujuan","barang, berfikir, berpendapat, berubah, diakui",#457B9D
11,0.59,"palopo, kolaborasi, didik, akademik, peserta, wawancara, komite, smp, anak, mutu","mutu, anak, meningkatkan, kegiatan, peserta, didik, proses, program, palopo, negeri","diarahkan, menyampaikan, catatan, disampaikan, menjalin",#8AC926
