model,corpus,topic_id,rank,document_id,title,distance_to_centroid
BERTopic-METADATA-MULTILINGUAL,metadata,0,1,doi:10.26885/rcei.13.2.13,Desafíos y estrategias del rol directivo en la función formativa: promoviendo el cambio y la innovación en equipos docentes,0.153469
BERTopic-METADATA-MULTILINGUAL,metadata,0,2,record:acff39dd0d01406e061c2bc0,Desafíos y estrategias en las trayectorias escolares del secundario del equipo directivo,0.165793
BERTopic-METADATA-MULTILINGUAL,metadata,0,3,doi:10.32654/concienciaepg.5-1.2,Empoderamiento y liderazgo educativo en directores de la Unidad de Gestión Educativa Local de Ferreñafe,0.172839
BERTopic-METADATA-MULTILINGUAL,metadata,0,4,doi:10.70165/enfdis.v10i1.306,Desafíos y perspectivas del liderazgo en la gestión directiva,0.193782
BERTopic-METADATA-MULTILINGUAL,metadata,0,5,doi:10.53387/sa.v3i7.59,Los equipos directivos como líderes de la transformación educativa,0.194588
BERTopic-METADATA-MULTILINGUAL,metadata,0,6,doi:10.37811/cl_rcm.v6i4.2643,"Factores individuales de liderazgo en la gestión participativa orientada a resultados, estudio de caso",0.202261
BERTopic-METADATA-MULTILINGUAL,metadata,0,7,record:0d6f8de47ca1bfa06224b96b,Las redes de directivos para la mejora,0.206306
BERTopic-METADATA-MULTILINGUAL,metadata,0,8,doi:10.5281/zenodo.7949405,Las instituciones educativas primarias y su relación con el liderazgo transformacional y la gestión escolar,0.220499
BERTopic-METADATA-MULTILINGUAL,metadata,0,9,doi:10.37843/rted.v18i1.586,Incidencia del Liderazgo Pedagógico y las Competencias Directivas en la Gestión Educativa,0.226041
BERTopic-METADATA-MULTILINGUAL,metadata,0,10,doi:10.47666/summa.3.1.19,Componentes de la gestión educativa aplicables por el equipo directivo,0.230472
BERTopic-METADATA-MULTILINGUAL,metadata,1,1,record:20f37c0354b54959322b1f50,"Programa de involucramiento para padres de familia en la gestión escolar en una institución educativa Paita, 2025",0.0223
BERTopic-METADATA-MULTILINGUAL,metadata,1,2,record:3803c424156f8380fbdecc47,"La gestión escolar y la participación de los padres de familia en una institución educativa del distrito de Ate, 2024",0.035507
BERTopic-METADATA-MULTILINGUAL,metadata,1,3,doi:10.1016/j.ijedudev.2023.102899,Empowering parents and promoting school and teacher accountability and responsiveness: Case of Kyrgyzstan,0.073971
BERTopic-METADATA-MULTILINGUAL,metadata,1,4,record:2373fa6ed32975d830c67fc8,"Participación parental y gestión escolar en una institución educativa de Paita, 2025",0.082213
BERTopic-METADATA-MULTILINGUAL,metadata,1,5,record:a8855e3e6da21998c61a2681,"Satisfacción de la gestión escolar y participación de padres de familia en una institución educativa pública, Virú 2024",0.083988
BERTopic-METADATA-MULTILINGUAL,metadata,1,6,doi:10.35497/408734,Parent’s Perception on Face-to-Face Learning,0.094942
BERTopic-METADATA-MULTILINGUAL,metadata,1,7,record:c786ec6d166676fd48bd592f,Talleres formativos como alternativa de gestión para el involucramiento de los padres en el aprendizaje de una institución educativa de Puente Piedra,0.105604
BERTopic-METADATA-MULTILINGUAL,metadata,1,8,doi:10.24256/kelola.v8i1.3556,KOLABORASI SEKOLAH DENGAN ORANG TUA DALAM MENINGKATKAN PROSES BELAJAR PESERTA DIDIK,0.122695
BERTopic-METADATA-MULTILINGUAL,metadata,1,9,doi:10.1920/re.ifs.2024.0945,Empowering parents to improve education: evidence from rural Mexico,0.125304
BERTopic-METADATA-MULTILINGUAL,metadata,1,10,record:b93775db4af0ed0593257503,La participación de los padres en la gestión escolar a distancia en la Institución Educativa Inicial No 282 Apurimac 2023,0.135963
BERTopic-METADATA-MULTILINGUAL,metadata,2,1,doi:10.1007/978-981-16-9640-4,Educational Theory in the 21st Century,0.135042
