model,corpus,topic_id,documents,mean_silhouette,mean_distance_to_centroid,status,review_status
BERTopic-METADATA-MULTILINGUAL,metadata,0,52,0.441886,0.316274,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,1,48,0.731769,0.217103,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,2,48,0.295621,0.419843,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,3,46,0.835818,0.152073,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,4,43,0.910599,0.174188,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,5,42,0.703354,0.304153,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,6,40,0.687237,0.123555,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,7,39,0.437016,0.284011,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,8,36,0.501955,0.289637,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,9,35,0.610681,0.20451,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,10,34,0.838688,0.107142,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,11,33,0.664381,0.182671,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,12,32,0.534204,0.160624,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,13,30,0.587112,0.14972,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,14,28,0.7209,0.206081,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,15,25,0.560034,0.217289,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,16,22,0.927458,0.075092,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,17,22,0.763993,0.145739,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,18,21,0.712603,0.159172,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,19,20,0.819239,0.082003,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,20,19,0.622137,0.161939,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,21,19,0.639423,0.171569,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,22,18,0.766104,0.135869,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,23,18,0.646322,0.158517,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,24,16,0.697176,0.100552,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,25,16,0.672908,0.087604,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,26,16,0.623972,0.24949,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,27,16,0.789557,0.16571,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,28,15,0.651751,0.188923,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,29,15,0.61508,0.093924,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,30,15,0.598654,0.142792,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,31,15,0.943385,0.07008,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,32,15,0.726561,0.126602,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,33,15,0.791232,0.180557,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,34,14,0.556173,0.172927,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,35,12,0.558874,0.206331,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,36,12,0.731981,0.133588,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,37,12,0.577302,0.161474,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,38,12,0.749768,0.057531,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,39,12,0.744827,0.062766,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,40,11,0.625683,0.157071,coherent,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,41,10,0.707879,0.131063,coherent,pending_human_review
