model,corpus,topic_id,rank,document_id,title
BERTopic-METADATA-MULTILINGUAL,metadata,0,1,record:acff39dd0d01406e061c2bc0,Desafíos y estrategias en las trayectorias escolares del secundario del equipo directivo
BERTopic-METADATA-MULTILINGUAL,metadata,0,2,doi:10.22201/iisue.24486167e.2025.47.61920,¿Volverse el error de la matrix?
BERTopic-METADATA-MULTILINGUAL,metadata,0,3,record:d8c52c89a8c95bafc7989c63,Become the error in the matrix?: A critical study of leadership discourses for school management in managerial times
BERTopic-METADATA-MULTILINGUAL,metadata,1,1,doi:10.58622/vjes.v3i4.105,"Effectiveness of Parent Teacher School Management Committee on Quality of Education in Public Secondary School of Tehsil Hub, District Lasbela"
BERTopic-METADATA-MULTILINGUAL,metadata,1,2,doi:10.18764/2358-4319.v14n2p558-578,Desdobramentos da relação entre gestão escolar e família dos educandos: uma metanálise de estudos publicados entre 2009 e 2019
BERTopic-METADATA-MULTILINGUAL,metadata,1,3,doi:10.35497/408734,Parent’s Perception on Face-to-Face Learning
BERTopic-METADATA-MULTILINGUAL,metadata,2,1,doi:10.18764/2178-2229v28n3.202141,A GESTÃO PEDAGÓGICA NOS CURSOS TÉCNICOS A DISTÂNCIA: UMA ANÁLISE DA REALIDADE ESCOLAR.
BERTopic-METADATA-MULTILINGUAL,metadata,2,2,doi:10.20873/uft.rbec.e12973,A contribuição da Licenciatura em Educação do Campo UFCG para a formação docente e a prática pedagógica das escolas no Cariri paraibano: concepção dos egressos
BERTopic-METADATA-MULTILINGUAL,metadata,2,3,record:5dafdc5e92642737774921aa,Explaining the school management based on scientific metaphor or personal experience? A case study on the management approach of successful school principals
BERTopic-METADATA-MULTILINGUAL,metadata,3,1,doi:10.61728/ae24001212,Prólogo
BERTopic-METADATA-MULTILINGUAL,metadata,3,2,doi:10.31219/osf.io/z2y7c,La Inteligencia Artificial al servicio de la gestión y la implementación en la educación
BERTopic-METADATA-MULTILINGUAL,metadata,3,3,doi:10.1002/rev3.70101,Navigating the challenges and opportunities of artificial intelligence in educational leadership: A scoping review
BERTopic-METADATA-MULTILINGUAL,metadata,4,1,doi:10.31538/cjotl.v3i1.428,Islamic Boarding School Management in Forming The Religious Character of Students
BERTopic-METADATA-MULTILINGUAL,metadata,4,2,doi:10.33751/jmp.v8i1.1949,MANAJEMEN SEKOLAH DALAM MEWUJUDKAN SEKOLAH SEHAT DI SMP ISLAM CENDEKIA CIANJUR (SICC) BOARDING SCHOOL
BERTopic-METADATA-MULTILINGUAL,metadata,4,3,doi:10.52627/managere.v5i2.334,ENHANCING MORAL INTEGRITY: ISLAMIC EDUCATION'S ROLE IN FOSTERING SUPERIOR CHARACTER WITHIN ISLAMIC BOARDING SCHOOL MANAGEMENT
BERTopic-METADATA-MULTILINGUAL,metadata,5,1,doi:10.47405/mjssh.v10i2.3232,Collaborative Leadership and School Management Committees' Impact on Primary Teachers' Job Satisfaction in Sarawak Malaysia
BERTopic-METADATA-MULTILINGUAL,metadata,5,2,doi:10.1108/ijem-10-2019-0378,Leadership and motivation for improved academic performance in schools in low socio-economic contexts
BERTopic-METADATA-MULTILINGUAL,metadata,5,3,doi:10.3390/su142013322,The Effects of Organizational Justice on Employee Performance Using Dimension of Organizational Citizenship Behavior as Mediation
BERTopic-METADATA-MULTILINGUAL,metadata,6,1,doi:10.3390/ijerph20010805,Work-Related Stress of Polish School Principals during the COVID-19 Pandemic as a Risk Factor for Burnout
BERTopic-METADATA-MULTILINGUAL,metadata,6,2,doi:10.36805/bi.v4i2.1107,PENGARUH NEW NORMAL DITENGAH PANDEMI COVID-19 TERHADAP PENGELOLAHAN SEKOLAH DAN PESERTA DIDIK
BERTopic-METADATA-MULTILINGUAL,metadata,6,3,doi:10.1111/bjet.13098,Adapting educational practices in emergency remote education: Continuity and change from a student perspective
BERTopic-METADATA-MULTILINGUAL,metadata,7,1,record:2b9ac11189da15bec092953f,La convivencia escolar en comunidades educativas del Ecuador : Un Análisis de la Política Nacional de Convivencia Escolar del MINEDUC (2021)
BERTopic-METADATA-MULTILINGUAL,metadata,7,2,doi:10.70860/ufnt.rbec.e19371,As escolas de várzea na Amazônia paraense: estudo a partir de um polo no município de Óbidos-PA
BERTopic-METADATA-MULTILINGUAL,metadata,7,3,record:9a56f46987ef84cc35f8241d,"Ruralidades, Escuela y Comunidades: configuración de deseos en jóvenes de la Escuela “Las Aves” de Colombia"
BERTopic-METADATA-MULTILINGUAL,metadata,8,1,record:056f8766fc8008d524f0b9ee,"Biopolítica, imperativos de regulación y gestión escolar: Un análisis de las prácticas de directores/as del nivel secundario en el partido de San Martín a partir de la irrupción del covid 19"
