topic_a,topic_b,ctfidf_similarity,merge_candidate,review_status
-1,0,0.431085,False,pending_human_review
-1,1,0.429061,False,pending_human_review
-1,2,0.423611,False,pending_human_review
-1,3,0.395802,False,pending_human_review
-1,4,0.322654,False,pending_human_review
-1,5,0.367443,False,pending_human_review
-1,6,0.369549,False,pending_human_review
-1,7,0.373746,False,pending_human_review
-1,8,0.371168,False,pending_human_review
-1,9,0.353309,False,pending_human_review
-1,10,0.374204,False,pending_human_review
-1,11,0.337679,False,pending_human_review
-1,12,0.380796,False,pending_human_review
-1,13,0.360601,False,pending_human_review
-1,14,0.357329,False,pending_human_review
-1,15,0.303547,False,pending_human_review
-1,16,0.312171,False,pending_human_review
-1,17,0.339331,False,pending_human_review
-1,18,0.235283,False,pending_human_review
-1,19,0.226497,False,pending_human_review
-1,20,0.339006,False,pending_human_review
-1,21,0.321241,False,pending_human_review
-1,22,0.260506,False,pending_human_review
-1,23,0.301353,False,pending_human_review
-1,24,0.308991,False,pending_human_review
-1,25,0.269202,False,pending_human_review
-1,26,0.311584,False,pending_human_review
-1,27,0.291778,False,pending_human_review
-1,28,0.268968,False,pending_human_review
-1,29,0.294333,False,pending_human_review
-1,30,0.281151,False,pending_human_review
-1,31,0.291676,False,pending_human_review
-1,32,0.305483,False,pending_human_review
-1,33,0.2796,False,pending_human_review
-1,34,0.263498,False,pending_human_review
-1,35,0.260571,False,pending_human_review
-1,36,0.268966,False,pending_human_review
-1,37,0.240251,False,pending_human_review
-1,38,0.285251,False,pending_human_review
-1,39,0.235766,False,pending_human_review
-1,40,0.238551,False,pending_human_review
-1,41,0.221197,False,pending_human_review
0,1,0.210576,False,pending_human_review
0,2,0.276689,False,pending_human_review
0,3,0.220502,False,pending_human_review
0,4,0.080074,False,pending_human_review
0,5,0.1205,False,pending_human_review
0,6,0.153738,False,pending_human_review
0,7,0.240275,False,pending_human_review
0,8,0.224775,False,pending_human_review
0,9,0.133339,False,pending_human_review
0,10,0.173485,False,pending_human_review
0,11,0.094726,False,pending_human_review
0,12,0.175756,False,pending_human_review
0,13,0.168775,False,pending_human_review
