model,corpus,topic_id,rank,term,weight
BERTopic-METADATA-MULTILINGUAL,metadata,0,1,transformacional,0.2888491066261189
BERTopic-METADATA-MULTILINGUAL,metadata,0,2,liderazgo transformacional,0.2820027001528496
BERTopic-METADATA-MULTILINGUAL,metadata,0,3,liderazgo,0.2783800368248528
BERTopic-METADATA-MULTILINGUAL,metadata,0,4,liderazgo transformacional gestin,0.20165531345618484
BERTopic-METADATA-MULTILINGUAL,metadata,0,5,transformacional gestin,0.20165531345618484
BERTopic-METADATA-MULTILINGUAL,metadata,0,6,directivos,0.1952786613412235
BERTopic-METADATA-MULTILINGUAL,metadata,0,7,distribuido,0.1920362995408152
BERTopic-METADATA-MULTILINGUAL,metadata,0,8,direccin,0.18640100727610592
BERTopic-METADATA-MULTILINGUAL,metadata,0,9,transformacional gestin educativa,0.18349318489817815
BERTopic-METADATA-MULTILINGUAL,metadata,0,10,direccin escolar,0.17625356010329893
BERTopic-METADATA-MULTILINGUAL,metadata,1,1,padres,0.3854418519490676
BERTopic-METADATA-MULTILINGUAL,metadata,1,2,familia,0.36289967926056876
BERTopic-METADATA-MULTILINGUAL,metadata,1,3,parental,0.3438720845247439
BERTopic-METADATA-MULTILINGUAL,metadata,1,4,padres familia,0.34328943339028517
BERTopic-METADATA-MULTILINGUAL,metadata,1,5,parents,0.3384107619785267
BERTopic-METADATA-MULTILINGUAL,metadata,1,6,parental involvement,0.32043267399377645
BERTopic-METADATA-MULTILINGUAL,metadata,1,7,participacin padres,0.31209753099529164
BERTopic-METADATA-MULTILINGUAL,metadata,1,8,involvement,0.2893921675853156
BERTopic-METADATA-MULTILINGUAL,metadata,1,9,participacin,0.2533440388895234
BERTopic-METADATA-MULTILINGUAL,metadata,1,10,satisfaccin,0.24223088731411022
BERTopic-METADATA-MULTILINGUAL,metadata,2,1,paulo freire,0.22361023659310278
BERTopic-METADATA-MULTILINGUAL,metadata,2,2,freire,0.21476581053177285
BERTopic-METADATA-MULTILINGUAL,metadata,2,3,complejidad,0.2133470439100555
BERTopic-METADATA-MULTILINGUAL,metadata,2,4,paulo,0.2117076292777098
BERTopic-METADATA-MULTILINGUAL,metadata,2,5,filosofa,0.2078015987119094
BERTopic-METADATA-MULTILINGUAL,metadata,2,6,pedaggica,0.19734025674552866
BERTopic-METADATA-MULTILINGUAL,metadata,2,7,cursos,0.19593801809731798
BERTopic-METADATA-MULTILINGUAL,metadata,2,8,distancia,0.19291528802109614
BERTopic-METADATA-MULTILINGUAL,metadata,2,9,epistemolgica,0.18964178178488844
BERTopic-METADATA-MULTILINGUAL,metadata,2,10,trabajo colegiado,0.1869598047910738
BERTopic-METADATA-MULTILINGUAL,metadata,3,1,artificial,0.4625737780764896
BERTopic-METADATA-MULTILINGUAL,metadata,3,2,ia,0.451942982034856
BERTopic-METADATA-MULTILINGUAL,metadata,3,3,inteligencia artificial,0.4171798684430423
BERTopic-METADATA-MULTILINGUAL,metadata,3,4,inteligencia,0.4115278218601629
BERTopic-METADATA-MULTILINGUAL,metadata,3,5,ai,0.4029123175023571
BERTopic-METADATA-MULTILINGUAL,metadata,3,6,intelligence,0.3324821868996912
BERTopic-METADATA-MULTILINGUAL,metadata,3,7,artificial intelligence,0.32590170642589217
BERTopic-METADATA-MULTILINGUAL,metadata,3,8,machine learning,0.24691139346017985
BERTopic-METADATA-MULTILINGUAL,metadata,3,9,inteligencia artificial ia,0.24502099468909677
BERTopic-METADATA-MULTILINGUAL,metadata,3,10,artificial ia,0.24502099468909677
BERTopic-METADATA-MULTILINGUAL,metadata,4,1,boarding,0.5323366308386878
BERTopic-METADATA-MULTILINGUAL,metadata,4,2,islamic,0.5100647288439872
BERTopic-METADATA-MULTILINGUAL,metadata,4,3,islamic boarding,0.4847633583350749
BERTopic-METADATA-MULTILINGUAL,metadata,4,4,boarding school,0.4733775542881123
BERTopic-METADATA-MULTILINGUAL,metadata,4,5,character,0.39364748761978524
BERTopic-METADATA-MULTILINGUAL,metadata,4,6,boarding schools,0.3619247136042764
BERTopic-METADATA-MULTILINGUAL,metadata,4,7,boarding school management,0.3396786162254813
BERTopic-METADATA-MULTILINGUAL,metadata,4,8,islamic boarding schools,0.3396786162254813
BERTopic-METADATA-MULTILINGUAL,metadata,4,9,islam,0.3289673398007987
BERTopic-METADATA-MULTILINGUAL,metadata,4,10,religious,0.3177450940906087
BERTopic-METADATA-MULTILINGUAL,metadata,5,1,job,0.3877939214921482
BERTopic-METADATA-MULTILINGUAL,metadata,5,2,satisfaction,0.3739778199715476
BERTopic-METADATA-MULTILINGUAL,metadata,5,3,job satisfaction,0.35131080298860695
BERTopic-METADATA-MULTILINGUAL,metadata,5,4,motivation,0.30371251145952577
BERTopic-METADATA-MULTILINGUAL,metadata,5,5,teachers,0.28415512747117677
BERTopic-METADATA-MULTILINGUAL,metadata,5,6,performance,0.277824079644748
BERTopic-METADATA-MULTILINGUAL,metadata,5,7,stress,0.2670793670907118
