model,corpus,topic_id,year,documents_in_year,cluster_documents,cluster_share,mean_assignment_probability,outlier_share,lower_95,upper_95,uncertainty_method,year_complete
BERTopic-METADATA-MULTILINGUAL,metadata,0,2020,313,6,0.019169,0.493018,0.552716,0.00639,0.035144,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,1,2020,313,7,0.022364,0.375809,0.552716,0.00639,0.038339,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,10,2020,313,3,0.009585,0.217453,0.552716,0.0,0.022364,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,11,2020,313,6,0.019169,0.537687,0.552716,0.00639,0.035144,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,12,2020,313,6,0.019169,0.516632,0.552716,0.00639,0.035144,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,13,2020,313,1,0.003195,0.136831,0.552716,0.0,0.009585,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,14,2020,313,5,0.015974,0.431489,0.552716,0.003195,0.028754,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,15,2020,313,4,0.01278,0.629161,0.552716,0.003195,0.025559,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,16,2020,313,6,0.019169,0.523375,0.552716,0.00639,0.038339,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,17,2020,313,3,0.009585,0.382632,0.552716,0.0,0.022364,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,18,2020,313,9,0.028754,0.677623,0.552716,0.009585,0.047923,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,19,2020,313,4,0.01278,0.732569,0.552716,0.0,0.025559,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,2,2020,313,6,0.019169,0.40619,0.552716,0.00639,0.035144,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,20,2020,313,3,0.009585,0.717241,0.552716,0.0,0.019169,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,21,2020,313,1,0.003195,1.0,0.552716,0.0,0.009585,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,22,2020,313,1,0.003195,1.0,0.552716,0.0,0.009585,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,23,2020,313,0,0.0,0,0.552716,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,24,2020,313,0,0.0,0,0.552716,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,25,2020,313,6,0.019169,0.839063,0.552716,0.00639,0.031949,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,26,2020,313,3,0.009585,0.718105,0.552716,0.0,0.022364,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,27,2020,313,1,0.003195,0.186876,0.552716,0.0,0.009585,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,28,2020,313,2,0.00639,0.617396,0.552716,0.0,0.015974,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,29,2020,313,0,0.0,0,0.552716,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,3,2020,313,3,0.009585,0.304597,0.552716,0.0,0.019169,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,30,2020,313,2,0.00639,0.189017,0.552716,0.0,0.015974,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,31,2020,313,3,0.009585,0.904621,0.552716,0.0,0.022364,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,32,2020,313,0,0.0,0,0.552716,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,33,2020,313,2,0.00639,1.0,0.552716,0.0,0.015974,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,34,2020,313,0,0.0,0,0.552716,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,35,2020,313,2,0.00639,0.659092,0.552716,0.0,0.015974,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,36,2020,313,0,0.0,0,0.552716,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,37,2020,313,1,0.003195,1.0,0.552716,0.0,0.009585,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,38,2020,313,1,0.003195,1.0,0.552716,0.0,0.009585,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,39,2020,313,1,0.003195,1.0,0.552716,0.0,0.009585,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,4,2020,313,8,0.025559,0.51127,0.552716,0.009585,0.044728,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,40,2020,313,2,0.00639,0.626515,0.552716,0.0,0.015974,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,41,2020,313,0,0.0,0,0.552716,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,5,2020,313,8,0.025559,0.49724,0.552716,0.009585,0.041534,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,6,2020,313,6,0.019169,0.4188,0.552716,0.00639,0.035144,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,7,2020,313,7,0.022364,0.570348,0.552716,0.00639,0.038339,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,8,2020,313,4,0.01278,0.365226,0.552716,0.003195,0.028754,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,9,2020,313,7,0.022364,0.826506,0.552716,0.00639,0.041534,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,0,2021,321,7,0.021807,0.389324,0.570093,0.006231,0.037383,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,1,2021,321,7,0.021807,0.250868,0.570093,0.006231,0.037383,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,10,2021,321,5,0.015576,0.540566,0.570093,0.003115,0.031153,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,11,2021,321,4,0.012461,0.616898,0.570093,0.003115,0.024922,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,12,2021,321,5,0.015576,0.696236,0.570093,0.003115,0.028037,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,13,2021,321,2,0.006231,0.270782,0.570093,0.0,0.015576,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,14,2021,321,6,0.018692,0.170211,0.570093,0.006231,0.034268,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,15,2021,321,4,0.012461,0.660612,0.570093,0.003115,0.024922,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,16,2021,321,7,0.021807,0.978864,0.570093,0.009346,0.037383,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,17,2021,321,4,0.012461,0.451034,0.570093,0.003115,0.024922,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,18,2021,321,3,0.009346,0.857255,0.570093,0.0,0.018692,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,19,2021,321,2,0.006231,0.424441,0.570093,0.0,0.015576,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,2,2021,321,7,0.021807,0.531622,0.570093,0.006231,0.037383,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,20,2021,321,2,0.006231,0.621733,0.570093,0.0,0.018692,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,21,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,22,2021,321,3,0.009346,0.863676,0.570093,0.0,0.021807,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,23,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,24,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,25,2021,321,1,0.003115,0.43601,0.570093,0.0,0.012461,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,26,2021,321,1,0.003115,0.232558,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,27,2021,321,2,0.006231,1.0,0.570093,0.0,0.015576,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,28,2021,321,4,0.012461,0.813533,0.570093,0.003115,0.024922,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,29,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,3,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,30,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,31,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,32,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,33,2021,321,2,0.006231,0.162946,0.570093,0.0,0.015576,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,34,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,35,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,36,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,37,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,38,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
