phase,n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_selection_method,clusters,outlier_share,clustered_documents,minimum_cluster_size_observed,median_cluster_size,maximum_cluster_size,maximum_cluster_share,clusters_at_minimum_size_share,silhouette,dbcv,topic_diversity,language_cluster_nmi,language_concentrated_topics,contaminated_topic_candidates,recovery_share,mean_language_entropy,elapsed_seconds,seed,rejection_reasons,multi_criteria_score,rank,solution_status,human_review_status,stability_status,solution_id,stability_ari_mean,stability_nmi_mean,centroid_stability_mean,top_word_jaccard_mean,topic_count_variation,outlier_variation
macro_hdbscan_screen,10,10,0.0,25,5,eom,22,0.334555,1452,25,44.0,208,0.143251,0.090909,0.524404,0.316098,0.993939,0.12837,6,1,0.665445,0.486662,3.403,42,,0.465159,1,competitive,pending,computed_five_runs,S1,0.517599,0.768083,0.994646,0.691593,4.707441,0.101311
macro_umap_screen,10,10,0.1,35,5,eom,14,0.385885,1340,38,69.5,316,0.235821,0.142857,0.528645,0.183095,1.0,0.12115,6,0,0.614115,0.515138,14.695,42,,0.432261,2,preferred_provisional,pending,computed_five_runs,S2,0.786046,0.8526,0.998545,0.719869,1.019804,0.027202
macro_hdbscan_screen,30,5,0.1,35,10,eom,12,0.448213,1204,35,59.0,303,0.251661,0.25,0.551579,0.234356,1.0,0.126854,4,0,0.551787,0.544,3.211,42,,0.430762,3,competitive,pending,computed_five_runs,S3,0.356922,0.414246,0.98876,0.437621,4.664762,0.225212
macro_hdbscan_screen,30,5,0.1,25,5,eom,19,0.402383,1304,25,40.0,283,0.217025,0.105263,0.43974,0.104997,0.985965,0.146026,8,1,0.597617,0.50301,3.925,42,,0.387486,4,competitive,pending,computed_five_runs,S4,0.255853,0.387147,0.989919,0.504531,6.615134,0.159203
macro_umap_screen,30,5,0.1,35,5,eom,2,0.0,2182,45,1091.0,2137,0.979377,0.0,0.395259,0.304601,0.966667,0.001746,0,0,1.0,0.719744,17.147,42,too_few_topics | dominant_giant_cluster,0.479993,5,rejected,pending,pending,,,,,,,
macro_umap_screen,10,10,0.0,35,5,eom,8,0.036664,2102,43,68.5,1607,0.76451,0.0,0.366297,0.285818,1.0,0.050056,1,0,0.963336,0.602549,15.353,42,dominant_giant_cluster,0.477405,6,rejected,pending,pending,,,,,,,
macro_hdbscan_screen,10,10,0.0,50,10,eom,6,0.120532,1919,50,78.5,1511,0.787389,0.166667,0.363158,0.31709,1.0,0.035419,0,0,0.879468,0.694548,3.757,42,dominant_giant_cluster,0.455189,7,rejected,pending,pending,,,,,,,
macro_hdbscan_screen,10,10,0.0,50,5,eom,6,0.076994,2014,50,78.0,1607,0.797915,0.166667,0.351887,0.248296,1.0,0.033686,0,0,0.923006,0.694929,3.775,42,dominant_giant_cluster,0.447661,8,rejected,pending,pending,,,,,,,
macro_umap_screen,15,5,0.0,35,5,eom,7,0.031622,2113,43,75.0,1659,0.78514,0.0,0.35517,0.109246,1.0,0.051064,1,0,0.968378,0.588882,15.911,42,dominant_giant_cluster,0.440814,9,rejected,pending,pending,,,,,,,
macro_hdbscan_screen,15,5,0.0,35,10,eom,7,0.036664,2102,43,74.0,1648,0.784015,0.0,0.357007,0.110385,1.0,0.051656,1,0,0.963336,0.588684,3.885,42,dominant_giant_cluster,0.440566,10,rejected,pending,pending,,,,,,,
macro_umap_screen,30,10,0.0,35,5,eom,6,0.036664,2102,39,78.5,1716,0.816365,0.0,0.303531,0.178563,1.0,0.041657,1,0,0.963336,0.620792,16.88,42,dominant_giant_cluster,0.436365,11,rejected,pending,pending,,,,,,,
macro_hdbscan_screen,15,5,0.0,25,5,eom,8,0.033456,2109,25,60.0,1659,0.786629,0.125,0.328999,0.105125,0.991667,0.054037,2,0,0.966544,0.545383,3.794,42,dominant_giant_cluster,0.427033,12,rejected,pending,pending,,,,,,,
macro_umap_screen,10,5,0.0,35,5,eom,10,0.213566,1716,43,76.0,764,0.445221,0.0,0.421909,0.084279,0.993333,0.084405,1,0,0.786434,0.592016,30.026,42,dominant_giant_cluster,0.425356,13,rejected,pending,pending,,,,,,,
macro_hdbscan_screen,15,5,0.0,50,5,eom,5,0.071952,2025,64,83.0,1659,0.819259,0.0,0.34837,0.075056,1.0,0.033956,0,0,0.928048,0.69427,3.864,42,dominant_giant_cluster,0.422207,14,rejected,pending,pending,,,,,,,
macro_hdbscan_screen,15,5,0.0,50,10,eom,5,0.076994,2014,64,84.0,1648,0.818272,0.0,0.350108,0.076195,1.0,0.034436,0,0,0.923006,0.693994,3.888,42,dominant_giant_cluster,0.421943,15,rejected,pending,pending,,,,,,,
macro_hdbscan_screen,10,10,0.0,35,10,eom,9,0.140697,1875,43,62.0,1336,0.712533,0.0,0.215555,0.240054,1.0,0.062597,2,0,0.859303,0.580126,3.591,42,dominant_giant_cluster,0.40948,16,rejected,pending,pending,,,,,,,
macro_umap_screen,15,10,0.0,35,5,eom,9,0.106324,1950,43,62.0,1398,0.716923,0.0,0.198828,0.11565,1.0,0.059408,1,0,0.893676,0.596569,15.754,42,dominant_giant_cluster,0.38891,17,rejected,pending,pending,,,,,,,
macro_umap_screen,30,10,0.1,35,5,eom,4,0.014665,2150,45,109.5,1886,0.877209,0.0,0.25618,-0.021529,1.0,0.020649,0,0,0.985335,0.719052,17.139,42,too_few_topics | dominant_giant_cluster,0.388151,18,rejected,pending,pending,,,,,,,
macro_umap_screen,15,10,0.1,35,5,eom,7,0.088451,1989,44,75.0,1534,0.771242,0.0,0.307187,-0.088963,1.0,0.054643,1,0,0.911549,0.588559,16.299,42,dominant_giant_cluster,0.381114,19,rejected,pending,pending,,,,,,,
macro_umap_screen,30,5,0.0,35,5,eom,11,0.232814,1674,35,62.0,754,0.450418,0.090909,0.36667,-0.078156,1.0,0.079645,1,1,0.767186,0.642515,16.338,42,dominant_giant_cluster,0.374183,20,rejected,pending,pending,,,,,,,
macro_umap_screen,10,5,0.1,35,5,eom,4,0.015124,2149,43,69.0,1968,0.915775,0.0,0.231372,-0.073858,0.983333,0.053899,1,0,0.984876,0.494249,15.948,42,too_few_topics | dominant_giant_cluster,0.365711,21,rejected,pending,pending,,,,,,,
macro_hdbscan_screen,30,5,0.1,50,5,eom,3,0.07791,2012,74,82.0,1856,0.922465,0.0,0.218951,0.033713,0.933333,0.006738,0,0,0.92209,0.75594,3.958,42,too_few_topics | dominant_giant_cluster,0.36451,22,rejected,pending,pending,,,,,,,
macro_umap_screen,15,5,0.1,35,5,eom,7,0.079743,2008,44,73.0,1556,0.7749,0.0,0.301419,-0.19813,1.0,0.05534,1,0,0.920257,0.588485,16.219,42,dominant_giant_cluster,0.361346,23,rejected,pending,pending,,,,,,,
macro_hdbscan_screen,30,5,0.1,50,10,eom,4,0.230522,1679,73,109.0,1388,0.826683,0.0,0.277699,-0.008544,0.983333,0.027831,0,0,0.769478,0.734645,3.722,42,too_few_topics | dominant_giant_cluster,0.354274,24,rejected,pending,pending,,,,,,,
