document_id,publication_document_id,model,corpus,topic_id,topic_probability,hdbscan_membership_strength,bertopic_topic_distribution_max,bertopic_second_topic_id,bertopic_second_distribution,probability_margin,outlier_score,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,suggested_topic,reassignment_method,reassignment_confidence,accepted_reassignment,relevance_status,relevance_score,silhouette,distance_to_centroid,local_consistency,nearest_topic,nearest_centroid_similarity,second_nearest_topic,second_nearest_centroid_similarity,assignment_margin,semantic_distance_to_centroid
doi:10.1177/17411432211009902,doi:10.1177/17411432211009902,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8666737140172653,0.866674,0.40199313820931887,13,0.07083856070517643,0.33115457750414246,0.352287,False,False,2021,en,Teacher leaders' brokerage practice in China: Impact on teacher learning in a school-university partnership,10.1177/17411432211009902,OpenAlex,metadata,0,0,False,0,,,,False,included,1.007997,0.550482,0.303286,0.9,0,0.764008,1,0.68825,0.075758,0.235992
doi:10.46932/sfjdv2n2-062,doi:10.46932/sfjdv2n2-062,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.9087106029003604,0.908711,0.2968079616690752,13,0.09413377146072185,0.20267419020835334,0.32087,False,False,2021,es,Efectos de estilos de liderazgo del director en la gestión de Instituciones Educativas,10.46932/sfjdv2n2-062,OpenAlex,metadata,0,0,False,0,,,,False,included,1.037509,0.583142,0.311223,0.9,0,0.937472,1,0.871413,0.06606,0.062528
doi:10.14217/comsec.963,doi:10.14217/comsec.963,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8561799676046089,0.85618,0.3631982363273729,13,0.07128336877262438,0.29191486755474855,0.360129,False,False,2022,en,Commonwealth Educational Leadership Handbook,10.14217/comsec.963,OpenAlex,metadata,0,0,False,0,,,,False,included,1.02384,0.568831,0.315476,1.0,0,0.850156,1,0.779987,0.070169,0.149844
doi:10.61796/ejlhss.v1i1.12,doi:10.61796/ejlhss.v1i1.12,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8756725594554442,0.875673,0.43252466810865325,13,0.06505824901238055,0.3674664190962727,0.345561,False,False,2023,en,Importance of Upskilling and Reskilling in Educational Leadership and Management,10.61796/ejlhss.v1i1.12,OpenAlex,metadata,0,0,False,0,,,,False,included,1.069816,0.578231,0.31997,1.0,0,0.875046,13,0.821976,0.05307,0.124954
doi:10.35766/jf20223,doi:10.35766/jf20223,BERTopic-METADATA-MULTILINGUAL,metadata,0,1.0,1.0,1.0,7,3.930555311549668e-308,1.0,0.0,False,False,2020,es,"La evaluación de la competencia del liderazgo en la dirección escolar, desde la perspectiva de la socioformación",10.35766/jf20223,OpenAlex,metadata,0,0,False,0,,,,False,included,1.020729,0.619534,0.327991,1.0,0,0.91605,7,0.856705,0.059345,0.08395
doi:10.47865/igob.vol5.n17.2022.183,doi:10.47865/igob.vol5.n17.2022.183,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8715367761778567,0.871537,0.3088067538883539,13,0.0949205108405371,0.21388624304781678,0.348652,False,False,2022,es,Dimensiones de la gestión escolar liderazgo y autoevaluación,10.47865/igob.vol5.n17.2022.183,OpenAlex,metadata,0,0,False,0,,,,False,included,1.017007,0.545411,0.329808,1.0,0,0.942504,4,0.884256,0.058248,0.057496
doi:10.26885/rcei.11.1.9,doi:10.26885/rcei.11.1.9,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8553169996891316,0.855317,0.2667500347059357,13,0.0988258286443818,0.16792420606155392,0.360774,False,False,2022,es,Estilo de liderazgo y nivel de desempeño en la gestión escolar,10.26885/rcei.11.1.9,OpenAlex,metadata,0,0,False,0,,,,False,included,1.017874,0.519434,0.330282,0.9,0,0.959414,1,0.912737,0.046677,0.040586
doi:10.48190/cumbres.v11n2a2,doi:10.48190/cumbres.v11n2a2,BERTopic-METADATA-MULTILINGUAL,metadata,0,1.0,1.0,1.0,7,3.9106498686431804e-308,1.0,0.0,False,False,2026,es,Revisión sistemática: liderazgo educativo un eje transformador para la excelencia académica,10.48190/cumbres.v11n2a2,OpenAlex,metadata,0,0,False,0,,,,False,included,1.018075,0.616246,0.348563,1.0,0,0.936074,4,0.871146,0.064928,0.063926
doi:10.70577/reg.v4i3.292,doi:10.70577/reg.v4i3.292,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.9265019077502181,0.926502,0.4736879795434722,13,0.06571984850029929,0.4079681310431729,0.307574,False,False,2025,es,Competencias directivas que favorecen el desarrollo del liderazgo docente,10.70577/reg.v4i3.292,OpenAlex,metadata,0,0,False,0,,,,False,included,1.016678,0.549056,0.357363,1.0,0,0.937009,4,0.867652,0.069357,0.062991
doi:10.7176/jep/12-13-04,doi:10.7176/jep/12-13-04,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8160869425990593,0.816087,0.297249599182458,13,0.08233784593617195,0.21491175324628609,0.390093,False,False,2021,en,"An Investigation to Political Interference in Public Secondary School Management and Leadership Practice in Addis Ababa, Ethiopia",10.7176/jep/12-13-04,OpenAlex,metadata,0,0,False,0,,,,False,included,1.052502,0.595566,0.360902,1.0,0,0.854038,1,0.819406,0.034632,0.145962
