document_id,publication_document_id,model,corpus,topic_id,topic_probability,hdbscan_membership_strength,bertopic_topic_distribution_max,bertopic_second_topic_id,bertopic_second_distribution,probability_margin,outlier_score,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,suggested_topic,reassignment_method,reassignment_confidence,accepted_reassignment,relevance_status,relevance_score,silhouette,distance_to_centroid,local_consistency,nearest_topic,nearest_centroid_similarity,second_nearest_topic,second_nearest_centroid_similarity,assignment_margin,semantic_distance_to_centroid
doi:10.15443/tde1006,doi:10.15443/tde1006,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7643443595107466,0.764344,0.38270978321246163,0,0.06255530735704816,0.32015447585541346,0.428763,False,True,2024,es,Cultura de trabajo docente y gestión del cambio: del aislamiento a la colaboración,10.15443/tde1006,OpenAlex,metadata,0,0,False,0,,,,False,included,1.016253,-0.478326,1.712018,0.2,7,0.83059,0,0.805285,0.025305,0.194715
doi:10.33996/revistahorizontes.v9i38.1019,doi:10.33996/revistahorizontes.v9i38.1019,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7685146920495363,0.768515,0.14086664260536125,13,0.10054293491349095,0.0403237076918703,0.425646,False,True,2025,es,Perspectiva de directivos de instituciones educativas respecto al manejo de habilidades blandas y gestión escolar,10.33996/revistahorizontes.v9i38.1019,OpenAlex,metadata,0,0,False,0,,,,False,included,1.026147,-0.066134,1.292597,0.4,1,0.903549,0,0.896659,0.00689,0.103341
doi:10.53555/kuey.v30i10.8124,doi:10.53555/kuey.v30i10.8124,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.771529308622416,0.771529,0.2811951494061203,13,0.0876178156747342,0.19357733373138608,0.423393,False,True,2024,en,Survey of Nigerian Secondary School Principals' Educational Innovation and Leadership Behaviour: Implications for Effective School Management,10.53555/kuey.v30i10.8124,OpenAlex,metadata,0,0,False,0,,,,False,included,1.103574,0.474767,0.496679,0.9,0,0.83441,1,0.797031,0.037379,0.16559
doi:10.1163/9789004461871,doi:10.1163/9789004461871,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7737916483921807,0.773792,0.3175751320712972,7,0.06103661907617711,0.2565385129951201,0.421703,False,False,2021,en,Enacting and Conceptualizing Educational Leadership within the Mediterranean Region,10.1163/9789004461871,OpenAlex,metadata,0,0,False,0,,,,False,included,1.02259,0.609426,0.677914,1.0,0,0.823134,4,0.735469,0.087665,0.176866
doi:10.4471/ijelm.16158,doi:10.4471/ijelm.16158,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7756980757793628,0.775698,0.38768774687217006,7,0.05746580910479975,0.3302219377673703,0.420278,False,True,2025,es,Liderazgo de Directoras en EMTP y la Promoción de la Perspectiva de Género en contextos Masculinizados,10.4471/ijelm.16158,OpenAlex,metadata,0,0,False,0,,,,False,included,1.019424,0.462037,0.966431,1.0,0,0.777767,8,0.750704,0.027063,0.222233
doi:10.1108/ijem-07-2019-0253,doi:10.1108/ijem-07-2019-0253,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7780258686118797,0.778026,0.3289854882337035,13,0.06910277152957876,0.2598827167041247,0.418538,False,True,2020,en,Exploring role of gratitude in developing teacher leadership in Indian universities,10.1108/ijem-07-2019-0253,OpenAlex,metadata,0,0,False,0,,,,False,included,0.981798,0.552485,0.740315,1.0,0,0.789809,13,0.775993,0.013816,0.210191
doi:10.5897/err2020.4076,doi:10.5897/err2020.4076,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7782098661906972,0.77821,0.3581357872478495,13,0.07767589147753803,0.2804598957703115,0.418401,False,True,2021,en,"Empowerment of the school management team by secondary schools principals in Tshwane West District, South Africa",10.5897/err2020.4076,OpenAlex,metadata,0,0,False,0,,,,False,included,1.064174,0.289533,0.981152,1.0,0,0.832032,1,0.763587,0.068445,0.167969
doi:10.46363/searching.v5i2.3,doi:10.46363/searching.v5i2.3,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7794339148044376,0.779434,0.2794332434465165,7,0.07261404962239909,0.2068191938241174,0.417486,False,True,2024,es,"Gestión educativa y liderazgo transformacional en las instituciones educativas de Trujillo, 2024",10.46363/searching.v5i2.3,OpenAlex,metadata,0,0,False,0,,,,False,included,0.663176,0.351529,1.088593,0.9,0,0.844875,4,0.837029,0.007846,0.155125
doi:10.31876/rcs.v26i0.34134,doi:10.31876/rcs.v26i0.34134,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7804364599184442,0.780436,0.18519971353780498,4,0.09269423775222227,0.09250547578558271,0.416737,False,True,2020,en,Liderazgo pedagógico en Arequipa-Perú: Competencias directivas,10.31876/rcs.v26i0.34134,OpenAlex,metadata,0,0,False,0,,,,False,included,1.02764,-0.003116,1.500957,0.6,4,0.870561,0,0.844418,0.026143,0.155582
record:280d0d192f9faa0b0856d9d2,record:280d0d192f9faa0b0856d9d2,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7810754702129282,0.781075,0.20606866486318703,7,0.09904755900927684,0.1070211058539102,0.416259,False,True,2025,es,Investigar sobre dirección escolar: una aproximación al estado del arte,,CONICET Digital,metadata,0,0,False,0,,,,False,included,1.023621,0.442518,0.796652,0.7,0,0.931331,7,0.880652,0.050679,0.068669
