document_id,publication_document_id,model,corpus,topic_id,topic_probability,hdbscan_membership_strength,bertopic_topic_distribution_max,bertopic_second_topic_id,bertopic_second_distribution,probability_margin,outlier_score,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,suggested_topic,reassignment_method,reassignment_confidence,accepted_reassignment,relevance_status,relevance_score,silhouette,distance_to_centroid,local_consistency,nearest_topic,nearest_centroid_similarity,second_nearest_topic,second_nearest_centroid_similarity,assignment_margin,semantic_distance_to_centroid
doi:10.46498/reduipb.v25i1.1462,doi:10.46498/reduipb.v25i1.1462,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.09608309034074088,0,0.0639036264983247,0.03217946384241617,0.689947,True,True,2021,es,Gestión escolar y liderazgo del directivo: Aporte para la calidad educativa,10.46498/reduipb.v25i1.1462,OpenAlex,metadata,-1,-1,False,-1,0,nearest_semantic_centroid,0.909382,False,included,1.026973,,,1.0,0,0.909382,4,0.890487,0.018895,
doi:10.15517/revedu.v45i1.40537,doi:10.15517/revedu.v45i1.40537,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.1344317926459609,12,0.1204724286581575,0.013959363987803397,0.525552,True,True,2021,es,"Análisis del modelo de gestión escolar en instituciones educativas públicas multigrado de San Ignacio, Perú",10.15517/revedu.v45i1.40537,OpenAlex,metadata,-1,-1,False,-1,4,nearest_semantic_centroid,0.906041,False,included,1.011721,,,0.4,4,0.906041,3,0.904633,0.001407,
doi:10.33386/593dp.2024.1-1.2266,doi:10.33386/593dp.2024.1-1.2266,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.303893352607456,7,0.0713011878239372,0.2325921647835188,0.321052,True,True,2024,es,Gestión escolar y calidad educativa,10.33386/593dp.2024.1-1.2266,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.877776,False,included,1.009221,,,0.4,1,0.877776,7,0.873133,0.004643,
doi:10.33996/revistahorizontes.v7i30.655,doi:10.33996/revistahorizontes.v7i30.655,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.10382117768505339,1,0.0920226192280024,0.011798558457050995,0.491218,True,True,2023,es,Gestión escolar de los directivos en instituciones educativas: Revisión sistemática,10.33996/revistahorizontes.v7i30.655,OpenAlex,metadata,-1,-1,False,-1,4,nearest_semantic_centroid,0.918405,False,included,1.017541,,,0.6,4,0.918405,1,0.912329,0.006077,
doi:10.52080/rvgluz.27.97.5,doi:10.52080/rvgluz.27.97.5,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.1656285373365956,1,0.08414953741823786,0.08147899991835775,0.470689,True,True,2022,es,Gestión escolar durante la pandemia: relación entre el acompañamiento pedagógico y el desempeño docente,10.52080/rvgluz.27.97.5,OpenAlex,metadata,-1,-1,False,-1,4,nearest_semantic_centroid,0.9025,False,included,1.006287,,,0.4,4,0.9025,3,0.891028,0.011472,
doi:10.37811/cl_rcm.v8i3.11546,doi:10.37811/cl_rcm.v8i3.11546,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.13345556207997578,4,0.111490236128351,0.021965325951624773,0.456308,True,True,2024,es,Incidencia de la Gestión Escolar en el Rendimiento Académico,10.37811/cl_rcm.v8i3.11546,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.936591,False,included,1.008925,,,0.5,1,0.936591,4,0.930331,0.00626,
doi:10.56200/mried.v2iespecial.6465,doi:10.56200/mried.v2iespecial.6465,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.16558892932172645,7,0.08654921011669683,0.07903971920502961,0.284238,True,True,2023,es,Gestión escolar en el desarrollo de los procesos pedagógicos por competencia en un Centro Educativo,10.56200/mried.v2iespecial.6465,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.935455,False,included,1.013611,,,0.2,1,0.935455,7,0.887396,0.048059,
doi:10.47192/rcs.v3i1.81,doi:10.47192/rcs.v3i1.81,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.09635247605157306,0,0.09538923360719216,0.0009632424443808962,0.501745,True,True,2022,es,Coaching y desempeño docente en la gestión escolar,10.47192/rcs.v3i1.81,OpenAlex,metadata,-1,-1,False,-1,13,nearest_semantic_centroid,0.831436,False,included,1.008488,,,0.8,13,0.831436,0,0.817204,0.014232,
doi:10.18050/eduser.v10n2a2,doi:10.18050/eduser.v10n2a2,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.09107601651795273,0,0.0725445385013676,0.018531478016585126,0.684936,True,True,2023,es,Competencias directivas y gestión escolar en la educación básica regular,10.18050/eduser.v10n2a2,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.906782,False,included,1.046849,,,0.3,1,0.906782,4,0.877538,0.029244,
doi:10.55560/arete.2023.18.9.7,doi:10.55560/arete.2023.18.9.7,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.1990735208502539,12,0.09977644011841504,0.09929708073183886,0.504841,True,True,2023,es,Impacto de la emigración de docentes venezolanos de educación inicial en la gestión escolar. Caso: instituciones privadas del municipio Baruta,10.55560/arete.2023.18.9.7,OpenAlex,metadata,-1,-1,False,-1,3,nearest_semantic_centroid,0.883939,False,included,1.015984,,,0.1,3,0.883939,12,0.860197,0.023742,
doi:10.31876/rcs.v28i.38152,doi:10.31876/rcs.v28i.38152,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.11496592450420846,12,0.0934628476959331,0.02150307680827536,0.506951,True,True,2022,es,Factores de gestión escolar en el compromiso organizacional en una Red educativa en Perú,10.31876/rcs.v28i.38152,OpenAlex,metadata,-1,-1,False,-1,4,nearest_semantic_centroid,0.912105,False,included,1.009419,,,0.7,4,0.912105,3,0.907044,0.005061,
doi:10.52080/rvgluz.29.e12.40,doi:10.52080/rvgluz.29.e12.40,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.26286126821511263,7,0.07720774751507756,0.18565352070003507,0.321637,True,True,2024,es,Gestión escolar: calidad de la educación centrada en la persona,10.52080/rvgluz.29.e12.40,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.925169,False,included,1.014949,,,0.5,1,0.925169,7,0.885271,0.039898,
doi:10.59427/rcli/2024/v24cs.1167-1172,doi:10.59427/rcli/2024/v24cs.1167-1172,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.10149352586219981,10,0.0887908367216302,0.012702689140569615,0.507757,True,True,2024,es,Manejo del conflicto en la gestión escolar: Una revisión sistemática,10.59427/rcli/2024/v24cs.1167-1172,OpenAlex,metadata,-1,-1,False,-1,7,nearest_semantic_centroid,0.790226,False,included,1.01582,,,1.0,7,0.790226,3,0.780128,0.010098,
doi:10.37811/cl_rcm.v5i6.1431,doi:10.37811/cl_rcm.v5i6.1431,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.10957932918472202,0,0.07690589265686625,0.03267343652785577,0.680308,True,True,2022,es,Trabajo remoto y liderazgo adaptativo en la gestión escolar en instituciones educativas,10.37811/cl_rcm.v5i6.1431,OpenAlex,metadata,-1,-1,False,-1,7,nearest_semantic_centroid,0.876142,False,included,1.018719,,,0.6,7,0.876142,1,0.873843,0.002299,
doi:10.56124/jbs.v3i2.0007,doi:10.56124/jbs.v3i2.0007,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.09820566531843415,4,0.06754321423274087,0.03066245108569328,0.69206,True,True,2022,es,"Gestión escolar y su incidencia en la calidad educativa, distrito de educación junín - bolivar",10.56124/jbs.v3i2.0007,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.939473,False,included,1.014777,,,0.3,1,0.939473,4,0.928746,0.010728,
doi:10.54942/qantuyachay.v3i1.43,doi:10.54942/qantuyachay.v3i1.43,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.11024364903750188,7,0.10261994003117623,0.007623709006325641,0.470481,True,True,2023,es,"La gestión escolar, el liderazgo pedagógico y la mejora de la práctica docente en los Centros de Educación Básica Alternativa de la UGEL 06, 2020",10.54942/qantuyachay.v3i1.43,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.9004,False,included,1.016977,,,0.7,1,0.9004,0,0.896967,0.003433,
doi:10.61598/s.r.c.a.v3i2.47,doi:10.61598/s.r.c.a.v3i2.47,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.11378194921647855,12,0.08572229970157076,0.02805964951490779,0.705244,True,True,2023,es,Análisis de la Relación entre la Gestión Escolar Participativa y la Calidad de la Educación en Escuelas Públicas de América Latina,10.61598/s.r.c.a.v3i2.47,OpenAlex,metadata,-1,-1,False,-1,10,nearest_semantic_centroid,0.926927,False,included,1.015142,,,0.7,10,0.926927,3,0.917576,0.009351,
doi:10.37177/unicen/eb31-287,doi:10.37177/unicen/eb31-287,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.29280762462755777,3,0.10314004213018466,0.18966758249737312,0.457218,True,True,2021,es,El paradigma de la convivencia en la gestión escolar: políticas educativas y marco legal,10.37177/unicen/eb31-287,CONICET Digital | OpenAlex,metadata,-1,-1,False,-1,12,nearest_semantic_centroid,0.906118,False,included,1.006916,,,0.5,12,0.906118,3,0.895216,0.010903,
doi:10.60112/erc.v3i1.25,doi:10.60112/erc.v3i1.25,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.21396477353527252,3,0.09876588728498799,0.11519888625028453,0.48636,True,True,2023,es,Evaluación de la Conexión entre la Administración Educativa Participativa y la Excelencia en la Enseñanza en Instituciones Públicas de América Latina,10.60112/erc.v3i1.25,OpenAlex,metadata,-1,-1,False,-1,3,nearest_semantic_centroid,0.927765,False,included,1.009614,,,0.1,3,0.927765,10,0.914578,0.013187,
doi:10.46932/sfjdv6n10-027,doi:10.46932/sfjdv6n10-027,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.08721851405374098,0,0.04536910779115433,0.04184940626258665,0.726,True,True,2025,es,Innovación pedagógica y metodologías activas impulsando la transformación del rol del docente en la gestión escolar,10.46932/sfjdv6n10-027,OpenAlex,metadata,-1,-1,False,-1,7,nearest_semantic_centroid,0.858706,False,included,1.011289,,,1.0,7,0.858706,2,0.834659,0.024047,
doi:10.33996/repe.v1i1.16,doi:10.33996/repe.v1i1.16,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.08405751249017114,4,0.067719628882969,0.016337883607202147,0.683296,True,True,2020,es,Procesos administrativos en la gestión escolar del director de las instituciones educativas,10.33996/repe.v1i1.16,OpenAlex,metadata,-1,-1,False,-1,4,nearest_semantic_centroid,0.881837,False,included,1.017484,,,1.0,4,0.881837,3,0.850706,0.031131,
doi:10.61384/r.c.a..v4i3.659,doi:10.61384/r.c.a..v4i3.659,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.049911380057110974,7,0.04488736243652268,0.005024017620588295,0.752628,True,True,2024,es,La Cultura del Emprendimiento en la Gestión Escolar: ¿Un Camino para Lograr los Retos que Plantea la Competitividad en Colombia?,10.61384/r.c.a..v4i3.659,OpenAlex,metadata,-1,-1,False,-1,3,nearest_semantic_centroid,0.845298,False,included,1.008479,,,0.9,3,0.845298,7,0.808074,0.037223,
doi:10.48169/ecuatesis/0101202005,doi:10.48169/ecuatesis/0101202005,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.1476270245604833,1,0.11470280551978988,0.03292421904069341,0.283555,True,True,2020,en,La gestión escolar y la calidad educativa en las instituciones educativas de nivel básico.,10.48169/ecuatesis/0101202005,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.895121,False,included,1.004731,,,0.1,1,0.895121,4,0.888254,0.006867,
