document_id,publication_document_id,model,corpus,topic_id,topic_probability,hdbscan_membership_strength,bertopic_topic_distribution_max,bertopic_second_topic_id,bertopic_second_distribution,probability_margin,outlier_score,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,suggested_topic,reassignment_method,reassignment_confidence,accepted_reassignment,relevance_status,relevance_score,silhouette,distance_to_centroid,local_consistency,nearest_topic,nearest_centroid_similarity,second_nearest_topic,second_nearest_centroid_similarity,assignment_margin,semantic_distance_to_centroid
doi:10.34632/investigacaoeducacional.2020.8508,doi:10.34632/investigacaoeducacional.2020.8508,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8589978297871854,0.858998,0.36669243906004845,7,0.0843751802394194,0.2823172588206291,0.358023,False,False,2020,es,Los directivos como promotores de la mejora educativa,10.34632/investigacaoeducacional.2020.8508,OpenAlex,metadata,0,0,False,0,,,,False,included,1.031929,0.461146,0.696799,1.0,0,0.92745,7,0.876348,0.051102,0.07255
doi:10.51247/st.v3i1.59,doi:10.51247/st.v3i1.59,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8588353948333562,0.858835,0.19680808283564188,7,0.14561857472104767,0.05118950811459422,0.358145,False,False,2020,es,El director escolar como líder de la comunidad educativa,10.51247/st.v3i1.59,OpenAlex,metadata,0,0,False,0,,,,False,included,1.010529,0.105279,1.130237,1.0,0,0.90872,7,0.878623,0.030097,0.09128
doi:10.1177/21582440221095003,doi:10.1177/21582440221095003,BERTopic-METADATA-MULTILINGUAL,metadata,0,1.0,1.0,0.5391583266906349,13,0.08619623110563057,0.45296209558500433,0.175956,False,False,2022,en,Perceived Principal's Authentic Leadership Impact on the Organizational Citizenship Behavior and Well-Being of Teachers,10.1177/21582440221095003,OpenAlex,metadata,0,0,False,0,,,,False,included,1.043952,0.452802,0.813947,1.0,0,0.862325,13,0.830331,0.031994,0.137675
doi:10.7176/jep/12-13-04,doi:10.7176/jep/12-13-04,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8160869425990593,0.816087,0.297249599182458,13,0.08233784593617195,0.21491175324628609,0.390093,False,False,2021,en,"An Investigation to Political Interference in Public Secondary School Management and Leadership Practice in Addis Ababa, Ethiopia",10.7176/jep/12-13-04,OpenAlex,metadata,0,0,False,0,,,,False,included,1.052502,0.595566,0.360902,1.0,0,0.854038,1,0.819406,0.034632,0.145962
doi:10.5897/err2020.4076,doi:10.5897/err2020.4076,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.7782098661906972,0.77821,0.3581357872478495,13,0.07767589147753803,0.2804598957703115,0.418401,False,True,2021,en,"Empowerment of the school management team by secondary schools principals in Tshwane West District, South Africa",10.5897/err2020.4076,OpenAlex,metadata,0,0,False,0,,,,False,included,1.064174,0.289533,0.981152,1.0,0,0.832032,1,0.763587,0.068445,0.167969
doi:10.35766/jf20223,doi:10.35766/jf20223,BERTopic-METADATA-MULTILINGUAL,metadata,0,1.0,1.0,1.0,7,3.930555311549668e-308,1.0,0.0,False,False,2020,es,"La evaluación de la competencia del liderazgo en la dirección escolar, desde la perspectiva de la socioformación",10.35766/jf20223,OpenAlex,metadata,0,0,False,0,,,,False,included,1.020729,0.619534,0.327991,1.0,0,0.91605,7,0.856705,0.059345,0.08395
doi:10.17583/ijelm.2021.6366,doi:10.17583/ijelm.2021.6366,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8588353948333562,0.858835,0.25269547702955664,7,0.10722687186737016,0.14546860516218646,0.358145,False,False,2021,es,Liderazgo y Dirección Escolar para Atender al Alumnado con Necesidades Educativas Especiales,10.17583/ijelm.2021.6366,OpenAlex,metadata,0,0,False,0,,,,False,included,1.022706,0.314273,0.902994,1.0,0,0.881912,5,0.861532,0.020379,0.118088
doi:10.5281/zenodo.20802046,doi:10.5281/zenodo.20802046,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.9897650945421311,0.989765,0.5666853726260714,7,0.062362411137262534,0.504322961488809,0.260294,False,False,2026,es,"Liderazgo educativo: una revisión sistemática de modelos, enfoques y su contribución a la gestión escolar",10.5281/zenodo.20802046,OpenAlex,metadata,0,0,False,0,,,,False,included,1.014804,0.55854,0.568178,1.0,0,0.941259,4,0.893156,0.048103,0.058741
doi:10.61616/rvdc.v6i1.629,doi:10.61616/rvdc.v6i1.629,BERTopic-METADATA-MULTILINGUAL,metadata,0,1.0,1.0,0.3337152242757983,13,0.11547834368482836,0.21823688059096996,0.24689,False,False,2025,es,Impacto del Liderazgo del Gestor en la Calidad de los Aprendizajes según los Estudiantes,10.61616/rvdc.v6i1.629,OpenAlex,metadata,0,0,False,0,,,,False,included,1.014033,0.512606,0.497255,1.0,0,0.90895,13,0.829973,0.078977,0.09105
doi:10.1177/0013161x231178023,doi:10.1177/0013161x231178023,BERTopic-METADATA-MULTILINGUAL,metadata,0,1.0,1.0,1.0,13,3.0423849169159496e-308,1.0,0.0,False,False,2023,en,What Is Student Voice Anyway? The Intersection of Student Voice Practices and Shared Leadership,10.1177/0013161x231178023,OpenAlex,metadata,0,0,False,0,,,,False,included,1.018957,0.578364,0.876451,1.0,0,0.851636,8,0.791647,0.059989,0.148364
