model,corpus,topic_id,rank,document_id,title
BERTopic-METADATA-MULTILINGUAL,metadata,0,1,doi:10.47604/ajep.3176,"The Making of a Champion Leader: Insights from the Diploma in Educational Leadership and Management Program in Uganda, West Nile Region"
BERTopic-METADATA-MULTILINGUAL,metadata,0,2,doi:10.35335/jiph.v11i3.24,Educational Leadership and Learning Quality: The Influence of the Princi-pal's Leadership Style on Teacher Performance
BERTopic-METADATA-MULTILINGUAL,metadata,0,3,doi:10.63544/ijss.v4i2.132,Comparative Analysis of Authoritative and Democratic Leadership Styles and Their Impact on School Management Effectiveness
BERTopic-METADATA-MULTILINGUAL,metadata,1,1,record:bee5638ae3582b06187ddc92,"Gestión escolar y desempeño docente en instituciones educativas de la UGEL 04 - Comas, 2024"
BERTopic-METADATA-MULTILINGUAL,metadata,1,2,doi:10.5281/zenodo.21401954,Dimensiones comparativas de la gestión administrativa y la gestión educativa
BERTopic-METADATA-MULTILINGUAL,metadata,1,3,doi:10.31538/ndh.v6i1.1138,Strategic Planning in Increasing Quality of Education
BERTopic-METADATA-MULTILINGUAL,metadata,2,1,doi:10.24256/kelola.v8i1.3452,PEMANFAATAN TEKNOLOGI INFORMASI DALAM MENUNJANG MUTU PENDIDIKAN SEKOLAH
BERTopic-METADATA-MULTILINGUAL,metadata,2,2,doi:10.19044/esj.2021.v17n15p20,Las Competencias Docentes A Nivel Tecnológicas Como Sostenibilidad Del Aprendizaje En Entornos Virtuales De Aprendizaje
BERTopic-METADATA-MULTILINGUAL,metadata,2,3,record:891124ed8faeae50894b6789,Perceptions of school management teams on information and communication technology integration in township and rural secondary schools in KwaZulu-Natal
BERTopic-METADATA-MULTILINGUAL,metadata,3,1,record:2b9ac11189da15bec092953f,La convivencia escolar en comunidades educativas del Ecuador : Un Análisis de la Política Nacional de Convivencia Escolar del MINEDUC (2021)
BERTopic-METADATA-MULTILINGUAL,metadata,3,2,doi:10.70860/ufnt.rbec.e19371,As escolas de várzea na Amazônia paraense: estudo a partir de um polo no município de Óbidos-PA
BERTopic-METADATA-MULTILINGUAL,metadata,3,3,doi:10.18764/2178-2229.v28n2-2020-02,PROGRESSÃO CONTINUADA NO BLOCO PEDAGÓGICO: desafios para a gestão escolar em uma escola pública da rede municipal de Santa Maria-RS
BERTopic-METADATA-MULTILINGUAL,metadata,4,1,record:31ae656430daaf8c150e0317,"Gestión escolar y desempeño docente en Instituciones Educativas Públicas, Lima - Santa Anita 2024"
BERTopic-METADATA-MULTILINGUAL,metadata,4,2,record:ad84382df9bb8be421f38531,Gestión educativa institucional y desempeño docente en instituciones educativas de Juanjui 2025
BERTopic-METADATA-MULTILINGUAL,metadata,4,3,record:b913d0646b0430373bbdde4d,"Gestión escolar y desempeño docente en una institución educativa pública, San Juan de Miraflores 2024"
BERTopic-METADATA-MULTILINGUAL,metadata,5,1,doi:10.3390/educsci13060606,Breaking Barriers: The Influence of Teachers' Attitudes on Inclusive Education for Students with Mild Learning Disabilities (MLDs)
BERTopic-METADATA-MULTILINGUAL,metadata,5,2,record:2123e5adb4e772b25966e88d,"Políticas públicas y gestión escolar: estudiantes con discapacidad visual, dos escuelas en Taguatinga-DF, Brasil"
BERTopic-METADATA-MULTILINGUAL,metadata,5,3,doi:10.20873/uft.rbec.e10837,Os impasses da participação da comunidade no Conselho Escolar em uma Escola do Campo no Município de Placas/PA
BERTopic-METADATA-MULTILINGUAL,metadata,6,1,record:874fa1e273d55ae64db73a25,"Representaciones docentes sobre las trayectorias estudiantiles en el nivel secundario durante la pandemia: ""desenganche"", vínculo pedagógico y modos de evaluación"
BERTopic-METADATA-MULTILINGUAL,metadata,6,2,doi:10.1111/bjet.13098,Adapting educational practices in emergency remote education: Continuity and change from a student perspective
BERTopic-METADATA-MULTILINGUAL,metadata,6,3,doi:10.1002/jhm.13433,Codifying educational leadership in modern hospital medicine: The Director of Education
BERTopic-METADATA-MULTILINGUAL,metadata,7,1,doi:10.18764/2178-2229v28n3.202141,A GESTÃO PEDAGÓGICA NOS CURSOS TÉCNICOS A DISTÂNCIA: UMA ANÁLISE DA REALIDADE ESCOLAR.
BERTopic-METADATA-MULTILINGUAL,metadata,7,2,doi:10.20873/uft.rbec.e12973,A contribuição da Licenciatura em Educação do Campo UFCG para a formação docente e a prática pedagógica das escolas no Cariri paraibano: concepção dos egressos
BERTopic-METADATA-MULTILINGUAL,metadata,7,3,record:5dafdc5e92642737774921aa,Explaining the school management based on scientific metaphor or personal experience? A case study on the management approach of successful school principals
BERTopic-METADATA-MULTILINGUAL,metadata,8,1,doi:10.3126/njmr.v8i2.78025,Women in Educational Leadership: Realities and Challenges
BERTopic-METADATA-MULTILINGUAL,metadata,8,2,record:5a879ea9600bfda9bcb7bc05,La construcción de liderazgo de directoras escolares: las múltiples identidades desde el género
BERTopic-METADATA-MULTILINGUAL,metadata,8,3,doi:10.3389/feduc.2024.1441183,Editorial: Women in educational leadership
BERTopic-METADATA-MULTILINGUAL,metadata,9,1,doi:10.62465/rti.v2n2.2023.34,Ventajas y desventajas del uso de las Herramientas de Inteligencia artificial en la educación
BERTopic-METADATA-MULTILINGUAL,metadata,9,2,doi:10.31219/osf.io/z2y7c,La Inteligencia Artificial al servicio de la gestión y la implementación en la educación
BERTopic-METADATA-MULTILINGUAL,metadata,9,3,doi:10.33262/exploradordigital.v8i3.3106,Evaluación estadística con SPSS y Python del impacto integral generado por la asistencia de inteligencia artificial en docentes ecuatorianos
BERTopic-METADATA-MULTILINGUAL,metadata,10,1,record:0313b153e64dec8d0d6b8e92,"Nivel de satisfacción de los padres de familia con la gestión escolar de la Institución Educativa Inicial 020, distrito Veintiséis de Octubre, Piura-2025"
BERTopic-METADATA-MULTILINGUAL,metadata,10,2,doi:10.18764/2358-4319.v14n2p558-578,Desdobramentos da relação entre gestão escolar e família dos educandos: uma metanálise de estudos publicados entre 2009 e 2019
BERTopic-METADATA-MULTILINGUAL,metadata,10,3,record:9e98f21f1e94e17a2df21998,"Satisfacción de los padres de familia del nivel de educación secundaria respecto de la gestión escolar del colegio María Reina Marianistas de Lima, 2025"
BERTopic-METADATA-MULTILINGUAL,metadata,11,1,doi:10.51574/ijrer.v3i1.1340,The Embodiment of Islamic Boarding School-Based School Management in Improving The Quality of Graduates
BERTopic-METADATA-MULTILINGUAL,metadata,11,2,doi:10.31538/cjotl.v3i1.428,Islamic Boarding School Management in Forming The Religious Character of Students
BERTopic-METADATA-MULTILINGUAL,metadata,11,3,doi:10.52627/managere.v5i2.334,ENHANCING MORAL INTEGRITY: ISLAMIC EDUCATION'S ROLE IN FOSTERING SUPERIOR CHARACTER WITHIN ISLAMIC BOARDING SCHOOL MANAGEMENT
BERTopic-METADATA-MULTILINGUAL,metadata,12,1,record:536fbb63a795b72133faf5d6,"La gestión educativa de la escuela secundaria: aportes desde la perspectiva de directivos de la Provincia de Buenos Aires, entre 2010 y 2020"
BERTopic-METADATA-MULTILINGUAL,metadata,12,2,record:1606c867ead29fb366a9dc47,"Filantropía empresarial, Estado y formación de directivos de escuelas secundarias en Argentina: Estudio de caso sobre la Fundación Córdoba Mejora"
BERTopic-METADATA-MULTILINGUAL,metadata,12,3,record:90ee6c28f86d81f38a0917c9,"El trabajo de dirigir: apuntes conceptuales sobre la dirección escolar en Argentina, 2001- 2020"
BERTopic-METADATA-MULTILINGUAL,metadata,13,1,doi:10.1108/ijem-10-2019-0378,Leadership and motivation for improved academic performance in schools in low socio-economic contexts
BERTopic-METADATA-MULTILINGUAL,metadata,13,2,doi:10.47405/mjssh.v10i2.3232,Collaborative Leadership and School Management Committees' Impact on Primary Teachers' Job Satisfaction in Sarawak Malaysia
BERTopic-METADATA-MULTILINGUAL,metadata,13,3,doi:10.3390/su142013322,The Effects of Organizational Justice on Employee Performance Using Dimension of Organizational Citizenship Behavior as Mediation
