parent_topic_id,subtopic_id,relationship,decision_status
0,0.0,subcluster,provisional_computational
0,0.1,subcluster,provisional_computational
1,1.0,subcluster,provisional_computational
1,1.1,subcluster,provisional_computational
1,1.2,subcluster,provisional_computational
2,2.0,subcluster,provisional_computational
2,2.1,subcluster,provisional_computational
3,3.0,subcluster,provisional_computational
3,3.1,subcluster,provisional_computational
4,4.0,subcluster,provisional_computational
4,4.1,subcluster,provisional_computational
5,5.0,subcluster,provisional_computational
5,5.1,subcluster,provisional_computational
6,6.0,subcluster,provisional_computational
6,6.1,subcluster,provisional_computational
8,8.0,subcluster,provisional_computational
8,8.1,subcluster,provisional_computational
