topic_a,topic_b,ctfidf_similarity,merge_candidate,review_status
-1,0,0.656589,False,pending_human_review
-1,1,0.5808,False,pending_human_review
-1,2,0.52956,False,pending_human_review
-1,3,0.532452,False,pending_human_review
-1,4,0.42556,False,pending_human_review
-1,5,0.509862,False,pending_human_review
-1,6,0.466375,False,pending_human_review
-1,7,0.443926,False,pending_human_review
-1,8,0.39069,False,pending_human_review
-1,9,0.377255,False,pending_human_review
-1,10,0.408362,False,pending_human_review
-1,11,0.30184,False,pending_human_review
-1,12,0.383704,False,pending_human_review
-1,13,0.343825,False,pending_human_review
0,1,0.455232,False,pending_human_review
0,2,0.436482,False,pending_human_review
0,3,0.357573,False,pending_human_review
0,4,0.279792,False,pending_human_review
0,5,0.413924,False,pending_human_review
0,6,0.409569,False,pending_human_review
0,7,0.338761,False,pending_human_review
0,8,0.406537,False,pending_human_review
0,9,0.319309,False,pending_human_review
0,10,0.311784,False,pending_human_review
0,11,0.280695,False,pending_human_review
0,12,0.281,False,pending_human_review
0,13,0.319909,False,pending_human_review
1,2,0.408174,False,pending_human_review
1,3,0.349762,False,pending_human_review
1,4,0.378082,False,pending_human_review
1,5,0.358282,False,pending_human_review
1,6,0.327166,False,pending_human_review
1,7,0.314158,False,pending_human_review
1,8,0.257495,False,pending_human_review
1,9,0.286733,False,pending_human_review
1,10,0.333246,False,pending_human_review
1,11,0.296384,False,pending_human_review
1,12,0.214138,False,pending_human_review
1,13,0.292211,False,pending_human_review
2,3,0.294211,False,pending_human_review
2,4,0.212315,False,pending_human_review
2,5,0.345543,False,pending_human_review
2,6,0.38084,False,pending_human_review
2,7,0.274356,False,pending_human_review
2,8,0.298277,False,pending_human_review
2,9,0.337686,False,pending_human_review
2,10,0.278451,False,pending_human_review
2,11,0.28661,False,pending_human_review
2,12,0.212563,False,pending_human_review
2,13,0.28356,False,pending_human_review
3,4,0.338153,False,pending_human_review
3,5,0.359442,False,pending_human_review
3,6,0.263288,False,pending_human_review
3,7,0.39331,False,pending_human_review
3,8,0.160944,False,pending_human_review
3,9,0.292634,False,pending_human_review
3,10,0.27675,False,pending_human_review
3,11,0.070762,False,pending_human_review
3,12,0.313435,False,pending_human_review
3,13,0.101184,False,pending_human_review
4,5,0.268571,False,pending_human_review
4,6,0.148476,False,pending_human_review
4,7,0.280686,False,pending_human_review
4,8,0.080034,False,pending_human_review
4,9,0.205078,False,pending_human_review
4,10,0.301713,False,pending_human_review
4,11,0.027387,False,pending_human_review
4,12,0.166886,False,pending_human_review
4,13,0.125773,False,pending_human_review
5,6,0.32214,False,pending_human_review
5,7,0.289498,False,pending_human_review
5,8,0.286532,False,pending_human_review
5,9,0.258677,False,pending_human_review
5,10,0.292057,False,pending_human_review
5,11,0.191629,False,pending_human_review
5,12,0.248864,False,pending_human_review
5,13,0.223756,False,pending_human_review
6,7,0.24286,False,pending_human_review
6,8,0.312693,False,pending_human_review
6,9,0.249066,False,pending_human_review
6,10,0.259355,False,pending_human_review
6,11,0.235667,False,pending_human_review
6,12,0.227995,False,pending_human_review
6,13,0.274634,False,pending_human_review
7,8,0.157198,False,pending_human_review
7,9,0.258532,False,pending_human_review
7,10,0.238483,False,pending_human_review
7,11,0.082617,False,pending_human_review
7,12,0.258215,False,pending_human_review
7,13,0.109257,False,pending_human_review
8,9,0.195435,False,pending_human_review
8,10,0.191308,False,pending_human_review
8,11,0.240866,False,pending_human_review
8,12,0.173571,False,pending_human_review
8,13,0.229949,False,pending_human_review
9,10,0.208795,False,pending_human_review
9,11,0.1303,False,pending_human_review
9,12,0.173788,False,pending_human_review
9,13,0.14192,False,pending_human_review
10,11,0.162589,False,pending_human_review
10,12,0.168526,False,pending_human_review
10,13,0.205852,False,pending_human_review
11,12,0.081136,False,pending_human_review
11,13,0.231842,False,pending_human_review
12,13,0.092625,False,pending_human_review
