model,corpus,topic_id,rank,term,weight
BERTopic-METADATA-MULTILINGUAL,metadata,0,1,leadership,0.3801690758996691
BERTopic-METADATA-MULTILINGUAL,metadata,0,2,educational leadership,0.3148700133951367
BERTopic-METADATA-MULTILINGUAL,metadata,0,3,liderazgo,0.2894343442457934
BERTopic-METADATA-MULTILINGUAL,metadata,0,4,style,0.22892674770831556
BERTopic-METADATA-MULTILINGUAL,metadata,0,5,leaders,0.2184295706463001
BERTopic-METADATA-MULTILINGUAL,metadata,0,6,principals,0.2182346978352331
BERTopic-METADATA-MULTILINGUAL,metadata,0,7,leadership style,0.2157323699879011
BERTopic-METADATA-MULTILINGUAL,metadata,0,8,dirección,0.2034026694706739
BERTopic-METADATA-MULTILINGUAL,metadata,0,9,transformacional,0.19197633818507065
BERTopic-METADATA-MULTILINGUAL,metadata,0,10,practices,0.19191186668470314
BERTopic-METADATA-MULTILINGUAL,metadata,1,1,calidad,0.2794860278803308
BERTopic-METADATA-MULTILINGUAL,metadata,1,2,calidad educativa,0.23775585964776014
BERTopic-METADATA-MULTILINGUAL,metadata,1,3,gestión,0.22831887103511364
BERTopic-METADATA-MULTILINGUAL,metadata,1,4,educativa,0.22681753408349414
BERTopic-METADATA-MULTILINGUAL,metadata,1,5,quality management,0.22448382929508
BERTopic-METADATA-MULTILINGUAL,metadata,1,6,quality education,0.21627153303107474
BERTopic-METADATA-MULTILINGUAL,metadata,1,7,quality philosophy,0.2113616108569795
BERTopic-METADATA-MULTILINGUAL,metadata,1,8,desempeño,0.2085688885394486
BERTopic-METADATA-MULTILINGUAL,metadata,1,9,vocational,0.2076464483294916
BERTopic-METADATA-MULTILINGUAL,metadata,1,10,gestión educativa,0.20179359139401315
BERTopic-METADATA-MULTILINGUAL,metadata,2,1,digital,0.4162798922765738
BERTopic-METADATA-MULTILINGUAL,metadata,2,2,information,0.35510555906200253
BERTopic-METADATA-MULTILINGUAL,metadata,2,3,technology,0.34591090495842747
BERTopic-METADATA-MULTILINGUAL,metadata,2,4,ict,0.3088267212662716
BERTopic-METADATA-MULTILINGUAL,metadata,2,5,data,0.3005185741017973
BERTopic-METADATA-MULTILINGUAL,metadata,2,6,use,0.2701891297897104
BERTopic-METADATA-MULTILINGUAL,metadata,2,7,digitales,0.26849170776503084
BERTopic-METADATA-MULTILINGUAL,metadata,2,8,tic,0.25705757476050356
BERTopic-METADATA-MULTILINGUAL,metadata,2,9,management information,0.24520893780631503
BERTopic-METADATA-MULTILINGUAL,metadata,2,10,uso,0.24346827484720449
BERTopic-METADATA-MULTILINGUAL,metadata,3,1,rurales,0.2702715806024752
BERTopic-METADATA-MULTILINGUAL,metadata,3,2,rural,0.2623760257384677
BERTopic-METADATA-MULTILINGUAL,metadata,3,3,ecuador,0.25992320869930013
BERTopic-METADATA-MULTILINGUAL,metadata,3,4,educación,0.2509165300822015
BERTopic-METADATA-MULTILINGUAL,metadata,3,5,gestión,0.25021958476878925
BERTopic-METADATA-MULTILINGUAL,metadata,3,6,escolar,0.24999930225686062
BERTopic-METADATA-MULTILINGUAL,metadata,3,7,educativa,0.24114508264960213
BERTopic-METADATA-MULTILINGUAL,metadata,3,8,colombia,0.23137627539703812
BERTopic-METADATA-MULTILINGUAL,metadata,3,9,gestión escolar,0.22596791773621913
BERTopic-METADATA-MULTILINGUAL,metadata,3,10,análisis,0.2255463937334091
BERTopic-METADATA-MULTILINGUAL,metadata,4,1,desempeño,0.32563807280945334
BERTopic-METADATA-MULTILINGUAL,metadata,4,2,nivel,0.30925009164399
BERTopic-METADATA-MULTILINGUAL,metadata,4,3,gestión escolar,0.3092341996769185
BERTopic-METADATA-MULTILINGUAL,metadata,4,4,gestión,0.3070873656270175
BERTopic-METADATA-MULTILINGUAL,metadata,4,5,relación,0.3034747120591966
