model,corpus,topic_id,year,documents_in_year,cluster_documents,cluster_share,mean_assignment_probability,outlier_share,lower_95,upper_95,uncertainty_method,year_complete
BERTopic-METADATA-MULTILINGUAL,metadata,0,2020,313,53,0.169329,0.954166,0.453674,0.127796,0.207668,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,1,2020,313,21,0.067093,0.951697,0.453674,0.041534,0.095847,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,10,2020,313,6,0.019169,0.786116,0.453674,0.00639,0.035144,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,11,2020,313,8,0.025559,0.99138,0.453674,0.009585,0.044728,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,12,2020,313,5,0.015974,1.0,0.453674,0.003195,0.031949,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,13,2020,313,8,0.025559,0.986175,0.453674,0.009585,0.041534,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,2,2020,313,15,0.047923,0.955117,0.453674,0.025559,0.073482,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,3,2020,313,13,0.041534,0.918459,0.453674,0.022364,0.063898,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,4,2020,313,2,0.00639,1.0,0.453674,0.0,0.015974,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,5,2020,313,7,0.022364,0.770059,0.453674,0.00639,0.041534,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,6,2020,313,6,0.019169,0.988593,0.453674,0.00639,0.035144,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,7,2020,313,9,0.028754,0.999995,0.453674,0.01278,0.047923,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,8,2020,313,15,0.047923,0.87928,0.453674,0.025559,0.073482,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,9,2020,313,3,0.009585,0.832783,0.453674,0.0,0.019169,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,0,2021,321,57,0.17757,0.941232,0.41433,0.137072,0.218069,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,1,2021,321,18,0.056075,0.926863,0.41433,0.034268,0.077882,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,10,2021,321,6,0.018692,0.863766,0.41433,0.006231,0.034268,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,11,2021,321,9,0.028037,1.0,0.41433,0.009346,0.046729,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,12,2021,321,4,0.012461,1.0,0.41433,0.003115,0.024922,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,13,2021,321,9,0.028037,0.990006,0.41433,0.012461,0.046729,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,2,2021,321,22,0.068536,0.807525,0.41433,0.040498,0.099688,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,3,2021,321,9,0.028037,0.893121,0.41433,0.012461,0.046729,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,4,2021,321,0,0.0,0,0.41433,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,5,2021,321,13,0.040498,0.790725,0.41433,0.018692,0.062305,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,6,2021,321,24,0.074766,0.957759,0.41433,0.046729,0.099688,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,7,2021,321,8,0.024922,0.992805,0.41433,0.009346,0.043614,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,8,2021,321,9,0.028037,0.93884,0.41433,0.012461,0.046729,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,9,2021,321,0,0.0,0,0.41433,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,0,2022,292,45,0.15411,0.934134,0.376712,0.113014,0.191781,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,1,2022,292,19,0.065068,0.948512,0.376712,0.041096,0.092466,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,10,2022,292,4,0.013699,0.799474,0.376712,0.003425,0.027397,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,11,2022,292,7,0.023973,1.0,0.376712,0.006849,0.041096,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,12,2022,292,5,0.017123,1.0,0.376712,0.003425,0.034247,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,13,2022,292,7,0.023973,0.996136,0.376712,0.006849,0.044521,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,2,2022,292,21,0.071918,0.863942,0.376712,0.044521,0.10274,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,3,2022,292,13,0.044521,0.86409,0.376712,0.023973,0.068493,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,4,2022,292,6,0.020548,0.947287,0.376712,0.006849,0.037671,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,5,2022,292,14,0.047945,0.780159,0.376712,0.027397,0.071918,bootstrap_cluster_share,True
