solution_id,base_seed,seed,adjusted_rand_index,normalized_mutual_information,topic_centroid_similarity,jaccard_top_words,topic_count,outlier_share,alignment_method,status
S1,42,42,1.0,1.0,1.0,1.0,22,0.334555,Hungarian,computed
S1,42,117,0.149556,0.601497,0.997475,0.60472,11,0.098992,Hungarian,computed
S1,42,233,0.673864,0.816418,0.98935,0.634842,21,0.309349,Hungarian,computed
S1,42,401,0.168109,0.624633,0.997919,0.651915,12,0.102658,Hungarian,computed
S1,42,809,0.596467,0.797866,0.988486,0.56649,20,0.262603,Hungarian,computed
S2,42,42,1.0,1.0,1.0,1.0,14,0.385885,Hungarian,computed
S2,42,117,0.648324,0.780146,0.997263,0.576391,12,0.314849,Hungarian,computed
S2,42,233,0.750354,0.810857,0.998804,0.65116,13,0.390009,Hungarian,computed
S2,42,401,0.770691,0.83512,0.998758,0.647305,15,0.372136,Hungarian,computed
S2,42,809,0.760862,0.836874,0.9979,0.724488,14,0.375344,Hungarian,computed
S3,42,42,1.0,1.0,1.0,1.0,12,0.448213,Hungarian,computed
S3,42,117,0.707172,0.767751,0.99529,0.642649,11,0.472502,Hungarian,computed
S3,42,233,0.026817,0.100761,0.982805,0.181818,2,0.0,Hungarian,computed
S3,42,401,0.023805,0.101955,0.982899,0.181818,2,0.00275,Hungarian,computed
S3,42,809,0.026817,0.100761,0.982805,0.181818,2,0.0,Hungarian,computed
S4,42,42,1.0,1.0,1.0,1.0,19,0.402383,Hungarian,computed
S4,42,117,0.201013,0.612275,0.996473,0.624896,10,0.181943,Hungarian,computed
S4,42,233,0.020932,0.087091,0.982711,0.25,2,0.0,Hungarian,computed
S4,42,401,0.020932,0.087091,0.982711,0.25,2,0.0,Hungarian,computed
S4,42,809,0.036389,0.149277,0.9877,0.397759,3,0.0,Hungarian,computed
