Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
82,management_leadership_study_school management_educational,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",79,islamic_leadership_boarding_educational leadership_study,81,educativa_como_educacin_se_gestin,1.8616913013465772
81,educativa_como_educacin_se_gestin,"[0, 1, 2, 3, 7, 8, 12, 13, 14, 16, 17, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41]",80,educacin_como_se_educativa_escolar,57,desempeo_desempeo docente_calidad_callao_relacin,1.306687922139078
80,educacin_como_se_educativa_escolar,"[0, 1, 2, 3, 7, 8, 12, 13, 14, 16, 17, 20, 24, 26, 27, 28, 29, 31, 32, 33, 36, 37, 38, 40, 41]",78,desde_liderazgo_educacin_como_se,74,inteligencia_artificial_digital_ia_padres,1.1039523328282188
79,islamic_leadership_boarding_educational leadership_study,"[4, 5, 6, 9, 10, 11, 15, 18, 19, 22, 25, 39]",77,boarding_islamic_islamic boarding_boarding school_covid19,63,leadership_educational leadership_women_educational_gender,0.995581460023698
78,desde_liderazgo_educacin_como_se,"[0, 2, 7, 8, 16, 20, 24, 26, 27, 28, 29, 32, 33, 36, 37, 40, 41]",76,desde_liderazgo_democrtica_escuelas_argentina,75,ecuador_estrategias_innovacin_calidad_gestin educativa,0.9698832724712065
77,boarding_islamic_islamic boarding_boarding school_covid19,"[4, 5, 6, 15, 19, 25, 39]",59,boarding_islamic_islamic boarding_boarding school_character,66,covid19_pandemic_job_coronavirus_satisfaction,0.9085963567386934
76,desde_liderazgo_democrtica_escuelas_argentina,"[0, 2, 7, 8, 16, 24, 26, 28, 29, 33]",64,democrtica_democratic_gesto_democracy_gestin democrtica,69,desde_liderazgo_argentina_escuelas_como,0.908471104738894
75,ecuador_estrategias_innovacin_calidad_gestin educativa,"[20, 27, 32, 36, 37, 40, 41]",71,ecuador_innovacin_estrategias_estrategias gestin_calidad,65,per_desigualdades_corrupcin_desastres_enfoques,0.901500710604461
74,inteligencia_artificial_digital_ia_padres,"[1, 3, 12, 13, 14, 17, 31, 38]",55,artificial_digital_ia_inteligencia artificial_inteligencia,73,padres_familia_padres familia_parental_parents,0.8879237177006459
73,padres_familia_padres familia_parental_parents,"[1, 14, 17, 31, 38]",31,inteligencia emocional_emotional_emocional_ei_emotional intelligence,72,padres_familia_padres familia_parental_parents,0.8813294424463914
