model,corpus,topic_id,documents,silhouette_document_count,silhouette_mean,silhouette_median,silhouette_min,silhouette_negative_share,silhouette_below_0_1_share,contains_negative_silhouette_documents,negative_silhouette_document_count,distance_to_centroid_mean,distance_to_centroid_p90,borderline_document_share,low_confidence_document_share,coherence_cv,coherence_npmi,coherence_umass,coherence_status,topic_unique_term_share,topic_shared_term_share,mean_lexical_similarity_to_other_topics,maximum_lexical_similarity_to_other_topics,most_similar_topic,topic_term_entropy,language_entropy,dominant_language,dominant_language_share_known,documents_total,documents_with_country,country_coverage,country_metadata_coverage,dominant_country,dominant_country_share_known,country_entropy,country_status,documents_with_source,source_coverage,source_metadata_coverage,dominant_source,dominant_source_share_known,source_entropy,source_status,dominant_source_global_share,source_concentration_excess,included_document_share,borderline_relevance_share,excluded_candidate_share,manual_review_share,domain_similarity_mean,domain_similarity_min,domain_similarity_status,relevance_score_mean,relevance_score_min,contamination_candidate_count,contamination_share,relevance_metadata_coverage,contamination_status,representative_contamination_candidates,borderline_relevance_documents,review_status,status,status_reasons
BERTopic-METADATA-MULTILINGUAL,metadata,0,316,316,0.452617,0.512458,-0.478326,0.03481,0.06962,True,11,0.795394,1.109745,0.066456,0.0,0.336411,-0.295059,-5.438707,computed,0.7,0.3,0.013575,0.176471,8,2.27554,0.70119,en,0.572785,316,0,0.0,0.0,,,,missing_column,316,1.0,1.0,OpenAlex,0.977848,0.1063,computed,0.969753,0.008095,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,1.006856,0.660857,3,0.009494,1.0,pending_human_review,"School management and leadership in the contemporary state of education system in the Philippines [clinical_or_hospital] | A Hidden Danger to Our Children's Classrooms within Educational Leadership & Peering Practices [mining] | The Sublime, Affect Phrasing, and Les Petits Narratives in Educational Leadership [tax_or_accounting]",,pending_human_review,coherent_candidate,no configured warning threshold exceeded
BERTopic-METADATA-MULTILINGUAL,metadata,1,158,158,0.170432,0.257942,-0.41301,0.297468,0.360759,True,47,0.850519,1.269751,0.056962,0.0,0.331413,-0.31685,-6.976317,computed,0.6,0.4,0.035696,0.176471,4,2.29829,0.726607,es,0.512658,158,0,0.0,0.0,,,,missing_column,158,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,0.97443,0.65344,0,0.0,1.0,pending_human_review,,,pending_human_review,heterogeneous_candidate,negative_silhouette_high
BERTopic-METADATA-MULTILINGUAL,metadata,2,141,141,0.656517,0.682512,0.279116,0.0,0.0,False,0,0.532674,0.792387,0.297872,0.0,0.397541,-0.148606,-6.194107,computed,1.0,0.0,0.0,0.0,0,2.287364,0.71964,en,0.64539,141,0,0.0,0.0,,,,missing_column,141,1.0,1.0,OpenAlex,0.971631,0.129025,computed,0.969753,0.001878,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,0.998602,0.654792,4,0.028369,1.0,mixed_relevance_candidate,Investigating the school characteristics/attributes via the relationships between school management efficiency and representative factors of mobile e-learning: DEA and data mining methodology [mining] | Research on Information Construction and Management of Education Management Based on Data Mining [mining] | [Retracted] Influence Mechanism of Educational Leadership on Environmental Accounting Based on Big Data Algorithm [tax_or_accounting] | Can We Predict Student Performance Based on Tabular and Textual Data? [mining],,pending_human_review,borderline_heavy_candidate,borderline share above configured threshold
BERTopic-METADATA-MULTILINGUAL,metadata,3,130,130,0.223184,0.277914,-0.286658,0.130769,0.238462,True,17,0.700202,1.050784,0.123077,0.0,0.724057,0.07612,-1.022602,computed,0.7,0.3,0.030669,0.176471,4,2.300806,0.391711,es,0.9,130,0,0.0,0.0,,,,missing_column,130,1.0,1.0,OpenAlex,0.969231,0.154709,computed,0.969753,-0.000522,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,0.970017,0.654332,2,0.015385,1.0,pending_human_review,"Los proyectos educativos institucionales como objeto de conocimiento en relación con la gestión escolar integral [mining] | Número Completo (Febrero) [clinical_or_hospital,tax_or_accounting]",,pending_human_review,language_concentrated_candidate,dominant language share above configured threshold
BERTopic-METADATA-MULTILINGUAL,metadata,4,100,100,0.544806,0.567582,0.224582,0.0,0.0,False,0,0.554296,0.847125,0.07,0.0,0.695395,-0.076583,-1.095004,computed,0.6,0.4,0.035696,0.176471,1,2.301663,0.167944,es,0.96,100,0,0.0,0.0,,,,missing_column,100,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,0.961221,0.655639,0,0.0,1.0,pending_human_review,,,pending_human_review,language_concentrated_candidate,dominant language share above configured threshold
BERTopic-METADATA-MULTILINGUAL,metadata,5,83,83,0.69434,0.738196,-0.097412,0.012048,0.012048,True,1,0.456919,0.686083,0.26506,0.048193,0.401316,-0.169005,-4.230295,computed,1.0,0.0,0.0,0.0,0,2.293907,0.780997,es,0.554217,83,0,0.0,0.0,,,,missing_column,83,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,0.984012,0.657656,0,0.0,1.0,pending_human_review,,,pending_human_review,borderline_heavy_candidate,borderline share above configured threshold
BERTopic-METADATA-MULTILINGUAL,metadata,6,75,75,0.790944,0.834162,0.317047,0.0,0.0,False,0,0.419041,0.555284,0.106667,0.053333,0.901877,-0.061634,-0.85522,computed,1.0,0.0,0.0,0.0,0,2.291674,0.736951,en,0.586667,75,0,0.0,0.0,,,,missing_column,75,1.0,1.0,OpenAlex,0.906667,0.310183,computed,0.969753,-0.063086,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,0.995402,0.65463,4,0.053333,1.0,mixed_relevance_candidate,"Desempeño académico y suspensiones temporales: estudio longitudinal en la Facultad de Medicina (2015-2022) [medical_training] | Psychological Impact of COVID-19 on College Students After School Reopening: A Cross-Sectional Study Based on Machine Learning [clinical_or_hospital] | Codifying educational leadership in modern hospital medicine: The Director of Education [clinical_or_hospital,medical_training] | Propuesta metodológica para la mejora educativa de una facultad de medicina a partir del análisis comparativo entre la evaluación externa y evaluación interna [medical_training]",,pending_human_review,coherent_candidate,no configured warning threshold exceeded
BERTopic-METADATA-MULTILINGUAL,metadata,7,64,64,0.539036,0.580483,0.221622,0.0,0.0,False,0,0.587476,0.887083,0.03125,0.0,0.478218,-0.078365,-5.718879,computed,0.7,0.3,0.030669,0.176471,1,2.301214,0.447062,es,0.875,64,0,0.0,0.0,,,,missing_column,64,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,0.945444,0.654658,0,0.0,1.0,pending_human_review,,,pending_human_review,language_concentrated_candidate,dominant language share above configured threshold
BERTopic-METADATA-MULTILINGUAL,metadata,8,62,62,0.735651,0.800997,0.330562,0.0,0.0,False,0,0.677163,1.002004,0.0,0.0,0.670875,0.035025,-1.980522,computed,0.7,0.3,0.013575,0.176471,0,2.291207,0.467458,en,0.822581,62,0,0.0,0.0,,,,missing_column,62,1.0,1.0,OpenAlex,0.967742,0.142506,computed,0.969753,-0.002011,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,1.016395,0.673971,1,0.016129,1.0,pending_human_review,"""I have to do twice as well"" - managing everyday racism in a Swedish medical school [medical_training]",,pending_human_review,coherent_candidate,no configured warning threshold exceeded
BERTopic-METADATA-MULTILINGUAL,metadata,9,46,46,0.836574,0.860321,0.227766,0.0,0.0,False,0,0.260767,0.42698,0.043478,0.021739,0.529372,-0.027759,-4.585329,computed,1.0,0.0,0.0,0.0,0,2.270682,0.646091,es,0.652174,46,0,0.0,0.0,,,,missing_column,46,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,1.0,0.0,0.0,0.0,,,not_available_relevance_score_is_not_similarity,0.940864,0.634399,3,0.065217,1.0,mixed_relevance_candidate,Prólogo [clinical_or_hospital] | Optimizing School Management through Genetic Algorithm-Driven Pattern Mining for Educational Process Enhancement [mining] | School Leadership and Management in the Age of Artificial Intelligence (AI): Recent Developments and Future Prospects [mining],,pending_human_review,coherent_candidate,no configured warning threshold exceeded
