model,corpus,topic_id,topic_language_distribution,dominant_language,dominant_language_share_known,language_coverage,language_entropy,language_mutual_information,cross_language_nearest_neighbors,cross_language_centroid_similarity,documents_with_country,country_coverage,country_metadata_coverage,dominant_country,dominant_country_share_known,country_entropy,country_status,documents_with_source,source_coverage,source_metadata_coverage,dominant_source,dominant_source_share_known,source_entropy,source_status,dominant_source_global_share,source_concentration_excess,classification,review_status
BERTopic-METADATA-MULTILINGUAL,metadata,0,"{""en"": 181, ""es"": 134, ""pt"": 1}",en,0.572785,1.0,0.70119,0.12115,0.25443,0.859168,0,0.0,0.0,,,,missing_column,316,1.0,1.0,OpenAlex,0.977848,0.1063,computed,0.969753,0.008095,multilingual_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,1,"{""en"": 76, ""es"": 81, ""und"": 1}",es,0.512658,1.0,0.726607,0.12115,0.260759,0.887578,0,0.0,0.0,,,,missing_column,158,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,multilingual_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,2,"{""en"": 91, ""es"": 48, ""id"": 1, ""pt"": 1}",en,0.64539,1.0,0.71964,0.12115,0.302128,0.860245,0,0.0,0.0,,,,missing_column,141,1.0,1.0,OpenAlex,0.971631,0.129025,computed,0.969753,0.001878,multilingual_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,3,"{""en"": 5, ""es"": 117, ""pt"": 8}",es,0.9,1.0,0.391711,0.12115,0.122308,0.918383,0,0.0,0.0,,,,missing_column,130,1.0,1.0,OpenAlex,0.969231,0.154709,computed,0.969753,-0.000522,language_concentrated_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,4,"{""en"": 4, ""es"": 96}",es,0.96,1.0,0.167944,0.12115,0.041,0.936524,0,0.0,0.0,,,,missing_column,100,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,language_concentrated_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,5,"{""en"": 35, ""es"": 46, ""pt"": 2}",es,0.554217,1.0,0.780997,0.12115,0.327711,0.894474,0,0.0,0.0,,,,missing_column,83,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,multilingual_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,6,"{""en"": 44, ""es"": 30, ""id"": 1}",en,0.586667,1.0,0.736951,0.12115,0.313333,0.848372,0,0.0,0.0,,,,missing_column,75,1.0,1.0,OpenAlex,0.906667,0.310183,computed,0.969753,-0.063086,multilingual_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,7,"{""en"": 6, ""es"": 56, ""pt"": 2}",es,0.875,1.0,0.447062,0.12115,0.128125,0.899172,0,0.0,0.0,,,,missing_column,64,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,language_concentrated_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,8,"{""en"": 51, ""es"": 11}",en,0.822581,1.0,0.467458,0.12115,0.256452,0.909082,0,0.0,0.0,,,,missing_column,62,1.0,1.0,OpenAlex,0.967742,0.142506,computed,0.969753,-0.002011,language_concentrated_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,9,"{""en"": 16, ""es"": 30}",es,0.652174,1.0,0.646091,0.12115,0.280435,0.952571,0,0.0,0.0,,,,missing_column,46,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,multilingual_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,10,"{""en"": 17, ""es"": 28, ""pt"": 1}",es,0.608696,1.0,0.753286,0.12115,0.256522,0.907612,0,0.0,0.0,,,,missing_column,46,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,multilingual_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,11,"{""en"": 43}",en,1.0,1.0,,0.12115,0.05814,0.0,0,0.0,0.0,,,,missing_column,43,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,language_concentrated_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,12,"{""es"": 34, ""pt"": 4}",es,0.894737,1.0,0.336496,0.12115,0.157895,0.938007,0,0.0,0.0,,,,missing_column,38,1.0,1.0,CONICET Digital,0.526316,0.793395,computed,0.027498,0.498818,language_concentrated_candidate,pending_human_review
BERTopic-METADATA-MULTILINGUAL,metadata,13,"{""en"": 34, ""es"": 4}",en,0.894737,1.0,0.336496,0.12115,0.342105,0.956011,0,0.0,0.0,,,,missing_column,38,1.0,1.0,OpenAlex,1.0,,insufficient_categories,0.969753,0.030247,language_concentrated_candidate,pending_human_review
