model,model_path,corpus,run_id,is_latest_for_model,is_preferred_model,status,candidate,stability_ari,stability_nmi,convergence_rate,selection_status,validation_status
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,S2,0.786046,0.8526,,preferred_provisional,pending_human_review
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,S1,0.517599,0.768083,,competitive,pending_human_review
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,S3,0.356922,0.414246,,competitive,pending_human_review
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,S4,0.255853,0.387147,,competitive,pending_human_review
STM-METADATA-EN,stm/metadata_en_corrected,metadata,5adc9f83bb44b510,True,False,stability_nonconverged,16,0.2907754881566592,,0,stability_nonconverged,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,5adc9f83bb44b510,True,False,stability_nonconverged,18,0.27350701426655905,,0,stability_nonconverged,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,5adc9f83bb44b510,True,False,stability_nonconverged,20,0.25939439562274524,,0.2,stability_nonconverged,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,5adc9f83bb44b510,True,False,stability_nonconverged,14,NA,,NA,not_stability_finalist,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,5adc9f83bb44b510,True,False,stability_nonconverged,12,NA,,NA,not_stability_finalist,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,22ecf8acc6e3bd31,True,False,stability_nonconverged,16,0.2646181959465581,,0,stability_nonconverged,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,22ecf8acc6e3bd31,True,False,stability_nonconverged,18,0.2660419433484913,,0,stability_nonconverged,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,22ecf8acc6e3bd31,True,False,stability_nonconverged,20,0.2556850937145078,,0,stability_nonconverged,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,22ecf8acc6e3bd31,True,False,stability_nonconverged,14,NA,,NA,not_stability_finalist,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,22ecf8acc6e3bd31,True,False,stability_nonconverged,12,NA,,NA,not_stability_finalist,stability_nonconverged
STM-METADATA-PT,stm/metadata_pt_corrected,metadata,98600702f07dbabe,True,False,exploratory_small_corpus_stability_nonconverged,5,0.22900014915003936,,0.2,exploratory_small_corpus_stability_nonconverged,exploratory_small_corpus_stability_nonconverged
STM-METADATA-PT,stm/metadata_pt_corrected,metadata,98600702f07dbabe,True,False,exploratory_small_corpus_stability_nonconverged,4,0.2585978325323291,,0,exploratory_small_corpus_stability_nonconverged,exploratory_small_corpus_stability_nonconverged
STM-METADATA-PT,stm/metadata_pt_corrected,metadata,98600702f07dbabe,True,False,exploratory_small_corpus_stability_nonconverged,3,0.13929699527525616,,0.6,exploratory_small_corpus_stability_nonconverged,exploratory_small_corpus_stability_nonconverged
