model,model_path,corpus,language,topic_id,coherence_cv,coherence_npmi,coherence_umass,coherence_status,coherence_terms_used_count,coherence_terms_missing_count,coherence_document_count,topic_unique_term_share,topic_shared_term_share,mean_lexical_similarity_to_other_topics,maximum_lexical_similarity_to_other_topics,most_similar_topic,topic_term_entropy,document_count,prevalence_or_cluster_share,contamination_candidate_count,contamination_share,human_validation_status,run_id,is_latest_for_model,is_preferred_model,status
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,0,0.336411,-0.295059,-5.438707,computed,10,0,2182,0.7,0.3,0.013575,0.176471,8,2.27554,316,14.4821,3,0.009494,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,1,0.331413,-0.31685,-6.976317,computed,10,0,2182,0.6,0.4,0.035696,0.176471,4,2.29829,158,7.2411,0,0.0,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,2,0.397541,-0.148606,-6.194107,computed,10,0,2182,1.0,0.0,0.0,0.0,0,2.287364,141,6.462,4,0.028369,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,3,0.724057,0.07612,-1.022602,computed,10,0,2182,0.7,0.3,0.030669,0.176471,4,2.300806,130,5.9578,2,0.015385,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,4,0.695395,-0.076583,-1.095004,computed,10,0,2182,0.6,0.4,0.035696,0.176471,1,2.301663,100,4.583,0,0.0,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,5,0.401316,-0.169005,-4.230295,computed,10,0,2182,1.0,0.0,0.0,0.0,0,2.293907,83,3.8038,0,0.0,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,6,0.901877,-0.061634,-0.85522,computed,10,0,2182,1.0,0.0,0.0,0.0,0,2.291674,75,3.4372,4,0.053333,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,7,0.478218,-0.078365,-5.718879,computed,10,0,2182,0.7,0.3,0.030669,0.176471,1,2.301214,64,2.9331,0,0.0,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,8,0.670875,0.035025,-1.980522,computed,10,0,2182,0.7,0.3,0.013575,0.176471,0,2.291207,62,2.8414,1,0.016129,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,9,0.529372,-0.027759,-4.585329,computed,10,0,2182,1.0,0.0,0.0,0.0,0,2.270682,46,2.1082,3,0.065217,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,10,0.245564,-0.22589,-10.632676,computed,10,0,2182,1.0,0.0,0.0,0.0,0,2.292829,46,2.1082,0,0.0,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,11,0.807055,-0.059023,-0.784727,computed,10,0,2182,1.0,0.0,0.0,0.0,0,2.280072,43,1.9707,1,0.023256,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,12,0.49547,-0.099814,-3.71549,computed,10,0,2182,1.0,0.0,0.0,0.0,0,2.290662,38,1.7415,0,0.0,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,13,0.53444,-0.032626,-3.985451,computed,10,0,2182,1.0,0.0,0.0,0.0,0,2.288231,38,1.7415,2,0.052632,pending_human_review,3f4de8ee8c0c96b1,True,True,preferred_provisional
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,1,,,,not_recomputed_comparative_model,,,,,,,,,,52,6.6072,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,2,,,,not_recomputed_comparative_model,,,,,,,,,,60,5.9575,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,3,,,,not_recomputed_comparative_model,,,,,,,,,,128,11.3662,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,4,,,,not_recomputed_comparative_model,,,,,,,,,,57,7.2161,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,5,,,,not_recomputed_comparative_model,,,,,,,,,,69,7.914,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,6,,,,not_recomputed_comparative_model,,,,,,,,,,40,4.228,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,7,,,,not_recomputed_comparative_model,,,,,,,,,,46,4.8036,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,8,,,,not_recomputed_comparative_model,,,,,,,,,,58,5.8875,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,9,,,,not_recomputed_comparative_model,,,,,,,,,,75,8.0941,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,10,,,,not_recomputed_comparative_model,,,,,,,,,,47,4.28,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,11,,,,not_recomputed_comparative_model,,,,,,,,,,50,5.3321,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,12,,,,not_recomputed_comparative_model,,,,,,,,,,71,7.2711,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,13,,,,not_recomputed_comparative_model,,,,,,,,,,59,6.1039,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,14,,,,not_recomputed_comparative_model,,,,,,,,,,56,7.005,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,15,,,,not_recomputed_comparative_model,,,,,,,,,,29,2.8884,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,16,,,,not_recomputed_comparative_model,,,,,,,,,,42,5.0454,,,pending,5adc9f83bb44b510,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,1,,,,not_recomputed_comparative_model,,,,,,,,,,33,2.6028,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,2,,,,not_recomputed_comparative_model,,,,,,,,,,32,2.8145,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,3,,,,not_recomputed_comparative_model,,,,,,,,,,74,5.463,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,4,,,,not_recomputed_comparative_model,,,,,,,,,,135,11.3406,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,5,,,,not_recomputed_comparative_model,,,,,,,,,,33,3.2524,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,6,,,,not_recomputed_comparative_model,,,,,,,,,,123,8.4499,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,7,,,,not_recomputed_comparative_model,,,,,,,,,,50,4.4277,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,8,,,,not_recomputed_comparative_model,,,,,,,,,,91,6.5713,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,9,,,,not_recomputed_comparative_model,,,,,,,,,,75,6.517,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,10,,,,not_recomputed_comparative_model,,,,,,,,,,135,10.7504,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,11,,,,not_recomputed_comparative_model,,,,,,,,,,65,5.8544,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,12,,,,not_recomputed_comparative_model,,,,,,,,,,91,7.4551,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,13,,,,not_recomputed_comparative_model,,,,,,,,,,53,5.0417,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,14,,,,not_recomputed_comparative_model,,,,,,,,,,83,6.926,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,15,,,,not_recomputed_comparative_model,,,,,,,,,,71,5.9655,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,16,,,,not_recomputed_comparative_model,,,,,,,,,,51,6.5677,,,pending,22ecf8acc6e3bd31,True,False,stability_nonconverged
STM-METADATA-PT,stm/metadata_pt_corrected,metadata,pt,1,,,,not_recomputed_comparative_model,,,,,,,,,,7,20.3972,,,pending,98600702f07dbabe,True,False,exploratory_small_corpus_stability_nonconverged
STM-METADATA-PT,stm/metadata_pt_corrected,metadata,pt,2,,,,not_recomputed_comparative_model,,,,,,,,,,12,24.292,,,pending,98600702f07dbabe,True,False,exploratory_small_corpus_stability_nonconverged
STM-METADATA-PT,stm/metadata_pt_corrected,metadata,pt,3,,,,not_recomputed_comparative_model,,,,,,,,,,6,19.1734,,,pending,98600702f07dbabe,True,False,exploratory_small_corpus_stability_nonconverged
STM-METADATA-PT,stm/metadata_pt_corrected,metadata,pt,4,,,,not_recomputed_comparative_model,,,,,,,,,,7,18.9217,,,pending,98600702f07dbabe,True,False,exploratory_small_corpus_stability_nonconverged
STM-METADATA-PT,stm/metadata_pt_corrected,metadata,pt,5,,,,not_recomputed_comparative_model,,,,,,,,,,10,17.2156,,,pending,98600702f07dbabe,True,False,exploratory_small_corpus_stability_nonconverged
