document_id,model,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_entropy
doi:10.47865/igob.vol9.n33.2026.454,stm,15,0.6647144616877241,18,0.24678864476756374,0.41792581692016034,FALSE,FALSE,2026,,Radiografía de la Gestión Educativa Privada: Situación actual en la UGEL 07 de Lima Metropolitana,10.47865/igob.vol9.n33.2026.454,PDF,full_text,0.9592860435053713
doi:10.58515/019rspt,stm,15,0.7515644266599448,20,0.15643074728561987,0.5951336793743249,FALSE,FALSE,2024,,La planificación prospectiva como elemento gerencial organizativo en la gestión educativa,10.58515/019rspt,PDF,full_text,0.8741525900484456
doi:10.47766/development.v2i2.1118,stm,10,0.7325833576638558,8,0.1340210835398743,0.5985622741239816,FALSE,FALSE,2024,,Adiwiyata School Management In Improving Brand Image In Madrasah,10.47766/development.v2i2.1118,PDF,full_text,0.8820925388644438
doi:10.5195/ie.2025.489,stm,8,0.783312429655931,16,0.21478282036866453,0.5685296092872665,FALSE,FALSE,2025,,Empowering Educational Leadership Research with Generative AI,10.5195/ie.2025.489,PDF,full_text,0.5369120283115972
doi:10.62711/ijite.v2i4.161,stm,10,0.5744535589541432,19,0.23724901986541014,0.33720453908873305,FALSE,FALSE,2023,,Implementation of School Management Information Systems at Vocational School State I Tomohon,10.62711/ijite.v2i4.161,PDF,full_text,0.9955059560038373
doi:10.21573/vol42n12026.139503,stm,20,0.4889137821912617,15,0.4407326666739239,0.04818111551733778,FALSE,TRUE,2026,,Elogio al liderazgo escolar. Un revisión crítica,10.21573/vol42n12026.139503,PDF,full_text,0.9898544878866727
doi:10.5772/intechopen.1012846,stm,8,0.9034126745967936,2,0.05674756833050577,0.8466651062662879,FALSE,FALSE,2025,,Perspective Chapter: The Role of Educational Leadership in Promoting Entrepreneurship Education in Higher Education – Evidence from Pakistan,10.5772/intechopen.1012846,PDF,full_text,0.43323454662545613
doi:10.38043/telsinas.v8i2.7044,stm,8,0.8179816535610155,2,0.1778135754433089,0.6401680781177066,FALSE,FALSE,2025,,"Artificial Intelligence in Educational Leadership: Strategic, Analytical, Interactive, and Decision-Making Applications for the Digital Age",10.38043/telsinas.v8i2.7044,PDF,full_text,0.5011586381860031
doi:10.37676/mude.v4i2.8175,stm,2,0.3733446908741053,10,0.27665943202128607,0.09668525885281926,FALSE,TRUE,2025,,Characteristics Of Transformational Educational Leadership In The Era Of Society 5.0 The Perspective Of The Quran,10.37676/mude.v4i2.8175,PDF,full_text,1.4110862516796092
doi:10.20473/rlj.v9-i2.2023.306-318,stm,2,0.986905335170455,12,0.011019948412250305,0.9758853867582047,FALSE,FALSE,2023,,Uncovering patterns of author productivity in educational leadership and management in Indonesia,10.20473/rlj.v9-i2.2023.306-318,PDF,full_text,0.07948720035412263
doi:10.7146/ejie.v3i1.142505,stm,8,0.34350693385842923,6,0.30673668629821593,0.0367702475602133,FALSE,TRUE,2024,,"Inclusive Educational Leadership and Research Instrument Validation: school principals’ values, knowledge, beliefs, attitudes and practices regarding inclusive education of disabled students.",10.7146/ejie.v3i1.142505,PDF,full_text,1.2976218043949208
doi:10.20849/jed.v6i3.1230,stm,6,0.701821868371011,10,0.1436853449370247,0.5581365234339863,FALSE,FALSE,2022,,An Investigation About the Challenges of Adopting Performance Management in Educational Leadership in England,10.20849/jed.v6i3.1230,PDF,full_text,0.9242946576386745
doi:10.25115/eea.v39i12.6463,stm,6,0.6154885532501082,5,0.16194252157904981,0.4535460316710584,FALSE,FALSE,2021,,"Interplay of Shared Leadership Practices of Principals, Teachers’ Soft Skills and Learners’ Competitiveness in COVID 19 Era: Implications to Economics of Educational Leadership",10.25115/eea.v39i12.6463,PDF,full_text,1.3903332772448254
doi:10.3389/feduc.2024.1413607,stm,6,0.753530757944616,8,0.15462995997332848,0.5989007979712875,FALSE,FALSE,2024,,The role of transformational leadership in enhancing school culture and teaching performance in Yemeni public schools,10.3389/feduc.2024.1413607,PDF,full_text,0.8665658872770394
doi:10.55927/ijsmr.v1i9.3578,stm,13,0.5751156723414663,6,0.1875396434306589,0.38757602891080745,FALSE,FALSE,2023,,Anger and Stress Management Techniques for Successful Educational Leadership,10.55927/ijsmr.v1i9.3578,PDF,full_text,1.290170276974309
doi:10.47604/ajep.3176,stm,8,0.7681707548867482,6,0.1037345780216857,0.6644361768650625,FALSE,FALSE,2025,,"The Making of a Champion Leader: Insights from the Diploma in Educational Leadership and Management Program in Uganda, West Nile Region",10.47604/ajep.3176,PDF,full_text,0.8010713564343364
doi:10.2478/mdke-2023-0015,stm,16,0.4680489001694303,19,0.2145872372513915,0.2534616629180388,FALSE,FALSE,2023,,"Educational Leadership for Equality, Diversity and Inclusion in Curricula Design",10.2478/mdke-2023-0015,PDF,full_text,1.4198213776700563
