K,coherence,exclusivity,heldout,residual,bound,stability,convergence_rate,multicriteria_score,K_recomendado,K_alternativo,justificacion,advertencias
22,-25.483633586108798,9.473770766097195,-7.909732331810334,2.7119640637826006,-25450808.688922185,NA,NA,0.689729618219947,TRUE,FALSE,Mayor puntaje multicriterio configurable,Estabilidad no ejecutada; activar RUN_STABILITY=true
26,-29.153795168050852,9.552443333975196,-7.900066639872791,2.702609645653975,-25385486.813997142,NA,NA,0.680597442463437,FALSE,TRUE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
30,-30.995070220410632,9.55757665580061,-7.894342210485527,2.609855363915324,-25298684.32064845,NA,NA,0.672644193248265,FALSE,TRUE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
18,-22.280279348634565,9.436941665309936,-7.938731734269615,2.8885458918603146,-25580449.255407292,NA,NA,0.6516989943105096,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
28,-30.86846721098454,9.569650076432817,-7.906681942690052,2.6681996343100067,-25357389.33771332,NA,NA,0.6492762599276449,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
20,-25.901135570164442,9.469172528803014,-7.9279474055421275,2.7799344630933205,-25512823.309980437,NA,NA,0.6363298669225528,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
40,-33.890791854011546,9.612506660571626,-7.894517871705569,2.767812124932836,-25221204.183576196,NA,NA,0.6267050668256924,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
34,-34.172279695023136,9.603964445134512,-7.897669414110217,2.730651944206343,-25295720.621508453,NA,NA,0.6161427220735496,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
32,-33.52826242376762,9.59445086755038,-7.911157308513143,2.7028971599276526,-25318535.53458972,NA,NA,0.6003282390948842,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
36,-34.54704001028442,9.612584841441187,-7.9050873165857025,2.737283860337962,-25272492.387857474,NA,NA,0.5981640209216826,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
16,-23.513600139185545,9.411598466864591,-7.947601533531044,2.986816812068832,-25641307.759205405,NA,NA,0.58869312386059,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
24,-32.1224324495171,9.527157532085836,-7.912676544078113,2.7703356271193207,-25446303.278017938,NA,NA,0.5831195841164584,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
38,-35.77014624917958,9.638808025350485,-7.906410141809858,2.7629416908207722,-25266838.39058931,NA,NA,0.5827426118512018,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
14,-24.454560988816333,9.364243878027805,-7.9543479826588195,3.0832965409850988,-25718789.264048412,NA,NA,0.5250988600165658,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
10,-20.144788158033514,9.17586661834794,-7.979206216162813,3.1740521814531166,-25815927.64588934,NA,NA,0.4554119944977336,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
8,-18.94507824398526,9.097236349211894,-7.996908099600576,3.427391347604486,-25955714.40986858,NA,NA,0.375,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
12,-29.788502923081783,9.282110843984801,-7.970708916075276,3.0964138124153,-25766537.307355862,NA,NA,0.3585698541452412,FALSE,FALSE,Solución comparativa,Estabilidad no ejecutada; activar RUN_STABILITY=true
