document_id,publication_document_id,model,corpus,language,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,title,doi,source,corpus_unit,topic_entropy
doi:10.48169/ecuatesis/0101202005,doi:10.48169/ecuatesis/0101202005,STM-METADATA-EN,metadata,en,2,0.5763511465431415,14,0.29530224941294503,0.28104889713019643,FALSE,FALSE,2020,La gestión escolar y la calidad educativa en las instituciones educativas de nivel básico.,10.48169/ecuatesis/0101202005,OpenAlex,metadata,1.1481787541360788
doi:10.33010/ie_rie_rediech.v14i0.1807,doi:10.33010/ie_rie_rediech.v14i0.1807,STM-METADATA-EN,metadata,en,2,0.3362787630494718,15,0.24646890882825476,0.08980985422121704,FALSE,TRUE,2023,Los documentos normativos de gestión escolar durante el confinamiento (2020-2022) en México,10.33010/ie_rie_rediech.v14i0.1807,OpenAlex,metadata,1.8774851412300142
doi:10.69733/clad.ryd.n83.a274,doi:10.69733/clad.ryd.n83.a274,STM-METADATA-EN,metadata,en,6,0.8146075272976718,15,0.06700372036365976,0.7476038069340121,FALSE,FALSE,2022,"Políticas de &lt;i&gt;accountability&lt;/i&gt;: tensiones y dificultades en la gestión escolar, una revisión bibliográfica",10.69733/clad.ryd.n83.a274,OpenAlex,metadata,0.8374393954653877
record:fab25d58ab6cd63e64c1f6b3,record:fab25d58ab6cd63e64c1f6b3,STM-METADATA-EN,metadata,en,2,0.3952647955073144,1,0.2994057831380986,0.09585901236921579,FALSE,TRUE,2020,AUTONOMÍA DE LA GESTIÓN ESCOLAR EN LA EDUCACIÓN BÁSICA EN MÉXICO: IDENTIFICACIÓN DE FACTORES QUE LA OBSTACULIZAN O PERMITEN SU DESARROLLO,NA,OpenAlex,metadata,1.5629975371551097
doi:10.58995/redlic.rmic.v3.n3.a179,doi:10.58995/redlic.rmic.v3.n3.a179,STM-METADATA-EN,metadata,en,6,0.8440542899558623,1,0.10152952739134159,0.7425247625645207,FALSE,FALSE,2025,El Plan Educativo Institucional como herramienta de la gestión escolar,10.58995/redlic.rmic.v3.n3.a179,OpenAlex,metadata,0.6612024025472087
doi:10.69821/constellations.v5i1.160,doi:10.69821/constellations.v5i1.160,STM-METADATA-EN,metadata,en,15,0.24496169068197118,10,0.16704834614807798,0.0779133445338932,FALSE,TRUE,2026,Liderazgo pedagógico y gestión escolar rural: una revisión documental sistemática,10.69821/constellations.v5i1.160,OpenAlex,metadata,2.09436483583296
doi:10.23857/pc.v6i1.2182,doi:10.23857/pc.v6i1.2182,STM-METADATA-EN,metadata,en,2,0.8170965860326563,11,0.09302545440036784,0.7240711316322885,FALSE,FALSE,2021,La función supervisora como proceso complejo en la gestión escolar,10.23857/pc.v6i1.2182,OpenAlex,metadata,0.8027839206766353
doi:10.53485/rsu.v4i3.186,doi:10.53485/rsu.v4i3.186,STM-METADATA-EN,metadata,en,2,0.242178042676874,1,0.18983892148700449,0.052339121189869525,FALSE,TRUE,2021,Gestión escolar del liderazgo estratégico: Diagnóstico de una escuela primaria mexicana,10.53485/rsu.v4i3.186,OpenAlex,metadata,2.2980073199067648
doi:10.62452/rs29bw18,doi:10.62452/rs29bw18,STM-METADATA-EN,metadata,en,1,0.3882257030468516,15,0.24032385441554735,0.14790184863130426,FALSE,FALSE,2024,La gestión escolar y su impacto en la función directiva. Reflexiones teórico-metodológicas,10.62452/rs29bw18,OpenAlex,metadata,1.837327278010987
record:23684482eed4a94093366631,record:23684482eed4a94093366631,STM-METADATA-EN,metadata,en,2,0.7338870399687795,4,0.09118521641291968,0.6427018235558598,FALSE,FALSE,2021,La gestión escolar y los procesos para fomentar la integración escolar: Comunicación breve,NA,OpenAlex,metadata,1.0963210574994333
doi:10.19136/etie.a5n9.5057,doi:10.19136/etie.a5n9.5057,STM-METADATA-EN,metadata,en,2,0.2761477968775663,14,0.1754790831621774,0.10066871371538891,FALSE,FALSE,2022,Cuando administración y cultura corporativa no son suficientes para la Gestión Escolar: una evidencia empírica.,10.19136/etie.a5n9.5057,OpenAlex,metadata,2.269290826125773
doi:10.15359/rep.17-1.3,doi:10.15359/rep.17-1.3,STM-METADATA-EN,metadata,en,6,0.6444374705856849,2,0.21367166348599048,0.4307658070996944,FALSE,FALSE,2022,"Economía global, gestión escolar y calidad educativa, análisis contextual desde el proyecto educativo institucional",10.15359/rep.17-1.3,OpenAlex,metadata,1.216388851582423
record:ebcc7ddd109a76a8406e40af,record:ebcc7ddd109a76a8406e40af,STM-METADATA-EN,metadata,en,6,0.9485582372892505,10,0.012217778032801791,0.9363404592564487,FALSE,FALSE,2025,La gestión escolar para el mejoramiento de la calidad educativa en la escuela Emilio Carranza,NA,OpenAlex,metadata,0.3244517408935887
doi:10.15381/rpiiedu.v4i1.26747,doi:10.15381/rpiiedu.v4i1.26747,STM-METADATA-EN,metadata,en,10,0.34323309652410133,15,0.2582580146337044,0.08497508189039693,FALSE,TRUE,2024,Estado del Arte sobre Comunidades de Aprendizaje Profesional en las prácticas de gestión escolar: (2020-2023),10.15381/rpiiedu.v4i1.26747,OpenAlex,metadata,1.794548368778021
record:edc1e2a1486f91919ea94635,record:edc1e2a1486f91919ea94635,STM-METADATA-EN,metadata,en,15,0.22623404430107957,9,0.22617108596820396,6.29583328756178e-5,FALSE,TRUE,2025,Las Tecnologías de la Información como Herramienta Eje que Favorece las Dimensiones de la Gestión Escolar,NA,OpenAlex,metadata,2.0521104120757125
record:3a7d056d2a66b8e58dd41a05,record:3a7d056d2a66b8e58dd41a05,STM-METADATA-EN,metadata,en,2,0.45153585692503856,16,0.12448417577587492,0.3270516811491636,FALSE,FALSE,2020,La formación de directores ¿puede mejorar la gestión escolar? evidencia a corto plazo de un experimento en Argentina,NA,OpenAlex,metadata,1.8904996515790946
doi:10.4000/14hpr,doi:10.4000/14hpr,STM-METADATA-EN,metadata,en,2,0.9522674973774385,10,0.017095787337629863,0.9351717100398087,FALSE,FALSE,2025,L’institution scolaire et ses agents à l’épreuve du discours managérial,10.4000/14hpr,OpenAlex,metadata,0.29345287237390344
doi:10.21703/rexe.20201941miras16,doi:10.21703/rexe.20201941miras16,STM-METADATA-EN,metadata,en,2,0.3987741227206559,6,0.291902299358586,0.10687182336206985,FALSE,FALSE,2020,Liderazgo pedagógico y liderazgo ético: perspectivas complementarias de la nueva dirección escolar,10.21703/rexe.20201941miras16,OpenAlex,metadata,1.5505796420568059
doi:10.4067/s0718-07052023000100031,doi:10.4067/s0718-07052023000100031,STM-METADATA-EN,metadata,en,2,0.6275500109892912,3,0.29975120933958993,0.32779880164970127,FALSE,FALSE,2023,Mujeres y la dirección escolar en Chile: el desafío de conciliar trabajo y familia,10.4067/s0718-07052023000100031,OpenAlex,metadata,0.9862713475001854
doi:10.15581/004.44.005,doi:10.15581/004.44.005,STM-METADATA-EN,metadata,en,2,0.46737727821277086,14,0.16738062705006498,0.2999966511627059,FALSE,FALSE,2022,¿Es la dirección escolar un trabajo apasionante? Evaluación de la pasión en directivos de Chile y Cataluña,10.15581/004.44.005,OpenAlex,metadata,1.732878085352545
doi:10.2307/jj.22246954.24,doi:10.2307/jj.22246954.24,STM-METADATA-EN,metadata,en,2,0.7917439225871554,10,0.03378902344733687,0.7579548991398185,FALSE,FALSE,2024,DIRECCIÓN ESCOLAR Y SU FORMACIÓN.,10.2307/jj.22246954.24,OpenAlex,metadata,1.0329834192254692
doi:10.5944/hme.14.2021.28184,doi:10.5944/hme.14.2021.28184,STM-METADATA-EN,metadata,en,2,0.824030972160072,1,0.10565539021432467,0.7183755819457474,FALSE,FALSE,2021,Villar Palasí: Sobre tecnocracia y dirección escolar,10.5944/hme.14.2021.28184,OpenAlex,metadata,0.748593607354557
doi:10.48035/tesis/2454/45810,doi:10.48035/tesis/2454/45810,STM-METADATA-EN,metadata,en,2,0.20855939817343563,15,0.20557550734837593,0.002983890825059704,FALSE,TRUE,2023,s La dirección escolar: hacia la definición de su identidad profesional,10.48035/tesis/2454/45810,OpenAlex,metadata,2.1981870304924866
doi:10.48169/ecuatesis/0102202008,doi:10.48169/ecuatesis/0102202008,STM-METADATA-EN,metadata,en,6,0.68196692818538,1,0.11562820704789434,0.5663387211374856,FALSE,FALSE,2020,Gestión educativa y su relación con el desempeño docente.,10.48169/ecuatesis/0102202008,OpenAlex,metadata,1.3019216365300985
doi:10.48169/ecuatesis/0102202012,doi:10.48169/ecuatesis/0102202012,STM-METADATA-EN,metadata,en,2,0.8022808923953322,14,0.08846932666254886,0.7138115657327833,FALSE,FALSE,2020,Gestión educativa y práctica docente: reflexiones sobre la dimensión investigativa.,10.48169/ecuatesis/0102202012,OpenAlex,metadata,0.8588317104308468
doi:10.48169/ecuatesis/0105202028,doi:10.48169/ecuatesis/0105202028,STM-METADATA-EN,metadata,en,2,0.28762774921556017,14,0.1818443997920789,0.10578334942348128,FALSE,FALSE,2020,La gestión educativa en el liderazgo directivo de los colegios del circuito 07d01 del cantón Pasaje.,10.48169/ecuatesis/0105202028,OpenAlex,metadata,2.143943325567392
doi:10.35622/j.rep.2023.04.002,doi:10.35622/j.rep.2023.04.002,STM-METADATA-EN,metadata,en,6,0.501705041558409,13,0.15606727817232935,0.34563776338607965,FALSE,FALSE,2023,Liderazgo directivo y gestión educativa en el ámbito educativo,10.35622/j.rep.2023.04.002,OpenAlex,metadata,1.6045286298652162
doi:10.15359/ree.27-3.17435,doi:10.15359/ree.27-3.17435,STM-METADATA-EN,metadata,en,2,0.3972671875854341,10,0.19401092878289206,0.20325625880254206,FALSE,FALSE,2023,Gestión educativa para la inclusión: Perfil personal y profesional de las personas directoras de escuelas primarias en Costa Rica,10.15359/ree.27-3.17435,OpenAlex,metadata,1.8734146220473498
record:bfb4d5b229a62417a07d3ff4,record:bfb4d5b229a62417a07d3ff4,STM-METADATA-EN,metadata,en,2,0.6662290005233422,15,0.1330840786627893,0.533144921860553,FALSE,FALSE,2021,Las metáforas docentes sobre la gestión educativa en una escuela pública,NA,OpenAlex,metadata,1.2706357421144459
doi:10.15359/rep.18-1.14,doi:10.15359/rep.18-1.14,STM-METADATA-EN,metadata,en,2,0.5754274935013877,1,0.1757613585106006,0.39966613499078707,FALSE,FALSE,2023,Gestión educativa para la promoción de entornos inclusivos en Costa Rica: análisis desde la política educativa,10.15359/rep.18-1.14,OpenAlex,metadata,1.4662425989881778
doi:10.15359/rep.17-2.11,doi:10.15359/rep.17-2.11,STM-METADATA-EN,metadata,en,2,0.6758223241802181,12,0.12735994208775459,0.5484623820924636,FALSE,FALSE,2022,El paradigma de la complejidad en la gestión educativa de una escuela pública del cantón de Belén de Heredia,10.15359/rep.17-2.11,OpenAlex,metadata,1.2409158594698575
doi:10.24265/iggp.2021.v8n1.04,doi:10.24265/iggp.2021.v8n1.04,STM-METADATA-EN,metadata,en,2,0.47046811066937355,13,0.32150760841425435,0.1489605022551192,FALSE,FALSE,2021,La motivación intrínseca y su relación con la gestión pública de los directores de la Unidad de Gestión Educativa Local N° 06 -Lima,10.24265/iggp.2021.v8n1.04,OpenAlex,metadata,1.4144842020858521
