model,corpus,language,topic_id,rank,term,metric
STM-METADATA-EN,metadata,en,1,1,transformation,FREX
STM-METADATA-EN,metadata,en,1,2,democratic,FREX
STM-METADATA-EN,metadata,en,1,3,participation,FREX
STM-METADATA-EN,metadata,en,1,4,governance,FREX
STM-METADATA-EN,metadata,en,1,5,participatory,FREX
STM-METADATA-EN,metadata,en,1,6,democracy,FREX
STM-METADATA-EN,metadata,en,1,7,administration,FREX
STM-METADATA-EN,metadata,en,1,8,community,FREX
STM-METADATA-EN,metadata,en,1,9,parent,FREX
STM-METADATA-EN,metadata,en,1,10,decision-making,FREX
STM-METADATA-EN,metadata,en,1,11,autonomy,FREX
STM-METADATA-EN,metadata,en,1,12,community-based,FREX
STM-METADATA-EN,metadata,en,1,13,public,FREX
STM-METADATA-EN,metadata,en,1,14,decisions,FREX
STM-METADATA-EN,metadata,en,1,15,stakeholder,FREX
STM-METADATA-EN,metadata,en,1,16,act,FREX
STM-METADATA-EN,metadata,en,1,17,communities,FREX
STM-METADATA-EN,metadata,en,1,18,participative,FREX
STM-METADATA-EN,metadata,en,1,19,committees,FREX
STM-METADATA-EN,metadata,en,1,20,project,FREX
STM-METADATA-EN,metadata,en,2,1,inclusion,FREX
STM-METADATA-EN,metadata,en,2,2,inclusive,FREX
STM-METADATA-EN,metadata,en,2,3,special,FREX
STM-METADATA-EN,metadata,en,2,4,disabilities,FREX
STM-METADATA-EN,metadata,en,2,5,mineral,FREX
STM-METADATA-EN,metadata,en,2,6,escolar,FREX
STM-METADATA-EN,metadata,en,2,7,reform,FREX
STM-METADATA-EN,metadata,en,2,8,humanities,FREX
STM-METADATA-EN,metadata,en,2,9,gestión,FREX
STM-METADATA-EN,metadata,en,2,10,compulsory,FREX
STM-METADATA-EN,metadata,en,2,11,action,FREX
STM-METADATA-EN,metadata,en,2,12,pedagogical,FREX
STM-METADATA-EN,metadata,en,2,13,families,FREX
STM-METADATA-EN,metadata,en,2,14,institution,FREX
STM-METADATA-EN,metadata,en,2,15,visual,FREX
STM-METADATA-EN,metadata,en,2,16,spain,FREX
STM-METADATA-EN,metadata,en,2,17,actors,FREX
STM-METADATA-EN,metadata,en,2,18,actions,FREX
STM-METADATA-EN,metadata,en,2,19,mainstream,FREX
STM-METADATA-EN,metadata,en,2,20,classrooms,FREX
STM-METADATA-EN,metadata,en,3,1,black,FREX
STM-METADATA-EN,metadata,en,3,2,racism,FREX
STM-METADATA-EN,metadata,en,3,3,justice,FREX
STM-METADATA-EN,metadata,en,3,4,women,FREX
STM-METADATA-EN,metadata,en,3,5,equity,FREX
STM-METADATA-EN,metadata,en,3,6,race,FREX
STM-METADATA-EN,metadata,en,3,7,ethical,FREX
STM-METADATA-EN,metadata,en,3,8,book,FREX
STM-METADATA-EN,metadata,en,3,9,gender,FREX
STM-METADATA-EN,metadata,en,3,10,racial,FREX
STM-METADATA-EN,metadata,en,3,11,leaders,FREX
STM-METADATA-EN,metadata,en,3,12,muslim,FREX
STM-METADATA-EN,metadata,en,3,13,transactional,FREX
STM-METADATA-EN,metadata,en,3,14,responsive,FREX
STM-METADATA-EN,metadata,en,3,15,privilege,FREX
STM-METADATA-EN,metadata,en,3,16,chapter,FREX
STM-METADATA-EN,metadata,en,3,17,scholars,FREX
STM-METADATA-EN,metadata,en,3,18,anti-racist,FREX
STM-METADATA-EN,metadata,en,3,19,leadership,FREX
STM-METADATA-EN,metadata,en,3,20,equality,FREX
STM-METADATA-EN,metadata,en,4,1,vocational,FREX
STM-METADATA-EN,metadata,en,4,2,entrepreneurship,FREX
STM-METADATA-EN,metadata,en,4,3,process,FREX
STM-METADATA-EN,metadata,en,4,4,services,FREX
STM-METADATA-EN,metadata,en,4,5,planning,FREX
STM-METADATA-EN,metadata,en,4,6,nbsp,FREX
STM-METADATA-EN,metadata,en,4,7,business,FREX
STM-METADATA-EN,metadata,en,4,8,computing,FREX
STM-METADATA-EN,metadata,en,4,9,service,FREX
STM-METADATA-EN,metadata,en,4,10,implementing,FREX
STM-METADATA-EN,metadata,en,4,11,engineering,FREX
STM-METADATA-EN,metadata,en,4,12,implementation,FREX
STM-METADATA-EN,metadata,en,4,13,component,FREX
STM-METADATA-EN,metadata,en,4,14,quality,FREX
STM-METADATA-EN,metadata,en,4,15,personnel,FREX
STM-METADATA-EN,metadata,en,4,16,coordination,FREX
STM-METADATA-EN,metadata,en,4,17,evaluation,FREX
STM-METADATA-EN,metadata,en,4,18,good,FREX
STM-METADATA-EN,metadata,en,4,19,guidance,FREX
STM-METADATA-EN,metadata,en,4,20,will,FREX
STM-METADATA-EN,metadata,en,5,1,principals,FREX
STM-METADATA-EN,metadata,en,5,2,instructional,FREX
STM-METADATA-EN,metadata,en,5,3,style,FREX
STM-METADATA-EN,metadata,en,5,4,styles,FREX
STM-METADATA-EN,metadata,en,5,5,principal,FREX
STM-METADATA-EN,metadata,en,5,6,leadership,FREX
STM-METADATA-EN,metadata,en,5,7,leader,FREX
STM-METADATA-EN,metadata,en,5,8,traits,FREX
STM-METADATA-EN,metadata,en,5,9,identity,FREX
STM-METADATA-EN,metadata,en,5,10,security,FREX
STM-METADATA-EN,metadata,en,5,11,personality,FREX
STM-METADATA-EN,metadata,en,5,12,amp,FREX
STM-METADATA-EN,metadata,en,5,13,shared,FREX
STM-METADATA-EN,metadata,en,5,14,behaviors,FREX
STM-METADATA-EN,metadata,en,5,15,goal,FREX
STM-METADATA-EN,metadata,en,5,16,followers,FREX
STM-METADATA-EN,metadata,en,5,17,maturity,FREX
STM-METADATA-EN,metadata,en,5,18,problems,FREX
STM-METADATA-EN,metadata,en,5,19,experience,FREX
STM-METADATA-EN,metadata,en,5,20,female,FREX
STM-METADATA-EN,metadata,en,6,1,smc,FREX
