model,corpus,language,topic_id,year,documents_in_year,dominant_topic_documents,effective_topic_mass,mean_prevalence,median_prevalence,expected_prevalence,topic_presence_above_threshold,lower_95,upper_95,uncertainty_method,year_complete,metadata_coverage,fulltext_coverage
STM-METADATA-EN,metadata,en,1,2020,216,14,17.97309086314337,0.08320875399603411,0.01290627992346838,0.07231325153899197,43,0.051316191004401296,0.09376289330830001,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,1,2021,192,7,12.067599023388006,0.06285207824681253,0.014759560439179528,0.06829062739824876,34,0.049672726689712815,0.08775366760936662,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,1,2022,155,16,12.757535036522135,0.08230667765498152,0.01559940766355627,0.06584572670620634,37,0.04949073640685285,0.0827468398578366,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,1,2023,149,8,9.120815547179724,0.061213527162280026,0.01410223282908126,0.06357899835947985,24,0.043397398065849274,0.08505179942179666,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,1,2024,124,7,7.089577811321869,0.057174014607434424,0.010282064622585428,0.05981211215953696,19,0.040774770377942984,0.08168113557218981,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,1,2025,96,4,5.242531666191269,0.054609704856159055,0.011860930989160414,0.05473120813450132,13,0.026827011748251743,0.08362917253611127,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,1,2026,7,1,0.5888980286413044,0.08412828980590062,0.0353507937180879,0.04899449747316994,1,-0.007213201828129025,0.10767630504455085,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,2,2020,216,17,14.599004485824091,0.06758798373066709,0.0060771424482498875,0.0636020271754631,35,0.04058880805470966,0.087224842849766,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,2,2021,192,11,10.4230018756211,0.05428646810219323,0.006154021577384096,0.06477953102697054,24,0.045140410361283995,0.08662673709869693,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,2,2022,155,11,9.68062512174537,0.06245564594674432,0.005430908029913184,0.05708470063778115,22,0.03862693080536873,0.07638226629868539,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,2,2023,149,12,8.649642394405683,0.05805129123762203,0.004714092872120937,0.04781884567304083,21,0.028116324472809016,0.06853646407943167,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,2,2024,124,4,3.662249898659235,0.029534273376284153,0.003822635488286952,0.04590043494180758,7,0.02720002601489936,0.06454723986334274,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,2,2025,96,7,5.381612656212266,0.056058465168877775,0.004276605192163996,0.05051767609773021,13,0.021504091351934145,0.07954844555089521,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,2,2026,7,1,0.850820550608076,0.12154579294401087,0.029055598037135717,0.05839676411658161,2,-0.0021362122915329364,0.11740465343852691,estimateEffect_global_simulation,FALSE,1,0.190476
