model,corpus,language,topic_id,rank,term,metric
STM-METADATA-EN,metadata,en,1,1,participation,FREX
STM-METADATA-EN,metadata,en,1,2,democratic,FREX
STM-METADATA-EN,metadata,en,1,3,accountability,FREX
STM-METADATA-EN,metadata,en,1,4,administration,FREX
STM-METADATA-EN,metadata,en,1,5,governance,FREX
STM-METADATA-EN,metadata,en,1,6,transparency,FREX
STM-METADATA-EN,metadata,en,1,7,democracy,FREX
STM-METADATA-EN,metadata,en,1,8,participatory,FREX
STM-METADATA-EN,metadata,en,1,9,community,FREX
STM-METADATA-EN,metadata,en,1,10,parent,FREX
STM-METADATA-EN,metadata,en,1,11,autonomy,FREX
STM-METADATA-EN,metadata,en,1,12,decision-making,FREX
STM-METADATA-EN,metadata,en,1,13,public,FREX
STM-METADATA-EN,metadata,en,1,14,participative,FREX
STM-METADATA-EN,metadata,en,1,15,politics,FREX
STM-METADATA-EN,metadata,en,1,16,turkey,FREX
STM-METADATA-EN,metadata,en,1,17,communities,FREX
STM-METADATA-EN,metadata,en,1,18,managers,FREX
STM-METADATA-EN,metadata,en,1,19,policy,FREX
STM-METADATA-EN,metadata,en,1,20,tasks,FREX
STM-METADATA-EN,metadata,en,2,1,inclusion,FREX
STM-METADATA-EN,metadata,en,2,2,inclusive,FREX
STM-METADATA-EN,metadata,en,2,3,special,FREX
STM-METADATA-EN,metadata,en,2,4,mineral,FREX
STM-METADATA-EN,metadata,en,2,5,reform,FREX
STM-METADATA-EN,metadata,en,2,6,disabilities,FREX
STM-METADATA-EN,metadata,en,2,7,humanities,FREX
STM-METADATA-EN,metadata,en,2,8,century,FREX
STM-METADATA-EN,metadata,en,2,9,visual,FREX
STM-METADATA-EN,metadata,en,2,10,gestión,FREX
STM-METADATA-EN,metadata,en,2,11,escolar,FREX
STM-METADATA-EN,metadata,en,2,12,families,FREX
STM-METADATA-EN,metadata,en,2,13,art,FREX
STM-METADATA-EN,metadata,en,2,14,action,FREX
STM-METADATA-EN,metadata,en,2,15,cooperation,FREX
STM-METADATA-EN,metadata,en,2,16,university,FREX
STM-METADATA-EN,metadata,en,2,17,actors,FREX
STM-METADATA-EN,metadata,en,2,18,mainstream,FREX
STM-METADATA-EN,metadata,en,2,19,actions,FREX
STM-METADATA-EN,metadata,en,2,20,activity,FREX
STM-METADATA-EN,metadata,en,3,1,black,FREX
STM-METADATA-EN,metadata,en,3,2,racism,FREX
STM-METADATA-EN,metadata,en,3,3,justice,FREX
STM-METADATA-EN,metadata,en,3,4,women,FREX
STM-METADATA-EN,metadata,en,3,5,race,FREX
STM-METADATA-EN,metadata,en,3,6,scholars,FREX
STM-METADATA-EN,metadata,en,3,7,book,FREX
STM-METADATA-EN,metadata,en,3,8,muslim,FREX
STM-METADATA-EN,metadata,en,3,9,equity,FREX
STM-METADATA-EN,metadata,en,3,10,racial,FREX
STM-METADATA-EN,metadata,en,3,11,responsive,FREX
STM-METADATA-EN,metadata,en,3,12,gender,FREX
STM-METADATA-EN,metadata,en,3,13,privilege,FREX
STM-METADATA-EN,metadata,en,3,14,refugee,FREX
STM-METADATA-EN,metadata,en,3,15,ethical,FREX
STM-METADATA-EN,metadata,en,3,16,indigenous,FREX
STM-METADATA-EN,metadata,en,3,17,preparation,FREX
STM-METADATA-EN,metadata,en,3,18,chapter,FREX
STM-METADATA-EN,metadata,en,3,19,anti-racist,FREX
STM-METADATA-EN,metadata,en,3,20,leaders,FREX
STM-METADATA-EN,metadata,en,4,1,vocational,FREX
STM-METADATA-EN,metadata,en,4,2,process,FREX
STM-METADATA-EN,metadata,en,4,3,services,FREX
STM-METADATA-EN,metadata,en,4,4,computing,FREX
STM-METADATA-EN,metadata,en,4,5,business,FREX
STM-METADATA-EN,metadata,en,4,6,planning,FREX
STM-METADATA-EN,metadata,en,4,7,quality,FREX
STM-METADATA-EN,metadata,en,4,8,service,FREX
STM-METADATA-EN,metadata,en,4,9,good,FREX
STM-METADATA-EN,metadata,en,4,10,implementation,FREX
STM-METADATA-EN,metadata,en,4,11,implementing,FREX
STM-METADATA-EN,metadata,en,4,12,entrepreneurship,FREX
STM-METADATA-EN,metadata,en,4,13,coordination,FREX
STM-METADATA-EN,metadata,en,4,14,early,FREX
STM-METADATA-EN,metadata,en,4,15,engineering,FREX
STM-METADATA-EN,metadata,en,4,16,will,FREX
STM-METADATA-EN,metadata,en,4,17,personnel,FREX
STM-METADATA-EN,metadata,en,4,18,component,FREX
STM-METADATA-EN,metadata,en,4,19,needed,FREX
STM-METADATA-EN,metadata,en,4,20,negeri,FREX
STM-METADATA-EN,metadata,en,5,1,style,FREX
STM-METADATA-EN,metadata,en,5,2,instructional,FREX
STM-METADATA-EN,metadata,en,5,3,styles,FREX
STM-METADATA-EN,metadata,en,5,4,principals,FREX
STM-METADATA-EN,metadata,en,5,5,distributed,FREX
STM-METADATA-EN,metadata,en,5,6,leadership,FREX
STM-METADATA-EN,metadata,en,5,7,leader,FREX
STM-METADATA-EN,metadata,en,5,8,principal,FREX
STM-METADATA-EN,metadata,en,5,9,traits,FREX
STM-METADATA-EN,metadata,en,5,10,theories,FREX
STM-METADATA-EN,metadata,en,5,11,shared,FREX
STM-METADATA-EN,metadata,en,5,12,goal,FREX
STM-METADATA-EN,metadata,en,5,13,transactional,FREX
STM-METADATA-EN,metadata,en,5,14,personality,FREX
STM-METADATA-EN,metadata,en,5,15,identity,FREX
STM-METADATA-EN,metadata,en,5,16,maturity,FREX
STM-METADATA-EN,metadata,en,5,17,cultural,FREX
STM-METADATA-EN,metadata,en,5,18,followers,FREX
STM-METADATA-EN,metadata,en,5,19,capacity,FREX
STM-METADATA-EN,metadata,en,5,20,post,FREX
STM-METADATA-EN,metadata,en,6,1,quality,FREX
STM-METADATA-EN,metadata,en,6,2,assurance,FREX
STM-METADATA-EN,metadata,en,6,3,china,FREX
STM-METADATA-EN,metadata,en,6,4,institutional,FREX
STM-METADATA-EN,metadata,en,6,5,access,FREX
STM-METADATA-EN,metadata,en,6,6,philosophy,FREX
STM-METADATA-EN,metadata,en,6,7,high-quality,FREX
STM-METADATA-EN,metadata,en,6,8,strategic,FREX
STM-METADATA-EN,metadata,en,6,9,resistance,FREX
STM-METADATA-EN,metadata,en,6,10,sustainable,FREX
