model,corpus,language,topic_id,topic_label,automatic_label,human_label,label_status,validation_status,selection_status,prevalence,document_count,small_topic_warning,top_words,top_ngrams,representative_titles,coherence,diversity,stability,is_outlier
STM-METADATA-EN,metadata,en,1,process · vocational · computing · marketing,process · vocational · computing · marketing,,pending,exploratory,stability_nonconverged,4.5783,22,FALSE,process | vocational | computing | marketing | organization | business | model | control | implementation | community-based | criteria | contribution | according | total | service,,The development of a large Schools Management According the King's Philosophy Model | Business Process Design for Widuri Indah School Management System with the Support of Cloud Computing | Development of the Teamwork Inventory for Community-Based School Management: | The Positive Effects of Infrastructure Management in Fine Art Learning (A Literature Study on School Management) | Educational Leadership Management and its Contribution to School Organization and Success | School management system project report | School Management in the Implementation of Character Values in the Teaching-Learning Process | DigiDrive: Making Driving School Management Effective | Educational Leadership Management Practices: A Perspective to Educational Transformation | Contribution of School Management Based on Local Values of Tri Hita Karana and Leadership Service,,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,2,gestión · inclusion · inclusive · escolar,gestión · inclusion · inclusive · escolar,,pending,exploratory,stability_nonconverged,5.1779,58,FALSE,gestión | inclusion | inclusive | escolar | special | pedagogical | educativa | humanities | disabilities | mineral | institution | action | situated | reform | university,,L'institution scolaire et ses agents à l'épreuve du discours managérial | Classical Learning Analysis Pondok Modern Darussalam Gontor in Improving Superior School Management | Japanese Education Reform Towards Twenty-First Century Education | 14 Translanguaging and written nonstandard language: Heterographic literacy in and outside school | Lectura y pensamiento crítico: horizontes de una gestión educativa decolonial | Who is attending training to comply with the expectations of the school management? A study among Romanian in-service teachers | Las metáforas docentes sobre la gestión educativa en una escuela pública | Gestión educativa y práctica docente: reflexiones sobre la dimensión investigativa. | Villar Palasí: Sobre tecnocracia y dirección escolar | DIRECCIÓN ESCOLAR Y SU FORMACIÓN.,,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,3,governance · democratic · accountability · participatory,governance · democratic · accountability · participatory,,pending,exploratory,stability_nonconverged,5.4512,48,FALSE,governance | democratic | accountability | participatory | decision-making | democracy | participation | transparency | community | participative | administration | public | corporate | parent | politics,,"School governance in Nepal: A perspective of new public management theory | Governance and educational leadership: Studies in education policy and politics | Governance and educational leadership | Community Participation in school Management in Ghana | Community participation in school management from the viewpoint of relational trust: A case from the Akatsi South District, Ghana | Does Democratic School Management Bring Innovations into Hyukshin School in Seoul? | SCHOOL MANAGEMENT MODELS: A COMPARATIVE STUDY BETWEEN TWO SCHOOLS IN JUAZEIRO DO NORTE | A eleição direta de diretor escolar: desafios na gestão democrática no município de Medicilândia - Pará | Empowering parents and promoting school and teacher accountability and responsiveness: Case of Kyrgyzstan | Enhancing transparency in school management to develop collaboration between school and local community: Evidence from Madagascar",,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,4,leadership · instructional · ethical · style,leadership · instructional · ethical · style,,pending,exploratory,stability_nonconverged,10.6428,107,FALSE,leadership | instructional | ethical | style | distributed | chapter | book | leaders | educational | scholars | styles | muslim | transactional | transformative | shared,,"Leading with/in emotion states: The criticality of political subjects and policy debates in educational leadership on emotions | Educational Leadership Standards | Examining alternative school leadership practices and approaches: a decolonising school leadership approach | Roots of Collaborative Inquiry and Generative Dialogue for Educational Leadership | Exploring the leadership knowledge base: evidence, implications, and challenges for educational leadership in Wales | Enacting and Conceptualizing Educational Leadership within the Mediterranean Region | Comparing Chinese and U.S. Educational Leadership Styles: A Review of the Literature | Educational Leadership as Practice | Why Context Matters in Educational Leadership | Decolonizing Educational Leadership: Exploring Alternative Approaches to Leading Schools",,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,5,plan · strategic · cooperation · early,plan · strategic · cooperation · early,,pending,exploratory,stability_nonconverged,4.5229,37,FALSE,plan | strategic | cooperation | early | childhood | functions | planning | entrepreneurship | will | best | developing | guidance | working | always | coordination,,"Challenges to Research Activities among Academic Clinicians at the International Medical School, Management and Science University, Malaysia | School management in early education centers in Ecuador | Development potential of the school management team in modern context | School Management Practices in Addressing Issues and Challenges of Teachers-In-Charge: A Management Primer | Problematika Layanan Bimbingan dan Konseling di Sekolah | Study of Higher School Management for International Level Acceleration in Muhammadiyah University of Malang | Effectiveness of School Management through Strengthening the Managerial Ability of School Principals in the Field of Education Financing | School Management in Creating Effective Schools in the Covid Era at Adyatma Sukodono Lumajang Pharmaceutical Vocational School | PERAN BIMBINGAN DAN KONSELING DALAM PENYELENGGARAAN PENDIDIKAN INKLUSIF | Revisiting Robert Axelrod: Cooperation, School Management and Teacher Unions",,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,6,principals · principal · security · identity,principals · principal · security · identity,,pending,exploratory,stability_nonconverged,4.3341,32,FALSE,principals | principal | security | identity | traits | female | leader | personality | styles | problems | followers | maturity | capacity | style | deputy,,La construcción de liderazgo de directoras escolares: las múltiples identidades desde el género | Educational leadership : a field test of Hersey and Blanchard's situational leadership theory. | A case study on the relationship between narcissistic personality tendency and mobbing behaviors in school management | Educational leadership regarding municipal school support services in Iceland | Being a Woman School Principal in Turkey | A female advantage? Gender and educational leadership practices in urban primary schools in Chile | Principals between exploitation and exploration: Results of a nationwide study on ambidexterity of school leaders | Principal Turnover: When is it a Problem and for Whom? Mapping Out Variations Within the Swedish Case | Principals' perceptions of school autonomy and educational leadership | Simulations for the Learning of Decision Making in Educational Leadership in the Context of the Chilean School System,,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,7,quality · philosophy · assurance · improving,quality · philosophy · assurance · improving,,pending,exploratory,stability_nonconverged,3.4903,30,FALSE,quality | philosophy | assurance | improving | productivity | standards | industry | excellence | operations | partnership | smc | central | higher | outcome | standard,,EVALUATION OF SCHOOL MANAGEMENT COMMITTEE (SMC) ON QUALITY OF EDUCATION: A CASE OF SINDH | Pre and post assessment of school management committee: A case study of Sindh | Educational inequality in Indonesia: are intergovernmental fiscal transfers effective in reducing the gap? | Personnel Management and School Productivity: Evidence from India | Personnel Management and School Productivity: Evidence from India | Air Quality Assessment of a School in an Industrialized Area of Southern Italy | The Contribution School Management Based on Educational Quality Report to Increase the Quality of Basic Education Banten Province | Peran Kepemimpinan Kepala Sekolah Terhadap Mutu Pendidikan | Educational Leadership and Quality Assurance in Schools | Center of excellence assistance model: Is it effective to improve vocational school management in Central Java?,,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,8,fostering · professional · collaboration · collaborative,fostering · professional · collaboration · collaborative,,pending,exploratory,stability_nonconverged,7.2331,80,FALSE,fostering | professional | collaboration | collaborative | enhancing | crucial | highlights | sustainable | development | teacher | continuous | insights | outcomes | initiatives | supportive,,"Leading Professional Learning | Teachers' perceptions in creating an invitational learning environment in culturally diverse Foundation Phase classrooms | School management in the professional development of teachers: interactions with a pedagogical university | A shared vision for a school: developing a learning community | Importance of Upskilling and Reskilling in Educational Leadership and Management | The role of school culture in teacher professional development for peace education: the case of Sukma Bangsa School Pidie in post-conflict Aceh, Indonesia | Understanding the teachers' perspectives on the role of teacher autonomy in English classrooms in Chinese secondary schools | Enhancing School Management Through School Heads' Conflict Resolution and Team Building Expertise. | Creating and leading a learning environment in diverse Foundation Phase classrooms in a South African school | Teacher leaders' brokerage practice in China: Impact on teacher learning in a school-university partnership",,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,9,covid · pandemic · coronavirus · crisis,covid · pandemic · coronavirus · crisis,,pending,exploratory,stability_nonconverged,3.605,42,FALSE,covid | pandemic | coronavirus | crisis | disease | depression | face--face | virtual | outbreak | anxiety | work-life | mental | crises | online | severe,,Digital transformation in school management: the legacy that strategic actions in the 2020s leave for future pandemics | SCHOOL MANAGEMENT DURING THE COVID-19 PANDEMIC - BETWEEN THE IDEA OF WORK-LIFE BALANCE AND REALITY | Providing emergency remote teaching: What are teachers' needs and what could have helped them to deal with the impact of the COVID-19 pandemic? | Problems Encountered by School Administrators in School Management in the COVID-19 Pandemic and Strategies for Coping with These Problems | Supportive supervisor to curtail turnover intentions: do employee engagement and work-life balance play any role? | Three Principles to Support Teacher Effectiveness During COVID-19 | Supporting a statewide policy consideration: Virtual advancing educational leadership training during COVID-19 | Education in Emergency: Lessons Learned About School Management Practices and Digital Technologies | Parent's Perception on Face-to-Face Learning | School Principals' Experiences and Learning from the Covid-19 Pandemic in Norway,,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,10,climate · validity · modeling · equation,climate · validity · modeling · equation,,pending,exploratory,stability_nonconverged,3.8798,39,FALSE,climate | validity | modeling | equation | factor | achievement | confirmatory | structural | resilience | indicators | student | test | scale | career | young,,"The Structural Model of Indicators of Educational Leadership for Primary School Principals | Social-Emotional Educational Leadership: A Study of Scale Adaptation | Children's safe routes to school: Real and perceived risks, and evidence of an incapacity-incapability space | Measuring educational leadership in Singapore: re-examining the psychometric properties of the Multifactor Leadership Questionnaire | Effect of School Management Improvements on the Student's Social and Emotional Skills: Experimental Evidence from Brazil | Decentralisation in School Management and Student Achievement: Evidence from India | Elos Program's Efficacy Evaluation in School Management of Child Behavior: A Non-Randomized Controlled Trial | Exploring young people's perceptions about secondary school: Critical issues and improvements to prevent dropout risk in disadvantaged contexts | Understanding the Relationship Between Educational Leadership Preparation Program Features and Graduates' Career Intentions | Does educational leadership enhance instructional quality and student achievement? The case of Austrian primary school leaders",,,0.27147058409386904,FALSE
STM-METADATA-EN,metadata,en,11,africa · south · rural · learners,africa · south · rural · learners,,pending,exploratory,stability_nonconverged,3.634,38,FALSE,africa | south | rural | learners | municipality | african | waste | learner | accounting | senior | buildings | food | maintenance | west | poor,,"Exploring Perceived Human Resources Factors Influencing the Performance of Grade 12 Accounting Learners in North West Secondary Schools in South Africa | WASTE DISPOSAL MANAGEMENT PRACTICES IN SELECTED SENIOR HIGH SCHOOLS WITHIN THE WA MUNICIPALITY OF GHANA | CONSTRAINTS FACTORS TO MAINTENANCE OF GOVERNMENT SENIOR HIGH SCHOOL BUILDINGS IN WA MUNICIPAL | STAKEHOLDERS RESPONSIBILITIES IN PUBLIC SHS BUILDINGS MAINTENANCE PRACTICES IN THE WA MUNICIPALITY | EXAMINATION OF THE CURRENT STATE OF GOVERNMENT BUILDINGS IN SENIOR HIGH SCHOOLS IN WA MUNICIPAL | IMPLICATIONS OF POOR WASTE DISPOSAL MANAGEMENT PRACTICES ON SENIOR HIGH SCHOOLS WITHIN THE WA MUNICIPALITY OF GHANA | Establishing and maintaining school-community partnerships: a challenge for school management teams | Enhancing School Management Teams in Promoting Sustainable, Equitable Resource Allocation in Rural Schools | Challenges and Strategies of Educational Leadership to Sustain the International Baccalaureate Diploma Programme (IBDP) in a Malaysian Premier Public School | Challenges Faced by School Management Teams in Managing Rural Schools in Three Selected Schools in South Africa",,,0.27147058409386904,FALSE
