model,corpus,language,topic_id,year,documents_in_year,dominant_topic_documents,effective_topic_mass,mean_prevalence,median_prevalence,expected_prevalence,topic_presence_above_threshold,lower_95,upper_95,uncertainty_method,year_complete,metadata_coverage,fulltext_coverage
STM-METADATA-ES,metadata,es,1,2020,90,4,3.2685160908984767,0.036316845454427524,6.631595201808439e-4,0.03960616508963633,4,0.012970403720388685,0.06572043569726434,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-ES,metadata,es,1,2021,110,5,3.7817765093626914,0.03437978644875174,7.775679883617224e-4,0.0347904591456341,7,0.020005458237928944,0.050541664920950205,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-ES,metadata,es,1,2022,131,5,5.013286398854641,0.038269361823317874,6.376444829048469e-4,0.030640059593488318,8,0.015289991221280132,0.04616792187196432,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-ES,metadata,es,1,2023,184,1,1.6782974873627081,0.009121181996536457,5.710062107767342e-4,0.027822716917408577,3,0.013809107858922198,0.042548451300280475,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-ES,metadata,es,1,2024,251,6,7.8117402716426065,0.031122471201763372,5.273939451203819e-4,0.02686566889000254,13,0.014807831331986461,0.0400017908508803,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-ES,metadata,es,1,2025,292,4,4.918063553868548,0.016842683403659412,5.110187507409786e-4,0.027760215828685302,8,0.013782619741718856,0.04172691841496469,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-ES,metadata,es,1,2026,137,4,3.4880199336019793,0.025459999515342915,8.131263270557716e-4,0.030096223866077524,5,0.004032927748842267,0.0558984863507669,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-ES,metadata,es,2,2020,90,22,16.857055579253604,0.1873006175472623,0.07971197193235728,0.15336968014273442,41,0.1199508057679362,0.19054941927642996,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-ES,metadata,es,2,2021,110,15,16.894842292220506,0.15358947538382278,0.06510662306733207,0.14092083275100803,46,0.12032146531569157,0.1617307227780193,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-ES,metadata,es,2,2022,131,17,18.056847947375523,0.13783853394943146,0.043179973123813734,0.12689858375612412,50,0.10733344044529433,0.1478704865844859,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-ES,metadata,es,2,2023,184,23,23.004767552963326,0.12502591061393112,0.03121111682927358,0.10972373712063807,58,0.09192958949998545,0.12879430551585153,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-ES,metadata,es,2,2024,251,27,26.93102483349045,0.10729491965534045,0.026664417107800282,0.08711933996834435,76,0.07164848707874558,0.10186217952941892,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-ES,metadata,es,2,2025,292,10,13.990142784881364,0.047911447893429326,0.010838346006868324,0.05394970789594163,42,0.03558490299844215,0.07170609394527667,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-ES,metadata,es,2,2026,137,3,2.2332026695359124,0.016300749412670894,0.0025994568912065487,0.00811134019307644,5,-0.01873766865990756,0.03551875801422964,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-ES,metadata,es,3,2020,90,1,1.2309395831885872,0.013677106479873191,3.8084487790912536e-4,0.023930977602525973,3,-0.0017968842413585416,0.051207752948843256,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-ES,metadata,es,3,2021,110,6,4.7203525788503935,0.042912296171367215,6.476443544006553e-4,0.03728958341836987,7,0.022581809247212908,0.052958817694753725,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-ES,metadata,es,3,2022,131,5,4.440967308652089,0.0339005138065045,8.446914656727427e-4,0.04525520451649257,10,0.030375448387519106,0.060551974442913215,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-ES,metadata,es,3,2023,184,7,7.381177373552442,0.04011509442148067,5.701986551767278e-4,0.04241508877637168,10,0.028538127581801565,0.05709985943612318,estimateEffect_global_simulation,TRUE,1,0.41349
