document_id,publication_document_id,model,corpus,language,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,title,doi,source,corpus_unit,topic_entropy
doi:10.46498/reduipb.v25i1.1462,doi:10.46498/reduipb.v25i1.1462,STM-METADATA-ES,metadata,es,10,0.7446683171065969,4,0.18909611549539107,0.5555722016112058,FALSE,FALSE,2021,Gestión escolar y liderazgo del directivo: Aporte para la calidad educativa,10.46498/reduipb.v25i1.1462,OpenAlex,metadata,0.8469541005410763
doi:10.37811/cl_rcm.v5i5.841,doi:10.37811/cl_rcm.v5i5.841,STM-METADATA-ES,metadata,es,10,0.6661117463952736,8,0.16427776950188167,0.5018339768933919,FALSE,FALSE,2021,El liderazgo directivo en la gestión escolar. Comparación de casos,10.37811/cl_rcm.v5i5.841,OpenAlex,metadata,1.1314500307975883
doi:10.37811/cl_rcm.v6i4.2809,doi:10.37811/cl_rcm.v6i4.2809,STM-METADATA-ES,metadata,es,10,0.35781714089240174,8,0.3407659743015023,0.017051166590899447,FALSE,TRUE,2022,La gestión escolar: una revisión de las investigaciones,10.37811/cl_rcm.v6i4.2809,OpenAlex,metadata,1.5758018735611417
doi:10.15517/revedu.v45i1.40537,doi:10.15517/revedu.v45i1.40537,STM-METADATA-ES,metadata,es,4,0.5998671543775671,10,0.16045032124473468,0.4394168331328324,FALSE,FALSE,2021,"Análisis del modelo de gestión escolar en instituciones educativas públicas multigrado de San Ignacio, Perú",10.15517/revedu.v45i1.40537,OpenAlex,metadata,1.2872167143331708
doi:10.26490/uncp.alboradaciencia.2021.1.975,doi:10.26490/uncp.alboradaciencia.2021.1.975,STM-METADATA-ES,metadata,es,10,0.932071806128524,4,0.01571613810954581,0.9163556680189782,FALSE,FALSE,2021,Planificación estratégica situacional en la gestión escolar de las instituciones educativas,10.26490/uncp.alboradaciencia.2021.1.975,OpenAlex,metadata,0.38778871070137666
doi:10.33386/593dp.2024.1-1.2266,doi:10.33386/593dp.2024.1-1.2266,STM-METADATA-ES,metadata,es,8,0.2716054704369024,3,0.19064230192904258,0.08096316850785984,FALSE,TRUE,2024,Gestión escolar y calidad educativa,10.33386/593dp.2024.1-1.2266,OpenAlex,metadata,1.9824651172751282
doi:10.37811/cl_rcm.v6i6.4102,doi:10.37811/cl_rcm.v6i6.4102,STM-METADATA-ES,metadata,es,10,0.27945775704405895,3,0.25281406940659457,0.026643687637464386,FALSE,TRUE,2022,La calidad educativa y la gestión escolar,10.37811/cl_rcm.v6i6.4102,OpenAlex,metadata,1.8180837921233828
doi:10.33996/revistahorizontes.v7i30.655,doi:10.33996/revistahorizontes.v7i30.655,STM-METADATA-ES,metadata,es,8,0.7098306971620739,10,0.23649779453545033,0.4733329026266236,FALSE,FALSE,2023,Gestión escolar de los directivos en instituciones educativas: Revisión sistemática,10.33996/revistahorizontes.v7i30.655,OpenAlex,metadata,0.8511944587514932
doi:10.52080/rvgluz.27.97.5,doi:10.52080/rvgluz.27.97.5,STM-METADATA-ES,metadata,es,4,0.4005380633737658,10,0.15441559803178354,0.24612246534198226,FALSE,FALSE,2022,Gestión escolar durante la pandemia: relación entre el acompañamiento pedagógico y el desempeño docente,10.52080/rvgluz.27.97.5,OpenAlex,metadata,1.7527245829175278
doi:10.37811/cl_rcm.v8i6.14659,doi:10.37811/cl_rcm.v8i6.14659,STM-METADATA-ES,metadata,es,8,0.6978138666272015,7,0.20703759573212885,0.4907762708950726,FALSE,FALSE,2024,La gestión escolar en zonas rurales del Ecuador: Avances y desafíos,10.37811/cl_rcm.v8i6.14659,OpenAlex,metadata,0.983865232274763
doi:10.37843/rted.v16i2.389,doi:10.37843/rted.v16i2.389,STM-METADATA-ES,metadata,es,10,0.46882900044468556,8,0.27772481369308855,0.19110418675159702,FALSE,FALSE,2023,Gestión Escolar en las Instituciones del Nivel Inicial,10.37843/rted.v16i2.389,OpenAlex,metadata,1.3874645951034992
doi:10.37811/cl_rcm.v6i3.2300,doi:10.37811/cl_rcm.v6i3.2300,STM-METADATA-ES,metadata,es,3,0.5176717370269972,11,0.1901507735666278,0.3275209634603694,FALSE,FALSE,2022,Retos de la gestión escolar en la educación a distancia 2021,10.37811/cl_rcm.v6i3.2300,OpenAlex,metadata,1.4002791775012837
doi:10.37811/cl_rcm.v8i2.10725,doi:10.37811/cl_rcm.v8i2.10725,STM-METADATA-ES,metadata,es,9,0.46598176853424833,4,0.2706950117435005,0.1952867567907478,FALSE,FALSE,2024,Gestión Escolar para la mejora de la calidad educativa en la educación básica ecuatoriana,10.37811/cl_rcm.v8i2.10725,OpenAlex,metadata,1.407384447780611
doi:10.37811/cl_rcm.v8i3.11546,doi:10.37811/cl_rcm.v8i3.11546,STM-METADATA-ES,metadata,es,4,0.3930926351785598,10,0.3408651764309684,0.05222745874759138,FALSE,TRUE,2024,Incidencia de la Gestión Escolar en el Rendimiento Académico,10.37811/cl_rcm.v8i3.11546,OpenAlex,metadata,1.2303666810265117
doi:10.37811/cl_rcm.v6i6.3677,doi:10.37811/cl_rcm.v6i6.3677,STM-METADATA-ES,metadata,es,8,0.4872386150407661,10,0.4263602249762301,0.06087839006453599,FALSE,TRUE,2022,La gestión escolar basada en el pensamiento complejo,10.37811/cl_rcm.v6i6.3677,OpenAlex,metadata,1.0881409548864753
doi:10.47606/acven/ph0224,doi:10.47606/acven/ph0224,STM-METADATA-ES,metadata,es,10,0.7711187673578312,6,0.1394070634448398,0.6317117039129915,FALSE,FALSE,2024,Liderazgo del directivo en la gestión escolar,10.47606/acven/ph0224,OpenAlex,metadata,0.848164535295219
doi:10.46498/reduipb.v26i2.1643,doi:10.46498/reduipb.v26i2.1643,STM-METADATA-ES,metadata,es,10,0.9226402868996686,4,0.030691249617082146,0.8919490372825865,FALSE,FALSE,2022,Clima organizacional y el desarrollo de la gestión escolar del preescolar de la Universidad Metropolitana,10.46498/reduipb.v26i2.1643,OpenAlex,metadata,0.41860002374683986
