model,corpus,language,topic_id,rank,term,metric
STM-METADATA-ES,metadata,es,1,1,students,FREX
STM-METADATA-ES,metadata,es,1,2,knowledge,FREX
STM-METADATA-ES,metadata,es,1,3,gestão,FREX
STM-METADATA-ES,metadata,es,1,4,participation,FREX
STM-METADATA-ES,metadata,es,1,5,management,FREX
STM-METADATA-ES,metadata,es,1,6,communication,FREX
STM-METADATA-ES,metadata,es,1,7,organizational,FREX
STM-METADATA-ES,metadata,es,1,8,team,FREX
STM-METADATA-ES,metadata,es,1,9,institutions,FREX
STM-METADATA-ES,metadata,es,1,10,institutional,FREX
STM-METADATA-ES,metadata,es,1,11,challenges,FREX
STM-METADATA-ES,metadata,es,1,12,reading,FREX
STM-METADATA-ES,metadata,es,1,13,intelligence,FREX
STM-METADATA-ES,metadata,es,1,14,democratic,FREX
STM-METADATA-ES,metadata,es,1,15,estudo,FREX
STM-METADATA-ES,metadata,es,1,16,teaching,FREX
STM-METADATA-ES,metadata,es,1,17,private,FREX
STM-METADATA-ES,metadata,es,1,18,results,FREX
STM-METADATA-ES,metadata,es,1,19,sexual,FREX
STM-METADATA-ES,metadata,es,1,20,ensino,FREX
STM-METADATA-ES,metadata,es,2,1,policies,FREX
STM-METADATA-ES,metadata,es,2,2,buenos,FREX
STM-METADATA-ES,metadata,es,2,3,aires,FREX
STM-METADATA-ES,metadata,es,2,4,discursos,FREX
STM-METADATA-ES,metadata,es,2,5,argentina,FREX
STM-METADATA-ES,metadata,es,2,6,mendoza,FREX
STM-METADATA-ES,metadata,es,2,7,córdoba,FREX
STM-METADATA-ES,metadata,es,2,8,practices,FREX
STM-METADATA-ES,metadata,es,2,9,secundario,FREX
STM-METADATA-ES,metadata,es,2,10,secundarias,FREX
STM-METADATA-ES,metadata,es,2,11,leadership,FREX
STM-METADATA-ES,metadata,es,2,12,pandemic,FREX
STM-METADATA-ES,metadata,es,2,13,discourses,FREX
STM-METADATA-ES,metadata,es,2,14,national,FREX
STM-METADATA-ES,metadata,es,2,15,subjects,FREX
STM-METADATA-ES,metadata,es,2,16,provincia,FREX
STM-METADATA-ES,metadata,es,2,17,within,FREX
STM-METADATA-ES,metadata,es,2,18,secondary,FREX
STM-METADATA-ES,metadata,es,2,19,province,FREX
STM-METADATA-ES,metadata,es,2,20,period,FREX
STM-METADATA-ES,metadata,es,3,1,autonomía,FREX
STM-METADATA-ES,metadata,es,3,2,ley,FREX
STM-METADATA-ES,metadata,es,3,3,capítulo,FREX
STM-METADATA-ES,metadata,es,3,4,reforma,FREX
STM-METADATA-ES,metadata,es,3,5,privatización,FREX
STM-METADATA-ES,metadata,es,3,6,españa,FREX
STM-METADATA-ES,metadata,es,3,7,cuentas,FREX
STM-METADATA-ES,metadata,es,3,8,internacional,FREX
STM-METADATA-ES,metadata,es,3,9,posteriormente,FREX
STM-METADATA-ES,metadata,es,3,10,dirección,FREX
STM-METADATA-ES,metadata,es,3,11,rendición,FREX
STM-METADATA-ES,metadata,es,3,12,alumnado,FREX
STM-METADATA-ES,metadata,es,3,13,internacionales,FREX
STM-METADATA-ES,metadata,es,3,14,reformas,FREX
STM-METADATA-ES,metadata,es,3,15,hasta,FREX
STM-METADATA-ES,metadata,es,3,16,países,FREX
STM-METADATA-ES,metadata,es,3,17,profesorado,FREX
STM-METADATA-ES,metadata,es,3,18,gobierno,FREX
STM-METADATA-ES,metadata,es,3,19,profesionalización,FREX
STM-METADATA-ES,metadata,es,3,20,pone,FREX
STM-METADATA-ES,metadata,es,4,1,rho,FREX
STM-METADATA-ES,metadata,es,4,2,coeficiente,FREX
STM-METADATA-ES,metadata,es,4,3,cronbach,FREX
STM-METADATA-ES,metadata,es,4,4,correlacional,FREX
STM-METADATA-ES,metadata,es,4,5,ugel,FREX
STM-METADATA-ES,metadata,es,4,6,correlación,FREX
STM-METADATA-ES,metadata,es,4,7,confiabilidad,FREX
STM-METADATA-ES,metadata,es,4,8,spearman,FREX
STM-METADATA-ES,metadata,es,4,9,alfa,FREX
STM-METADATA-ES,metadata,es,4,10,experimental,FREX
STM-METADATA-ES,metadata,es,4,11,significativa,FREX
STM-METADATA-ES,metadata,es,4,12,lima,FREX
STM-METADATA-ES,metadata,es,4,13,variable,FREX
STM-METADATA-ES,metadata,es,4,14,determinar,FREX
STM-METADATA-ES,metadata,es,4,15,cuestionarios,FREX
STM-METADATA-ES,metadata,es,4,16,positiva,FREX
STM-METADATA-ES,metadata,es,4,17,prueba,FREX
STM-METADATA-ES,metadata,es,4,18,hipótesis,FREX
STM-METADATA-ES,metadata,es,4,19,valor,FREX
STM-METADATA-ES,metadata,es,4,20,significancia,FREX
STM-METADATA-ES,metadata,es,5,1,mujeres,FREX
STM-METADATA-ES,metadata,es,5,2,género,FREX
