"model","corpus","language","topic_id","topic_label","automatic_label","human_label","label_status","validation_status","selection_status","prevalence","document_count","small_topic_warning","top_words","top_ngrams","representative_titles","coherence","diversity","stability","is_outlier"
"STM-METADATA-ES","metadata","es","1","students · gestão · knowledge · management","students · gestão · knowledge · management","","pending","exploratory","stability_nonconverged","2.6028","33","FALSE","students | gestão | knowledge | management | results | sexual | participation | strategies | teachers | teaching | based | challenges | technologies | intelligence | can","","Representaciones docentes sobre las trayectorias estudiantiles en el nivel secundario durante la pandemia: ""desenganche"", vínculo pedagógico y modos de evaluación | PLATAFORMIZAÇÃO DA GESTÃO PÚBLICA ESCOLAR | Biopolítica, imperativos de regulación y gestión escolar: Un análisis de las prácticas de directores/as del nivel secundario en el partido de San Martín a partir de la irrupción del covid 19 | Acceso y uso de las Tecnologías de la Información y Comunicación (TIC) en la Escuela Secundaria en diferentes contextos socioeconómicos en Argentina | Estrés en profesores argentinos de educación secundaria durante la pandemia por Covid-19 | Biopolítica, imperativos de regulación y gestión escolar. Un análisis de las prácticas de directores/as de escuelas secundarias en el partido de San Martín a partir de la irrupción del COVID 19 | El trabajo de dirigir: apuntes conceptuales sobre la dirección escolar en Argentina, 2001- 2020 | GESTÃO DEMOCRÁTICA: uma reflexão a partir da percepção dos gestores escolares | Trayectorias Escolares : Un Análisis Desde La Gestión Curricular y el rol del equipo directivo de la EPET N°9 en Pospandemia | Caracterización del perfeccionismo disfuncional en la niñez tardía","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","2","aires · policies · buenos · córdoba","aires · policies · buenos · córdoba","","pending","exploratory","stability_nonconverged","2.8145","32","FALSE","aires | policies | buenos | córdoba | argentina | mendoza | schools | educational | organization | provincia | national | province | city | subjects | practices","","Computables: sujetos y prácticas emergentes en tiempos de pandemia en Mendoza | Filantropía empresarial, Estado y formación de directivos de escuelas secundarias en Argentina: Estudio de caso sobre la Fundación Córdoba Mejora | Régimen académico y obligatoriedad de la educación secundaria en Córdoba y Santa Cruz (Argentina). Sistemas de acción concretos en escuelas emplazadas en barrios populares. | La construcción de identidades político-profesionales en la Dirección General de Cultura y Educación de la Provincia de Buenos Aires: Perfiles, trayectorias y discursos de la gestión educativa de la Alianza Cambiemos | Educación y finanzas, el cobro de matrículas en escuelas públicas (Argentina, fines del siglo XIX) | La dirección escolar en la normativa vigente de la Provincia de Córdoba | Distribuir la escuela, organizar el territorio. Notas sobre la escolarización en la ciudad de Buenos Aires (Argentina, 1899-1915) | Políticas basadas en ficción: las buenas prácticas en la dirección de escuelas secundarias | La gestión educativa de la escuela secundaria: aportes desde la perspectiva de directivos de la Provincia de Buenos Aires, entre 2010 y 2020 | Pedagogía y discurso empresarial: Análisis socio-político de la formación de directoras y directores de escuelas","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","3","privatización · reforma · reformas · autonomía","privatización · reforma · reformas · autonomía","","pending","exploratory","stability_nonconverged","5.463","74","FALSE","privatización | reforma | reformas | autonomía | gobierno | países | cuentas | han | capítulo | rendición | producción | últimas | dirección | normativa | españa","","La dirección escolar colonizada: el mundo empresarial en la escuela | La privatización educativa como política encubierta. Un análisis del caso de Honduras | Procesos de privatización en la educación | Experiencias vividas en la gestión educativa de las políticas de inclusión digital | Conceptualizaciones contemporáneas sobre la dirección escolar | Estado del conocimiento sobre resignificación de políticas en materia de autonomía de gestión escolar en el marco de los Consejos Técnicos Escolares | Disputas por el derecho a la educación y la educación pública en América Latina: políticas, instituciones y sujetos en la gubernamentalidad neoliberal | Políticas implementadas en escuelas rurales: Análisis bibliométrico internacional (2001-2020) | La evolución de una revista en papel a digital: de Organización y Gestión Educativa (OGE) a Dirección y Liderazgo Educativo (DYLE) del Fórum Europeo de administradores de la Educación | Los ocho marcos normativos de la legislación educativa española (1980-2013): análisis de la dirección escolar","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","4","correlación · desempeño · significativa · positiva","correlación · desempeño · significativa · positiva","","pending","exploratory","stability_nonconverged","11.3406","135","FALSE","correlación | desempeño | significativa | positiva | experimental | correlacional | rho | institución | determinar | moderada | ods | cuantitativo | sostenible | coeficiente | dimensión","","Liderazgo docente y la toma de decisión en la gestión escolar de una institución educativa Huacrachuco 2025 | Gestión educativa y evaluación del desempeño docente en la Institución Educativa San Francisco de Orcotuna - Concepción, 2024 | Gestión escolar en la calidad educativa de una institución educativa del distrito de Chincha Baja en la ciudad de Ica | Gestión educativa y desempeño de los docentes en una institución educativa privada, Los Olivos 2025 | Gestión escolar para fortalecer la cultura ambiental de una institución educativa de secundaria, Trujillo-2023 | Gestión escolar y la práctica pedagógica en docentes de una institución educativa del distrito de Pachacamac, 2025 | Gestión educativa y desempeño docente en una institución educativa de Trujillo 2023 | Gestión educativa y el desempeño docente en una institución educativa pública | Gestión educativa y desempeño docente en instituciones educativas rural bilingüe del distrito de Salas - 2024 | Gestión escolar y liderazgo transformacional en docentes de instituciones educativas de Chimbote 2024","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","5","organizacional · clima · interpersonales · burnout","organizacional · clima · interpersonales · burnout","","pending","exploratory","stability_nonconverged","3.2524","33","FALSE","organizacional | clima | interpersonales | burnout | relaciones | organizational | síndrome | compromiso | ética | discursos | altos | humanas | disease | bilingüe | primarias","","Política, género y formación: las críticas al normalismo en su período de expansión (1884-1920) | ¿Volverse el error de la matrix? | La ética organizacional en las escuelas de Catalunya. Modelo e instrumento para su análisis | L'ètica organitzacional a l'escola des de la direcció escolar | La dirección escolar: sobre directores y gestión educativa, sus conceptualizaciones y regulaciones | La dirección escolar | Become the error in the matrix?: A critical study of leadership discourses for school management in managerial times | El desarrollo ético organizacional en la escuela y la dirección escolar | Prevalencia del síndrome de burnout en la dirección de instituciones educativas públicas en Barrios Altos - Lima | LA DIRECCIÓN ESCOLAR Y LA ÉTICA ORGANIZACIONAL EN LAS ESCUELAS DE CATALUNYA","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","6","crítica · innovadoras · enfoques · fortalecimiento","crítica · innovadoras · enfoques · fortalecimiento","","pending","exploratory","stability_nonconverged","8.4499","123","FALSE","crítica | innovadoras | enfoques | fortalecimiento | evidencian | distribuido | modelos | culturales | innovación | gobernanza | eje | archaeology | ethnography | transformación | context","","Dimensiones comparativas de la gestión administrativa y la gestión educativa | Fortalecimiento de la relación familia-escuela en el contexto rural: un proyecto de innovación pedagógica y didáctica en el CER Morrón, Briceño, Antioquia, Colombia en el 2024 | Fortalecimiento de la relación familia-escuela en el contexto rural : un proyecto de innovación pedagógica y didáctica en el CER Morrón, Briceño, Antioquia, Colombia en el año 2024 | Liderazgo pedagógico y su impacto en la innovación educativa en Colombia | Revisión sistemática: liderazgo educativo un eje transformador para la excelencia académica | Influencia del liderazgo ético en la toma de decisiones para la gestión educativa | Revisión Sistemática Sobre Cómo Las Habilidades Lingüísticas Se Vinculan Con La Gestión Escolar. | El Liderazgo de las Habilidades Blandas en la Gestión Directiva: Una Revisión Crítica para Fortalecer la Permanencia Educativa | Modelos integrales de gestión escolar en el desarrollo de la comunicación oral y escrita | Mediaciones culturales en la gestión educativa rural contemporánea","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","7","artificial · inteligencia · digital · digitales","artificial · inteligencia · digital · digitales","","pending","exploratory","stability_nonconverged","4.4277","50","FALSE","artificial | inteligencia | digital | digitales | tecnología | uso | herramientas | plataformas | estrés | tecnológicas | capacitación | personalización | tecnológica | adopción | tecnologías","","Prólogo | Evaluación estadística con SPSS y Python del impacto integral generado por la asistencia de inteligencia artificial en docentes ecuatorianos | Aprendizaje Hibrido 3.0, transformando la Educación con Inteligencia Artificial y Realidad Virtual | La Inteligencia Artificial al servicio de la gestión y la implementación en la educación | Análisis de datos para la optimización eficiente de horarios y Aprendizaje Automático | Aplicación de la gestión educativa con inteligencia artificial en la enseñanza en educación superior y las ciencias sociales | Taller de capacitación docente para el uso de recursos didácticos digitales en la plataforma Magic School | Los Retos de la Inteligencia Artificial (IA) en la Educación de México | Repensar la educación en la era de la IA: desafíos y oportunidades para la enseñanza y el aprendizaje | Análisis de plataformas de gestión educativa. Visiones de los agentes educativos","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","8","inclusivas · monitoreo · inclusiva · discapacidad","inclusivas · monitoreo · inclusiva · discapacidad","","pending","exploratory","stability_nonconverged","6.5713","91","FALSE","inclusivas | monitoreo | inclusiva | discapacidad | atención | inclusión | acompañamiento | especiales | inglés | jornada | equidad | barreras | pedagógicas | brechas | estudiantes","","Factores que favorecen o limitan la aplicación transversal del enfoque ambiental en el marco de la Política Nacional de Educación Ambiental: Estudio de caso: I.E. 88104 María Parado de Bellido en el departamento de Ancash entre los años 2021 y 2023, | Acompañamiento pedagógico para fortalecer el logro de aprendizajes del área de ciencias sociales en estudiantes con necesidades educativas especiales | Incorporación de centros de trabajo en NT2, para mejorar el proceso de transición del ciclo inicial a primer nivel básico: un aporte desde la gestión escolar | Reinserción y continuidad educativa: Retención de estudiantes de Secundaria en riesgo de interrumpir los estudios | Comunidad de aprendizaje profesional para optimizar los aprendizajes en el área de ciencia y tecnología en una institución educativa de Áncash | Educación rural en tiempos de crisis: Desafíos y estrategias durante el cierre escolar por Covid-19 en Colombia | Gestión escolar y aprendizajes significativos en estudiantes de cinco años de educación inicial del distrito de Callería-Ucayali, 2021 | Monitoreo y acompañamiento pedagógico para mejorar la enseñanza de la lectoescritura en el primer grado de la región Huancavelica | Brechas de aprendizaje en Paraguay: un análisis aplicado de determinantes y desigualdades con datos del SNEPE 2018 | Aulas inclusivas para garantizar el acceso, la permanencia y el aprendizaje del alumnado en situación de desplazamiento forzado interno en Colombia","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","9","padres · familia · satisfacción · rendimiento","padres · familia · satisfacción · rendimiento","","pending","exploratory","stability_nonconverged","6.517","75","FALSE","padres | familia | satisfacción | rendimiento | salud | participación | mixto | mental | ecuador | encuestas | likert | revelaron | unidad | escala | familiar","","Funcionamiento familiar y bienestar psicológico en la convivencia escolar en estudiantes de secundaria | Análisis de los sistemas de aseguramiento del confort higrotérmico en infraestructuras educativas. Caso de estudio: Unidad Educativa Abdón Calderón | THE EPHEMERAL SUCCESS PARADOX: MANAGEMENT VS. PSEUDOMANAGEMENT IN VENEZUELAN ORGANIZATIONS | EL CICLO ABIERTO DE LA GESTIÓN ESCOLAR INCLUSIVA: DIAGNÓSTICO EN INSTITUCIONES EDUCATIVAS PÚBLICAS URBANAS DE COLOMBIA | Desempeño académico y suspensiones temporales: estudio longitudinal en la Facultad de Medicina (2015-2022) | Gestión Educativa para Optimizar el Clima Laboral en la Escuela de Educación Básica Mahatma Gandhi | Participación de los padres de familia en la gestión escolar. Acción de mejora en el rendimiento académico de sus representados | Acompañamiento Socioemocional como Apoyo a la Gestión Escolar Frente a Entornos de Violencia | Gestión de conflictos escolares para favorecer el desempeño académico y la convivencia entre estudiantes de noveno grado | Explorando el acompañamiento familiar en educación: Más allá de la participación tradicional","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","10","ugel · lima · compromisos · confiabilidad","ugel · lima · compromisos · confiabilidad","","pending","exploratory","stability_nonconverged","10.7504","135","FALSE","ugel | lima | compromisos | confiabilidad | cronbach | red | alfa | hipótesis | prueba | variables | directivas | variable | regular | existe | cuestionario","","Liderazgo directivo y gestión administrativa de las instituciones educativas públicas del nivel inicial UGEL 01 de Lima | LIDERAZGO DIRECTIVO Y GESTIÓN ADMINISTRATIVA DE LAS INSTITUCIONES EDUCATIVAS PÚBLICAS DEL NIVEL INICIAL UGEL 01 DE LIMA | Liderazgo distribuido y gestión de conflictos en los docentes del nivel secundario: Red 4-Ugel 01, 2017 | Competencias directivas en la gestión escolar de la Red 20, Los Olivos, 2023 | Planeamiento estratégico y gestión escolar en las instituciones educativas de educación secundaria de San Vicente - Cañete, 2024 | Gestión escolar y habilidades digitales post Covid-19 en docentes de secundaria del distrito de El Tambo - 2023 | Habilidades directivas en la gestión escolar desde la percepción de docentes de una RED educativa de San Antonio- Huarochirí, 2023 | Acompañamiento directivo en la gestión escolar a directores de Instituciones Educativas - Lima Provincias, 2023 | Trabajo colegiado y gestión escolar en instituciones educativas públicas de Lima Metropolitana, 2023 | Gestión educativa y organización de la gestión de riesgo en las ie de la rei 03. Puente piedra. Lima.","","","0.2646181959465581","FALSE"
"STM-METADATA-ES","metadata","es","11","ciudadana · jóvenes · facultad · paz","ciudadana · jóvenes · facultad · paz","","pending","exploratory","stability_nonconverged","5.8544","65","FALSE","ciudadana | jóvenes | facultad | paz | adultos | social | libro | locales | derechos | cultural | artística | ley | actores | reconocimiento | mirada","","A política de educação escolar como programa de ressocialização: um olhar sobre o anexo feminino do Presídio Regional de Bagé/RS | Sinergia: técnica para abordar las representaciones sociales sobre gestión escolar en una comunidad educativa frente a la nueva ruralidad | Hacia una gestión educativa integral desde la teoría de la complejidad: Jornadas educativas regulares y extendidas | Educomunicación e interculturalidad a partir de la gestión educativa con la radio | La transmodernidad en voz y vestido de mujer | La Educación en tiempos de incertidumbre: reflexiones desde el Currículo y la Gestión Educativa | La formación de habilidades investigativas en estudiantes de la Universidad de Especialidades Espíritu Santo (UEES) de la Maestría en Gestión Educativa (MGE) | Una Mirada Reflexiva La Loei como Norma Reguladora en el Sistema Educativo Ecuatoriano_Parte I La Reforma (2021) Versus la Anterior (Titulo I, de los Principios Generales, Tituloii, de los Derechos y Obligaciones) | Otras formas de construir políticas para la educación permanente de jóvenes y adultos: El caso de la provincia de Corrientes | La Formación del Sujeto Político: Una Exploración desde la Micropolítica en la Gestión Escolar y la Educación Media","","","0.2646181959465581","FALSE"
