document_id,publication_document_id,model,corpus,language,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,title,doi,source,corpus_unit,topic_entropy
doi:10.18764/2358-4319.v14n1p15-38,doi:10.18764/2358-4319.v14n1p15-38,STM-METADATA-PT,metadata,pt,3,0.988571524087583,4,0.0030492999129349387,0.9855222241746481,FALSE,FALSE,2021,A gestão escolar democrática na perspectiva freireana,10.18764/2358-4319.v14n1p15-38,OpenAlex,metadata,0.08214644759284245
doi:10.18764/2358-4319.v13n1p163-182,doi:10.18764/2358-4319.v13n1p163-182,STM-METADATA-PT,metadata,pt,3,0.9894785709187282,4,0.002888072265469525,0.9865904986532587,FALSE,FALSE,2020,Gestão escolar humanizadora: possibilidades na promoção da educação em direitos humanos,10.18764/2358-4319.v13n1p163-182,OpenAlex,metadata,0.07688133934967109
doi:10.18764/2178-2229.v28n1p250-275,doi:10.18764/2178-2229.v28n1p250-275,STM-METADATA-PT,metadata,pt,1,0.9899165810324122,7,0.0029359537283446253,0.9869806273040675,FALSE,FALSE,2021,"AVALIAÇÕES DA APRENDIZAGEM EXTERNAS EM LARGA ESCALA E GESTORES ESCOLARES:características, controvérsias e alternativas",10.18764/2178-2229.v28n1p250-275,OpenAlex,metadata,0.0716355390132659
record:2e485afe2cbbbb939ed534dd,record:2e485afe2cbbbb939ed534dd,STM-METADATA-PT,metadata,pt,2,0.5738443495483049,4,0.36398643925540297,0.2098579102929019,FALSE,FALSE,2021,Contornos de la gestión escolar em Brasil,NA,OpenAlex,metadata,0.956077165047999
record:d0253eaa67df74323fdf4d61,record:d0253eaa67df74323fdf4d61,STM-METADATA-PT,metadata,pt,3,0.49123132573978046,4,0.46670765020463045,0.024523675535150002,FALSE,TRUE,2020,Desafíos de la gestión escolar en la construcción de la educación integral,NA,OpenAlex,metadata,0.9053292337912137
record:ac17dae244a7ab05002e770a,record:ac17dae244a7ab05002e770a,STM-METADATA-PT,metadata,pt,1,0.9350539931329002,6,0.03556851188216634,0.8994854812507338,FALSE,FALSE,2023,Gestión escolar a prueba de turbilencias: Orientaciones y desafios en el contexto educativo português,NA,OpenAlex,metadata,0.32365348550933115
record:62056857f23fd668cf824111,record:62056857f23fd668cf824111,STM-METADATA-PT,metadata,pt,1,0.7182557484162029,7,0.19677139784058406,0.5214843505756188,FALSE,FALSE,2022,La escuela como promotora del desarrollo humano: aportes de la psicología a la gestión escolar,NA,OpenAlex,metadata,0.8892890708170139
doi:10.20873/uft.rbec.e10837,doi:10.20873/uft.rbec.e10837,STM-METADATA-PT,metadata,pt,5,0.5904627823321957,3,0.38122031596068034,0.2092424663715154,FALSE,FALSE,2022,Os impasses da participação da comunidade no Conselho Escolar em uma Escola do Campo no Município de Placas/PA,10.20873/uft.rbec.e10837,OpenAlex,metadata,0.8132401360856324
doi:10.5380/jpe.v15i0.83257,doi:10.5380/jpe.v15i0.83257,STM-METADATA-PT,metadata,pt,7,0.39032337017724184,1,0.25415008704474684,0.136173283132495,FALSE,FALSE,2021,n. 60 - PRIVATIZACIÓN DE LA GESTIÓN ESCOLAR EN CHILE. EL CASO DEL PROYECTO EDUCATIVO INSTITUCIONAL (PEI),10.5380/jpe.v15i0.83257,OpenAlex,metadata,1.6391853718007512
doi:10.18764/2178-2229.v28n1p276-302,doi:10.18764/2178-2229.v28n1p276-302,STM-METADATA-PT,metadata,pt,8,0.9871000723091748,5,0.003914136272244041,0.9831859360369308,FALSE,FALSE,2021,VULNERABILIDADE SOCIAL: práticas e desafios em escolas públicas de educação básica,10.18764/2178-2229.v28n1p276-302,OpenAlex,metadata,0.0895389202598684
doi:10.20873/uft.rbec.e12973,doi:10.20873/uft.rbec.e12973,STM-METADATA-PT,metadata,pt,5,0.7464375645192491,8,0.2371299911162921,0.5093075734029571,FALSE,FALSE,2021,A contribuição da Licenciatura em Educação do Campo UFCG para a formação docente e a prática pedagógica das escolas no Cariri paraibano: concepção dos egressos,10.20873/uft.rbec.e12973,OpenAlex,metadata,0.6501512236404278
doi:10.70860/ufnt.rbec.e19422,doi:10.70860/ufnt.rbec.e19422,STM-METADATA-PT,metadata,pt,2,0.8867022665080246,7,0.10197658040460102,0.7847256861034236,FALSE,FALSE,2024,A concepção de regulação e as políticas de gestão escolar no Brasil: princípios político-pedagógicos e contradições,10.70860/ufnt.rbec.e19422,OpenAlex,metadata,0.4088200002458121
doi:10.18764/2358-4319.v14n2p558-578,doi:10.18764/2358-4319.v14n2p558-578,STM-METADATA-PT,metadata,pt,7,0.9754232014968307,8,0.012805549927771049,0.9626176515690597,FALSE,FALSE,2021,Desdobramentos da relação entre gestão escolar e família dos educandos: uma metanálise de estudos publicados entre 2009 e 2019,10.18764/2358-4319.v14n2p558-578,OpenAlex,metadata,0.15015895735839505
doi:10.18764/2178-2229.v28n1p78-94,doi:10.18764/2178-2229.v28n1p78-94,STM-METADATA-PT,metadata,pt,7,0.6457373546113365,6,0.30877284292770923,0.3369645116836273,FALSE,FALSE,2021,POLÍTICAS DE DEMOCRATIZAÇÃO/DESCENTALIZAÇÃO NA GESTÃO ESCOLAR DE VITÓRIA DA CONQUISTA - BA: encontros e desafios,10.18764/2178-2229.v28n1p78-94,OpenAlex,metadata,0.8360264430106665
doi:10.18764/2178-2229.v28n2-2020-02,doi:10.18764/2178-2229.v28n2-2020-02,STM-METADATA-PT,metadata,pt,3,0.8941892053134567,4,0.08138499039152744,0.8128042149219292,FALSE,FALSE,2021,PROGRESSÃO CONTINUADA NO BLOCO PEDAGÓGICO: desafios para a gestão escolar em uma escola pública da rede municipal de Santa Maria-RS,10.18764/2178-2229.v28n2-2020-02,OpenAlex,metadata,0.43161002528706355
doi:10.70860/ufnt.rbec.e18956,doi:10.70860/ufnt.rbec.e18956,STM-METADATA-PT,metadata,pt,2,0.9838878153427205,7,0.009201783525516292,0.9746860318172043,FALSE,FALSE,2024,"Importância e desafios da Liderança, Inovação e criatividade na Gestão Escolar das escolas públicas do Bailundo e Mungo – Angola",10.70860/ufnt.rbec.e18956,OpenAlex,metadata,0.10434658597273072
doi:10.5016/ridh.v9i2.105,doi:10.5016/ridh.v9i2.105,STM-METADATA-PT,metadata,pt,8,0.9628188833686784,7,0.014460717801502772,0.9483581655671756,FALSE,FALSE,2021,Educação em direitos humanos: uma pauta premente na docência e na gestão escolar,10.5016/ridh.v9i2.105,OpenAlex,metadata,0.21402152044412612
doi:10.20873/uft.rbec.e15376,doi:10.20873/uft.rbec.e15376,STM-METADATA-PT,metadata,pt,2,0.9876991872502484,7,0.005761270190475774,0.9819379170597726,FALSE,FALSE,2023,Gestão democrática: experiências de práticas de gestores em escolas de educação básica,10.20873/uft.rbec.e15376,OpenAlex,metadata,0.0844619997670258
doi:10.22169/revint.v18.e023tl4015,doi:10.22169/revint.v18.e023tl4015,STM-METADATA-PT,metadata,pt,2,0.9892930647402145,4,0.0040348110055705416,0.9852582537346439,FALSE,FALSE,2023,Ações da gestão escolar equalidade de ensino em tempos pandêmicos,10.22169/revint.v18.e023tl4015,OpenAlex,metadata,0.07548822666974962
doi:10.18764/2178-2229v28n4.202157,doi:10.18764/2178-2229v28n4.202157,STM-METADATA-PT,metadata,pt,4,0.5474088184741626,2,0.4118662743821354,0.13554254409202715,FALSE,FALSE,2021,GESTÃO EDUCACIONAL E TRABALHO PEDAGÓGICO: instituintes para a realização do projeto de escola,10.18764/2178-2229v28n4.202157,OpenAlex,metadata,0.8793939908491528
doi:10.14393/revedfil.v37n79a2023-65512,doi:10.14393/revedfil.v37n79a2023-65512,STM-METADATA-PT,metadata,pt,8,0.9881799514193603,5,0.0036809188516563726,0.984499032567704,FALSE,FALSE,2023,"Racionalidade empresarial, gestão escolar e avaliação na proposta de Ensino Médio Integral em Pernambuco (2008-2018)",10.14393/revedfil.v37n79a2023-65512,OpenAlex,metadata,0.08314623215406584
doi:10.18764/2178-2229v28n3.202141,doi:10.18764/2178-2229v28n3.202141,STM-METADATA-PT,metadata,pt,3,0.41792037261958104,4,0.32341184765173936,0.09450852496784168,FALSE,TRUE,2021,A GESTÃO PEDAGÓGICA NOS CURSOS TÉCNICOS A DISTÂNCIA: UMA ANÁLISE DA REALIDADE ESCOLAR.,10.18764/2178-2229v28n3.202141,OpenAlex,metadata,1.1776256065632391
doi:10.70860/ufnt.rbec.e15404,doi:10.70860/ufnt.rbec.e15404,STM-METADATA-PT,metadata,pt,5,0.9316384930163547,8,0.02770664402856779,0.9039318489877869,FALSE,FALSE,2024,A contribuição da Metodologia das Produções Narrativas para a compreensão dos processos educativos desenvolvidos por educadoras de uma escola do campo do município de Carangola - MG,10.70860/ufnt.rbec.e15404,OpenAlex,metadata,0.34087399136681784
doi:10.18764/2178-2229.v28n1p95-115,doi:10.18764/2178-2229.v28n1p95-115,STM-METADATA-PT,metadata,pt,2,0.9888967874572056,7,0.004987188353548453,0.983909599103657,FALSE,FALSE,2021,GESTÃO DEMOCRÁTICA NO ESTADO DE MATO GROSSO: conquista ameaçada pela implantação de políticas educacionais conservadoras,10.18764/2178-2229.v28n1p95-115,OpenAlex,metadata,0.07715198399113803
doi:10.20873/uft.rbec.e10666,doi:10.20873/uft.rbec.e10666,STM-METADATA-PT,metadata,pt,8,0.8654028890967824,1,0.11878471994404241,0.74661816915274,FALSE,FALSE,2020,Mais Gerente e menos Gestor: uma análise do marco regulatório direcionado à gestão da escola pública paraense,10.20873/uft.rbec.e10666,OpenAlex,metadata,0.46881527793959554
doi:10.18764/2178-2229.v28n1p59-77,doi:10.18764/2178-2229.v28n1p59-77,STM-METADATA-PT,metadata,pt,7,0.956891608231183,3,0.014659763444751532,0.9422318447864315,FALSE,FALSE,2021,GESTÃO DEMOCRÁTICA E ESCOLA JUSTA: uma relação orgânica,10.18764/2178-2229.v28n1p59-77,OpenAlex,metadata,0.2480961341113745
doi:10.70860/ufnt.rbec.e19371,doi:10.70860/ufnt.rbec.e19371,STM-METADATA-PT,metadata,pt,6,0.9806115703907216,3,0.004621905414988492,0.975989664975733,FALSE,FALSE,2025,As escolas de várzea na Amazônia paraense: estudo a partir de um polo no município de Óbidos-PA,10.70860/ufnt.rbec.e19371,OpenAlex,metadata,0.13126809815558602
doi:10.18764/2178-2229v28n3.202153,doi:10.18764/2178-2229v28n3.202153,STM-METADATA-PT,metadata,pt,3,0.6752148370219336,2,0.2898863489221176,0.385328488099816,FALSE,FALSE,2021,GESTÃO ESCOLAR E A DEMOCRACIA: CONCEPÇÕES E PRÁTICAS DA EQUIPE ESCOLAR DO ENSINO FUNDAMENTAL I,10.18764/2178-2229v28n3.202153,OpenAlex,metadata,0.7811974822833453
doi:10.20873/uft.rbec.e14340,doi:10.20873/uft.rbec.e14340,STM-METADATA-PT,metadata,pt,5,0.8610025518796761,8,0.12468498256978013,0.736317569309896,FALSE,FALSE,2022,Licenciatura em Educação do Campo - UnB e a formação de docentes Intelectuais Coletivos: influências da Pedagogia Socialista na formação de educadores do campo do Território Kalunga – Goiás,10.20873/uft.rbec.e14340,OpenAlex,metadata,0.47147573841902235
record:36e5440cf9635857006c9655,record:36e5440cf9635857006c9655,STM-METADATA-PT,metadata,pt,4,0.9722633980082169,1,0.017333355236876655,0.9549300427713403,FALSE,FALSE,2020,Alfabetización y lectoescritura en tiempos de reestructuración curricular: trabajo articulado entre dirección escolar y alfabetizadores en una escuela pública de São Paulo,NA,OpenAlex,metadata,0.16160222271269686
doi:10.48178/intersecao.v5i1.521,doi:10.48178/intersecao.v5i1.521,STM-METADATA-PT,metadata,pt,4,0.7289686512377564,5,0.2583382334295368,0.4706304178082196,FALSE,FALSE,2023,Interação entre educador e educando com surdez ou com deficiência auditiva no ensino fundamental: anos finais,10.48178/intersecao.v5i1.521,OpenAlex,metadata,0.6559117835554997
doi:10.34117/bjdv7n1-246,doi:10.34117/bjdv7n1-246,STM-METADATA-PT,metadata,pt,4,0.5018330305459987,2,0.47133222550223736,0.030500805043761348,FALSE,TRUE,2021,GESTÃO ESCOLAR DEMOCRÁTICA: DESAFIOS E PERSPECTIVAS / DEMOCRATIC SCHOOL MANAGEMENT: CHALLENGES AND PERSPECTIVES,10.34117/bjdv7n1-246,OpenAlex,metadata,0.8388607566309247
doi:10.34117/bjdv8n7-025,doi:10.34117/bjdv8n7-025,STM-METADATA-PT,metadata,pt,4,0.8782525883406112,1,0.08864443200674735,0.7896081563338638,FALSE,FALSE,2022,Utilização de novas tecnologias em sala de aula: uma análise dos desafios e possibilidades na ótica da gestão escolar / Use of new technologies in the classroom: an analysis of the challenges and possibilities from the perspective of school management,10.34117/bjdv8n7-025,OpenAlex,metadata,0.49671723045156313
doi:10.34117/bjdv8n2-050,doi:10.34117/bjdv8n2-050,STM-METADATA-PT,metadata,pt,4,0.9110882430540591,3,0.0436307627338461,0.867457480320213,FALSE,FALSE,2022,Uma observação da liderança na gestão escolar participativa para o processo de ensino-aprendizagem / An observation of leadership in participatory school management for the teaching-learning process,10.34117/bjdv8n2-050,OpenAlex,metadata,0.42387912701077685
doi:10.22633/rpge.v24i1.12865,doi:10.22633/rpge.v24i1.12865,STM-METADATA-PT,metadata,pt,8,0.724301472715691,1,0.21091388015644372,0.5133875925592473,FALSE,FALSE,2020,"Nexos entre gestão, avaliação e o índice de desenvolvimento da educação básica (IDEB) em escolas públicas",10.22633/rpge.v24i1.12865,OpenAlex,metadata,0.835913841974765
