model,corpus,language,topic_id,rank,term,metric
STM-METADATA-PT,metadata,pt,1,1,características,FREX
STM-METADATA-PT,metadata,pt,1,2,escolares,FREX
STM-METADATA-PT,metadata,pt,1,3,gestores,FREX
STM-METADATA-PT,metadata,pt,1,4,aprendizagem,FREX
STM-METADATA-PT,metadata,pt,1,5,learning,FREX
STM-METADATA-PT,metadata,pt,1,6,archaeology,FREX
STM-METADATA-PT,metadata,pt,1,7,pesquisas,FREX
STM-METADATA-PT,metadata,pt,1,8,ser,FREX
STM-METADATA-PT,metadata,pt,1,9,avaliação,FREX
STM-METADATA-PT,metadata,pt,1,10,resultados,FREX
STM-METADATA-PT,metadata,pt,1,11,documents,FREX
STM-METADATA-PT,metadata,pt,1,12,results,FREX
STM-METADATA-PT,metadata,pt,1,13,mais,FREX
STM-METADATA-PT,metadata,pt,1,14,subject,FREX
STM-METADATA-PT,metadata,pt,1,15,algumas,FREX
STM-METADATA-PT,metadata,pt,1,16,managers,FREX
STM-METADATA-PT,metadata,pt,1,17,este,FREX
STM-METADATA-PT,metadata,pt,1,18,texto,FREX
STM-METADATA-PT,metadata,pt,1,19,desafios,FREX
STM-METADATA-PT,metadata,pt,1,20,context,FREX
STM-METADATA-PT,metadata,pt,2,1,democrática,FREX
STM-METADATA-PT,metadata,pt,2,2,brasil,FREX
STM-METADATA-PT,metadata,pt,2,3,estado,FREX
STM-METADATA-PT,metadata,pt,2,4,públicas,FREX
STM-METADATA-PT,metadata,pt,2,5,democratic,FREX
STM-METADATA-PT,metadata,pt,2,6,escolas,FREX
STM-METADATA-PT,metadata,pt,2,7,políticas,FREX
STM-METADATA-PT,metadata,pt,2,8,schools,FREX
STM-METADATA-PT,metadata,pt,2,9,diretores,FREX
STM-METADATA-PT,metadata,pt,2,10,brazil,FREX
STM-METADATA-PT,metadata,pt,2,11,cada,FREX
STM-METADATA-PT,metadata,pt,2,12,policies,FREX
STM-METADATA-PT,metadata,pt,2,13,democracy,FREX
STM-METADATA-PT,metadata,pt,2,14,escuelas,FREX
STM-METADATA-PT,metadata,pt,2,15,public,FREX
STM-METADATA-PT,metadata,pt,2,16,state,FREX
STM-METADATA-PT,metadata,pt,2,17,management,FREX
STM-METADATA-PT,metadata,pt,2,18,directivos,FREX
STM-METADATA-PT,metadata,pt,2,19,principals,FREX
STM-METADATA-PT,metadata,pt,2,20,analisar,FREX
STM-METADATA-PT,metadata,pt,3,1,continuada,FREX
STM-METADATA-PT,metadata,pt,3,2,field,FREX
STM-METADATA-PT,metadata,pt,3,3,participación,FREX
STM-METADATA-PT,metadata,pt,3,4,área,FREX
STM-METADATA-PT,metadata,pt,3,5,municipal,FREX
STM-METADATA-PT,metadata,pt,3,6,educação,FREX
STM-METADATA-PT,metadata,pt,3,7,education,FREX
STM-METADATA-PT,metadata,pt,3,8,democracy,FREX
STM-METADATA-PT,metadata,pt,3,9,públicas,FREX
STM-METADATA-PT,metadata,pt,3,10,democratic,FREX
STM-METADATA-PT,metadata,pt,3,11,gestión,FREX
STM-METADATA-PT,metadata,pt,3,12,educación,FREX
STM-METADATA-PT,metadata,pt,3,13,pedagógico,FREX
STM-METADATA-PT,metadata,pt,3,14,construcción,FREX
STM-METADATA-PT,metadata,pt,3,15,perspectiva,FREX
STM-METADATA-PT,metadata,pt,3,16,escolar,FREX
STM-METADATA-PT,metadata,pt,3,17,democrática,FREX
STM-METADATA-PT,metadata,pt,3,18,participation,FREX
STM-METADATA-PT,metadata,pt,3,19,pesquisa,FREX
STM-METADATA-PT,metadata,pt,3,20,present,FREX
STM-METADATA-PT,metadata,pt,4,1,pedagógico,FREX
STM-METADATA-PT,metadata,pt,4,2,processo,FREX
STM-METADATA-PT,metadata,pt,4,3,professores,FREX
STM-METADATA-PT,metadata,pt,4,4,grande,FREX
STM-METADATA-PT,metadata,pt,4,5,observação,FREX
STM-METADATA-PT,metadata,pt,4,6,foi,FREX
STM-METADATA-PT,metadata,pt,4,7,trabalho,FREX
STM-METADATA-PT,metadata,pt,4,8,entre,FREX
STM-METADATA-PT,metadata,pt,4,9,gestora,FREX
STM-METADATA-PT,metadata,pt,4,10,ainda,FREX
STM-METADATA-PT,metadata,pt,4,11,proyecto,FREX
STM-METADATA-PT,metadata,pt,4,12,desafios,FREX
STM-METADATA-PT,metadata,pt,4,13,uso,FREX
STM-METADATA-PT,metadata,pt,4,14,pesquisa,FREX
STM-METADATA-PT,metadata,pt,4,15,pedagógica,FREX
STM-METADATA-PT,metadata,pt,4,16,tanto,FREX
STM-METADATA-PT,metadata,pt,4,17,projeto,FREX
STM-METADATA-PT,metadata,pt,4,18,objetivo,FREX
STM-METADATA-PT,metadata,pt,4,19,questionários,FREX
STM-METADATA-PT,metadata,pt,4,20,escola,FREX
STM-METADATA-PT,metadata,pt,5,1,rural,FREX
STM-METADATA-PT,metadata,pt,5,2,vida,FREX
STM-METADATA-PT,metadata,pt,5,3,campo,FREX
STM-METADATA-PT,metadata,pt,5,4,community,FREX
STM-METADATA-PT,metadata,pt,5,5,práctica,FREX
STM-METADATA-PT,metadata,pt,5,6,prática,FREX
STM-METADATA-PT,metadata,pt,5,7,docente,FREX
STM-METADATA-PT,metadata,pt,5,8,formação,FREX
STM-METADATA-PT,metadata,pt,5,9,docencia,FREX
STM-METADATA-PT,metadata,pt,5,10,degree,FREX
STM-METADATA-PT,metadata,pt,5,11,formación,FREX
STM-METADATA-PT,metadata,pt,5,12,educativos,FREX
STM-METADATA-PT,metadata,pt,5,13,educadores,FREX
STM-METADATA-PT,metadata,pt,5,14,training,FREX
STM-METADATA-PT,metadata,pt,5,15,metodología,FREX
STM-METADATA-PT,metadata,pt,5,16,comunidade,FREX
STM-METADATA-PT,metadata,pt,5,17,comunidad,FREX
STM-METADATA-PT,metadata,pt,5,18,metodologia,FREX
STM-METADATA-PT,metadata,pt,5,19,methodology,FREX
STM-METADATA-PT,metadata,pt,5,20,entrevistas,FREX
STM-METADATA-PT,metadata,pt,6,1,argentina,FREX
STM-METADATA-PT,metadata,pt,6,2,sistema,FREX
STM-METADATA-PT,metadata,pt,6,3,educativas,FREX
STM-METADATA-PT,metadata,pt,6,4,secondary,FREX
STM-METADATA-PT,metadata,pt,6,5,políticas,FREX
STM-METADATA-PT,metadata,pt,6,6,schools,FREX
STM-METADATA-PT,metadata,pt,6,7,escuelas,FREX
STM-METADATA-PT,metadata,pt,6,8,nacional,FREX
STM-METADATA-PT,metadata,pt,6,9,instituciones,FREX
STM-METADATA-PT,metadata,pt,6,10,instituições,FREX
STM-METADATA-PT,metadata,pt,6,11,institutions,FREX
STM-METADATA-PT,metadata,pt,6,12,secundárias,FREX
STM-METADATA-PT,metadata,pt,6,13,programa,FREX
STM-METADATA-PT,metadata,pt,6,14,desde,FREX
STM-METADATA-PT,metadata,pt,6,15,escolas,FREX
STM-METADATA-PT,metadata,pt,6,16,social,FREX
STM-METADATA-PT,metadata,pt,6,17,system,FREX
STM-METADATA-PT,metadata,pt,6,18,policies,FREX
STM-METADATA-PT,metadata,pt,6,19,secundarias,FREX
STM-METADATA-PT,metadata,pt,6,20,educacionais,FREX
STM-METADATA-PT,metadata,pt,7,1,últimos,FREX
STM-METADATA-PT,metadata,pt,7,2,relação,FREX
STM-METADATA-PT,metadata,pt,7,3,democratization,FREX
STM-METADATA-PT,metadata,pt,7,4,vez,FREX
STM-METADATA-PT,metadata,pt,7,5,desarrollo,FREX
STM-METADATA-PT,metadata,pt,7,6,relación,FREX
STM-METADATA-PT,metadata,pt,7,7,entre,FREX
STM-METADATA-PT,metadata,pt,7,8,democratización,FREX
STM-METADATA-PT,metadata,pt,7,9,contexto,FREX
STM-METADATA-PT,metadata,pt,7,10,gestión,FREX
STM-METADATA-PT,metadata,pt,7,11,tema,FREX
STM-METADATA-PT,metadata,pt,7,12,context,FREX
STM-METADATA-PT,metadata,pt,7,13,democratização,FREX
STM-METADATA-PT,metadata,pt,7,14,anos,FREX
STM-METADATA-PT,metadata,pt,7,15,municipal,FREX
