model,corpus,language,topic_id,year,documents_in_year,dominant_topic_documents,effective_topic_mass,mean_prevalence,median_prevalence,expected_prevalence,topic_presence_above_threshold,lower_95,upper_95,uncertainty_method,year_complete,metadata_coverage,fulltext_coverage
STM-METADATA-PT,metadata,pt,1,2020,5,0,0.3501317039309413,0.07002634078618826,0.017333355236876655,0.08553091582827685,2,-0.12585249427033496,0.35427249595516563,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-PT,metadata,pt,1,2021,16,1,1.3095931546169797,0.08184957216356123,0.0040541816424918215,0.09561765873698545,2,-0.0077642948394142305,0.21289280157315707,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-PT,metadata,pt,1,2022,6,1,0.8188884101663418,0.1364814016943903,0.005643221588242179,0.1016324612844032,1,-0.0027501172127270537,0.22413645159927498,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-PT,metadata,pt,1,2023,8,1,1.0782040101068349,0.13477550126335436,0.0021811389786917457,0.09634610983726433,2,-0.03648512898114843,0.2452642146703065,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-PT,metadata,pt,1,2024,3,0,0.0034382666375265976,0.0011460888791755325,6.729107512849471e-4,0.07419083736905012,0,-0.0684665463742647,0.2363760324858012,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-PT,metadata,pt,1,2025,1,0,0.0023922270662017865,0.0023922270662017865,0.0023922270662017865,0.03916255863563422,0,-0.11310251805953032,0.2053515552159219,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-PT,metadata,pt,1,2026,3,0,0.019316582115698106,0.006438860705232702,0.005253616481418896,-0.0022904298347710315,0,-0.2523385551806497,0.24879327211727376,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-PT,metadata,pt,2,2020,5,0,0.022676638094863442,0.004535327618972689,0.0026521215857001224,0.07775753615271956,0,-0.19256306342629342,0.35641476103339925,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-PT,metadata,pt,2,2021,16,2,2.835867019556179,0.17724168872226118,0.006637395359122302,0.12279250162074616,5,-0.033370266598952224,0.27999354345184496,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-PT,metadata,pt,2,2022,6,0,0.05288498281610783,0.008814163802684637,0.0059920451485882585,0.21898650679262444,0,0.06475019277190619,0.3815001983959633,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-PT,metadata,pt,2,2023,8,2,2.3055044075818545,0.2881880509477318,0.0044309507916467416,0.2977437771611865,3,0.11914615461156715,0.4810297138147992,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-PT,metadata,pt,2,2024,3,2,1.8732290884525544,0.6244096961508514,0.8867022665080246,0.28344584465072936,2,0.0785639094595699,0.4929020553976695,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-PT,metadata,pt,2,2025,1,0,0.002008525085772613,0.002008525085772613,0.002008525085772613,0.19171345704453224,0,-0.027487379787735924,0.4144450222825137,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-PT,metadata,pt,2,2026,3,0,0.010516869589629083,0.0035056231965430278,0.001376582711472391,0.06133472376852955,0,-0.27914102502620414,0.42088794528980555,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-PT,metadata,pt,3,2020,5,2,1.486052799304015,0.29721055986080297,0.0028507555136551587,0.2897411031761234,2,0.033423551843452075,0.5490703942004921,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-PT,metadata,pt,3,2021,16,4,3.0738286050806614,0.19211428781754133,0.01046238821828476,0.18170067762080258,4,0.05554760981458679,0.3123518270482582,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-PT,metadata,pt,3,2022,6,0,0.4385858642025068,0.07309764403375113,0.004978305646963612,0.0955446231655248,1,-0.030429936615477673,0.23776522668919908,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-PT,metadata,pt,3,2023,8,0,0.16003558208046603,0.020004447760058254,0.002655640077402746,0.03962740743846421,1,-0.11309448691741039,0.21067500575331882,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-PT,metadata,pt,3,2024,3,0,0.007481141895076063,0.002493713965025354,0.0017262594552531802,0.016024021554590567,0,-0.15029886045928198,0.20341063644884458,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-PT,metadata,pt,3,2025,1,0,0.004621905414988492,0.004621905414988492,0.004621905414988492,0.01585135032792983,0,-0.16928420014720794,0.2179009361707294,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-PT,metadata,pt,3,2026,3,0,0.010346536489928837,0.0034488454966429454,0.0026250662128875393,0.027372559581197352,0,-0.2592965388972926,0.3459711400224902,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-PT,metadata,pt,4,2020,5,1,1.457136379553333,0.2914272759106666,0.012324142205454703,0.1873967325204694,2,-0.06295712655217019,0.4468150871002661,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-PT,metadata,pt,4,2021,16,2,1.9186262564246341,0.11991414102653963,0.003537620366317917,0.1546246461372467,4,0.03286558988681376,0.28328211324770325,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-PT,metadata,pt,4,2022,6,2,1.8254614596211056,0.30424357660351764,0.014403158029938256,0.12801371978682807,2,0.004626723702429199,0.2610015167004647,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-PT,metadata,pt,4,2023,8,1,0.767619214044716,0.0959524017555895,0.006000401274882862,0.11079323331452906,1,-0.043192583164485,0.27767102416358835,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-PT,metadata,pt,4,2024,3,0,0.0066695361083499265,0.0022231787027833087,0.002296946707026407,0.10434837255359211,0,-0.06041991838267007,0.29288023200215163,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-PT,metadata,pt,4,2025,1,0,0.0032096577942582892,0.0032096577942582892,0.0032096577942582892,0.10581605017071372,0,-0.08512670543280336,0.329842750239074,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-PT,metadata,pt,4,2026,3,0,0.5132566817298563,0.17108556057661878,0.028934639799937073,0.11123274520738008,1,-0.23169157370547216,0.472950318366288,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-PT,metadata,pt,5,2020,5,0,0.04323362842854558,0.008646725685709115,0.00355719467536912,0.011947454470820408,0,-0.23583871744071494,0.2521820300685993,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-PT,metadata,pt,5,2021,16,1,0.8142527573317013,0.05089079733323133,0.002827429331067942,0.08443336320781847,1,-0.044096513788132244,0.22942283261982407,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-PT,metadata,pt,5,2022,6,2,1.4621104123658992,0.24368506872764986,0.004548673419032133,0.11634964098494428,2,-3.896150902754627e-4,0.2510917684567853,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-PT,metadata,pt,5,2023,8,0,0.39851666704448774,0.04981458338056097,0.001972925952763001,0.13275983018042384,2,-0.02677493226968143,0.30340432594344885,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-PT,metadata,pt,5,2024,3,1,0.9325168289182422,0.3108389429727474,5.0541231923393e-4,0.16684518754443609,1,-0.010021255691866736,0.3546196004980101,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-PT,metadata,pt,5,2025,1,0,0.0020734800460298,0.0020734800460298,0.0020734800460298,0.21832999863218278,0,0.0431241107942897,0.4142308056435205,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-PT,metadata,pt,5,2026,3,1,0.9685354180085644,0.32284513933618814,0.008228227390558923,0.27849863194562857,1,-0.009683072946415024,0.5847929398188483,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-PT,metadata,pt,6,2020,5,0,0.02026964358602456,0.004053928717204912,0.0019555770170376326,-0.010159071612443971,0,-0.23564680182906117,0.2387638782255707,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-PT,metadata,pt,6,2021,16,0,0.7106030843118618,0.04441269276949136,0.0026374221606174225,0.0773288414415958,3,-0.046402804026844255,0.2135528119895625,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-PT,metadata,pt,6,2022,6,1,1.03048590322105,0.17174765053684168,0.006423382509865035,0.12858063028274375,1,0.0052180283000818305,0.2700869990106284,estimateEffect_global_simulation,TRUE,1,0.373288
