document_id,publication_document_id,model,corpus,language,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,title,doi,source,corpus_unit,topic_entropy
doi:10.18764/2358-4319.v14n1p15-38,doi:10.18764/2358-4319.v14n1p15-38,STM-METADATA-PT,metadata,pt,2,0.6611732596099039,3,0.33056473077075854,0.3306085288391454,FALSE,FALSE,2021,A gestão escolar democrática na perspectiva freireana,10.18764/2358-4319.v14n1p15-38,OpenAlex,metadata,0.684824876934498
doi:10.18764/2358-4319.v13n1p163-182,doi:10.18764/2358-4319.v13n1p163-182,STM-METADATA-PT,metadata,pt,3,0.9974931405326176,2,0.0012443277902068704,0.9962488127424107,FALSE,FALSE,2020,Gestão escolar humanizadora: possibilidades na promoção da educação em direitos humanos,10.18764/2358-4319.v13n1p163-182,OpenAlex,metadata,0.020125808922282433
doi:10.18764/2178-2229.v28n1p250-275,doi:10.18764/2178-2229.v28n1p250-275,STM-METADATA-PT,metadata,pt,1,0.3360340510796894,3,0.27118287269308183,0.06485117838660759,FALSE,TRUE,2021,"AVALIAÇÕES DA APRENDIZAGEM EXTERNAS EM LARGA ESCALA E GESTORES ESCOLARES:características, controvérsias e alternativas",10.18764/2178-2229.v28n1p250-275,OpenAlex,metadata,1.3576151285394689
record:2e485afe2cbbbb939ed534dd,record:2e485afe2cbbbb939ed534dd,STM-METADATA-PT,metadata,pt,2,0.6253610578000595,3,0.3424830969665076,0.2828779608335519,FALSE,FALSE,2021,Contornos de la gestión escolar em Brasil,NA,OpenAlex,metadata,0.7916582788746099
record:d0253eaa67df74323fdf4d61,record:d0253eaa67df74323fdf4d61,STM-METADATA-PT,metadata,pt,3,0.9962421441129556,2,0.001783746072722559,0.9944583980402331,FALSE,FALSE,2020,Desafíos de la gestión escolar en la construcción de la educación integral,NA,OpenAlex,metadata,0.028701880894454475
record:ac17dae244a7ab05002e770a,record:ac17dae244a7ab05002e770a,STM-METADATA-PT,metadata,pt,1,0.9641247016781167,3,0.015448652362687837,0.9486760493154288,FALSE,FALSE,2023,Gestión escolar a prueba de turbilencias: Orientaciones y desafios en el contexto educativo português,NA,OpenAlex,metadata,0.19283032664655853
record:62056857f23fd668cf824111,record:62056857f23fd668cf824111,STM-METADATA-PT,metadata,pt,1,0.9335041826990901,2,0.02607776003534733,0.9074264226637427,FALSE,FALSE,2022,La escuela como promotora del desarrollo humano: aportes de la psicología a la gestión escolar,NA,OpenAlex,metadata,0.3163358325220514
doi:10.20873/uft.rbec.e10837,doi:10.20873/uft.rbec.e10837,STM-METADATA-PT,metadata,pt,4,0.6750104164385635,2,0.24054571357364823,0.4344647028649153,FALSE,FALSE,2022,Os impasses da participação da comunidade no Conselho Escolar em uma Escola do Campo no Município de Placas/PA,10.20873/uft.rbec.e10837,OpenAlex,metadata,0.8410552356629502
doi:10.5380/jpe.v15i0.83257,doi:10.5380/jpe.v15i0.83257,STM-METADATA-PT,metadata,pt,1,0.4784518078259559,3,0.374372109619581,0.10407969820637492,FALSE,FALSE,2021,n. 60 - PRIVATIZACIÓN DE LA GESTIÓN ESCOLAR EN CHILE. EL CASO DEL PROYECTO EDUCATIVO INSTITUCIONAL (PEI),10.5380/jpe.v15i0.83257,OpenAlex,metadata,1.088037798044099
doi:10.18764/2178-2229.v28n1p276-302,doi:10.18764/2178-2229.v28n1p276-302,STM-METADATA-PT,metadata,pt,2,0.5197122093849604,3,0.31729430452631513,0.2024179048586453,FALSE,FALSE,2021,VULNERABILIDADE SOCIAL: práticas e desafios em escolas públicas de educação básica,10.18764/2178-2229.v28n1p276-302,OpenAlex,metadata,1.0420989306469228
