model,corpus,language,topic_id,rank,term,metric
STM-METADATA-PT,metadata,pt,1,1,argentina,FREX
STM-METADATA-PT,metadata,pt,1,2,contexto,FREX
STM-METADATA-PT,metadata,pt,1,3,context,FREX
STM-METADATA-PT,metadata,pt,1,4,educativo,FREX
STM-METADATA-PT,metadata,pt,1,5,relação,FREX
STM-METADATA-PT,metadata,pt,1,6,sistema,FREX
STM-METADATA-PT,metadata,pt,1,7,programa,FREX
STM-METADATA-PT,metadata,pt,1,8,características,FREX
STM-METADATA-PT,metadata,pt,1,9,relación,FREX
STM-METADATA-PT,metadata,pt,1,10,various,FREX
STM-METADATA-PT,metadata,pt,1,11,nesse,FREX
STM-METADATA-PT,metadata,pt,1,12,aportes,FREX
STM-METADATA-PT,metadata,pt,1,13,nível,FREX
STM-METADATA-PT,metadata,pt,1,14,muitas,FREX
STM-METADATA-PT,metadata,pt,1,15,tema,FREX
STM-METADATA-PT,metadata,pt,1,16,relacionados,FREX
STM-METADATA-PT,metadata,pt,1,17,educational,FREX
STM-METADATA-PT,metadata,pt,1,18,vez,FREX
STM-METADATA-PT,metadata,pt,1,19,nacional,FREX
STM-METADATA-PT,metadata,pt,1,20,entre,FREX
STM-METADATA-PT,metadata,pt,2,1,democratic,FREX
STM-METADATA-PT,metadata,pt,2,2,democrática,FREX
STM-METADATA-PT,metadata,pt,2,3,democracy,FREX
STM-METADATA-PT,metadata,pt,2,4,públicas,FREX
STM-METADATA-PT,metadata,pt,2,5,políticas,FREX
STM-METADATA-PT,metadata,pt,2,6,democratization,FREX
STM-METADATA-PT,metadata,pt,2,7,brasil,FREX
STM-METADATA-PT,metadata,pt,2,8,policies,FREX
STM-METADATA-PT,metadata,pt,2,9,schools,FREX
STM-METADATA-PT,metadata,pt,2,10,escolas,FREX
STM-METADATA-PT,metadata,pt,2,11,estado,FREX
STM-METADATA-PT,metadata,pt,2,12,democratización,FREX
STM-METADATA-PT,metadata,pt,2,13,challenges,FREX
STM-METADATA-PT,metadata,pt,2,14,escuelas,FREX
STM-METADATA-PT,metadata,pt,2,15,social,FREX
STM-METADATA-PT,metadata,pt,2,16,politics,FREX
STM-METADATA-PT,metadata,pt,2,17,management,FREX
STM-METADATA-PT,metadata,pt,2,18,students,FREX
STM-METADATA-PT,metadata,pt,2,19,meio,FREX
STM-METADATA-PT,metadata,pt,2,20,public,FREX
STM-METADATA-PT,metadata,pt,3,1,pública,FREX
STM-METADATA-PT,metadata,pt,3,2,continuada,FREX
STM-METADATA-PT,metadata,pt,3,3,education,FREX
STM-METADATA-PT,metadata,pt,3,4,educação,FREX
STM-METADATA-PT,metadata,pt,3,5,educación,FREX
STM-METADATA-PT,metadata,pt,3,6,field,FREX
STM-METADATA-PT,metadata,pt,3,7,temática,FREX
STM-METADATA-PT,metadata,pt,3,8,regarding,FREX
STM-METADATA-PT,metadata,pt,3,9,public,FREX
STM-METADATA-PT,metadata,pt,3,10,based,FREX
STM-METADATA-PT,metadata,pt,3,11,science,FREX
STM-METADATA-PT,metadata,pt,3,12,state,FREX
STM-METADATA-PT,metadata,pt,3,13,base,FREX
STM-METADATA-PT,metadata,pt,3,14,área,FREX
STM-METADATA-PT,metadata,pt,3,15,data,FREX
STM-METADATA-PT,metadata,pt,3,16,estudos,FREX
STM-METADATA-PT,metadata,pt,3,17,continuing,FREX
STM-METADATA-PT,metadata,pt,3,18,marco,FREX
STM-METADATA-PT,metadata,pt,3,19,perspectiva,FREX
STM-METADATA-PT,metadata,pt,3,20,management,FREX
STM-METADATA-PT,metadata,pt,4,1,pedagógico,FREX
STM-METADATA-PT,metadata,pt,4,2,pedagogical,FREX
STM-METADATA-PT,metadata,pt,4,3,pedagógica,FREX
STM-METADATA-PT,metadata,pt,4,4,foi,FREX
STM-METADATA-PT,metadata,pt,4,5,liderança,FREX
STM-METADATA-PT,metadata,pt,4,6,professores,FREX
STM-METADATA-PT,metadata,pt,4,7,observação,FREX
STM-METADATA-PT,metadata,pt,4,8,leadership,FREX
STM-METADATA-PT,metadata,pt,4,9,processo,FREX
STM-METADATA-PT,metadata,pt,4,10,trabalho,FREX
STM-METADATA-PT,metadata,pt,4,11,desafios,FREX
STM-METADATA-PT,metadata,pt,4,12,ainda,FREX
STM-METADATA-PT,metadata,pt,4,13,gestora,FREX
STM-METADATA-PT,metadata,pt,4,14,demandas,FREX
STM-METADATA-PT,metadata,pt,4,15,pesquisa,FREX
STM-METADATA-PT,metadata,pt,4,16,entrevistas,FREX
STM-METADATA-PT,metadata,pt,4,17,grande,FREX
STM-METADATA-PT,metadata,pt,4,18,tanto,FREX
STM-METADATA-PT,metadata,pt,4,19,objetivo,FREX
STM-METADATA-PT,metadata,pt,4,20,proyecto,FREX
STM-METADATA-PT,metadata,pt,5,1,rural,FREX
STM-METADATA-PT,metadata,pt,5,2,docente,FREX
STM-METADATA-PT,metadata,pt,5,3,campo,FREX
STM-METADATA-PT,metadata,pt,5,4,formación,FREX
STM-METADATA-PT,metadata,pt,5,5,vida,FREX
STM-METADATA-PT,metadata,pt,5,6,community,FREX
STM-METADATA-PT,metadata,pt,5,7,formação,FREX
STM-METADATA-PT,metadata,pt,5,8,teaching,FREX
STM-METADATA-PT,metadata,pt,5,9,prácticas,FREX
STM-METADATA-PT,metadata,pt,5,10,práctica,FREX
STM-METADATA-PT,metadata,pt,5,11,prática,FREX
STM-METADATA-PT,metadata,pt,5,12,training,FREX
STM-METADATA-PT,metadata,pt,5,13,docentes,FREX
STM-METADATA-PT,metadata,pt,5,14,docencia,FREX
STM-METADATA-PT,metadata,pt,5,15,procesos,FREX
STM-METADATA-PT,metadata,pt,5,16,processes,FREX
STM-METADATA-PT,metadata,pt,5,17,teacher,FREX
STM-METADATA-PT,metadata,pt,5,18,educativos,FREX
STM-METADATA-PT,metadata,pt,5,19,degree,FREX
STM-METADATA-PT,metadata,pt,5,20,estas,FREX
