model,topic_id,year,document_count,documents_in_year,mean_probability_or_prevalence,ci95_low,ci95_high,coverage_in_year,outlier_percentage,year_complete
stm,1,2020,97,97,0.0014484752534118376,0,0.003044657235064434,1,0,TRUE
stm,1,2021,110,110,0.0078068415210384295,0,0.019793941171747355,1,0,TRUE
stm,1,2022,148,148,0.016320286266891672,0.00461133667319618,0.028029235860587164,1,0,TRUE
stm,1,2023,174,174,0.015993377739449897,0.0020169458238546954,0.029969809655045098,1,0,TRUE
stm,1,2024,161,161,0.017995084717253584,0.002417557117061136,0.03357261231744603,1,0,TRUE
stm,1,2025,144,144,0.004312379206057505,0.0016232711038789856,0.007001487308236024,1,0,TRUE
stm,1,2026,29,29,0.010458019216403028,0,0.023616886391236783,1,0,FALSE
stm,2,2020,97,97,0.03132657903679247,0.013602758152308964,0.04905039992127598,1,0,TRUE
stm,2,2021,110,110,0.039751512290763326,0.020341036125548943,0.05916198845597771,1,0,TRUE
stm,2,2022,148,148,0.023254426108009256,0.00862615988624018,0.03788269232977833,1,0,TRUE
stm,2,2023,174,174,0.03845573623153629,0.01963804964287952,0.05727342282019306,1,0,TRUE
stm,2,2024,161,161,0.03422279334277333,0.018229778931193708,0.050215807754352956,1,0,TRUE
stm,2,2025,144,144,0.027848027143382907,0.012653315190151943,0.04304273909661387,1,0,TRUE
stm,2,2026,29,29,0.0033175037630028678,0.0013860925093141597,0.005248915016691576,1,0,FALSE
stm,3,2020,97,97,1.0456555877483456e-5,2.748810544154535e-6,1.8164301210812376e-5,1,0,TRUE
stm,3,2021,110,110,1.980734254279755e-5,6.61769905314252e-6,3.299698603245258e-5,1,0,TRUE
stm,3,2022,148,148,1.1205585651542216e-4,0,2.6312942486848455e-4,1,0,TRUE
stm,3,2023,174,174,0.009233432642691233,0,0.022293054760626693,1,0,TRUE
stm,3,2024,161,161,3.897430161203565e-5,0,8.612420422729575e-5,1,0,TRUE
stm,3,2025,144,144,0.001660910369608308,0,0.004440580608594344,1,0,TRUE
stm,3,2026,29,29,7.351817759098755e-6,6.243817973459946e-7,1.4079253720851515e-5,1,0,FALSE
stm,4,2020,97,97,0.018008459203807923,0.006132368637575915,0.02988454977003993,1,0,TRUE
stm,4,2021,110,110,0.04267777834932344,0.02000880974004621,0.06534674695860067,1,0,TRUE
stm,4,2022,148,148,0.0448201003525424,0.0285466632734843,0.061093537431600495,1,0,TRUE
stm,4,2023,174,174,0.054896215834894964,0.035859972872063633,0.0739324587977263,1,0,TRUE
stm,4,2024,161,161,0.1202117357651949,0.08581844176872291,0.15460502976166687,1,0,TRUE
stm,4,2025,144,144,0.11950537381403709,0.08901114423409591,0.14999960339397828,1,0,TRUE
stm,4,2026,29,29,0.12465954038565644,0.06500816539235718,0.1843109153789557,1,0,FALSE
stm,5,2020,97,97,0.051083319920304036,0.020506406681442324,0.08166023315916575,1,0,TRUE
stm,5,2021,110,110,0.05224791051345605,0.025742304693951612,0.07875351633296049,1,0,TRUE
stm,5,2022,148,148,0.03896145445974909,0.014909421214852572,0.06301348770464561,1,0,TRUE
stm,5,2023,174,174,0.021952392578690517,0.011119606588618705,0.03278517856876233,1,0,TRUE
stm,5,2024,161,161,0.018327427743679382,0.006072391151141771,0.030582464336216995,1,0,TRUE
stm,5,2025,144,144,0.007800792555195561,0.0029524054329686435,0.01264917967742248,1,0,TRUE
stm,5,2026,29,29,7.16074013594085e-4,0,0.0017137002443797093,1,0,FALSE
stm,6,2020,97,97,0.08552852157963567,0.04442383800317624,0.1266332051560951,1,0,TRUE
stm,6,2021,110,110,0.06033856472905603,0.02858660882204537,0.09209052063606668,1,0,TRUE
stm,6,2022,148,148,0.04728193902349778,0.02277019265358502,0.07179368539341055,1,0,TRUE
stm,6,2023,174,174,0.04542279331345528,0.022643326511230518,0.06820226011568004,1,0,TRUE
